block_targets,complete_compounds,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
ADRA1A|DRD1|DRD2|HTR2A|HTR2B,20,full_sequence_identity,10,2,0.2,-0.05454545454545454,0.8125,0.5,0.5
ADRA1A|DRD1|DRD2|HTR2A|HTR2B,20,equal_rank_sequence_family_residual,10,2,0.2,0.21884599572482327,0.6875,0.41666666666666663,0.5
ADRA1A|DRD1|HRH1|HTR1A|HTR2A,20,raw_docking,10,2,0.2,0.23636363636363633,0.875,0.75,0.5
ADRA1A|DRD1|HRH1|HTR1A|HTR2A,20,residual_docking,10,2,0.2,0.5151515151515151,0.75,0.41666666666666663,0.0
ADRA1A|DRD1|HRH1|HTR1A|HTR2A,20,full_sequence_identity,10,2,0.2,-0.2121212121212121,0.5,0.26666666666666666,0.0
ADRA1A|DRD1|HRH1|HTR1A|HTR2A,20,equal_rank_sequence_family_residual,10,2,0.2,0.29268836799317,0.65625,0.3333333333333333,0.0
ADRA1A|DRD1|HTR1A|HTR1B|HTR2A,23,raw_docking,10,2,0.2,0.29696969696969694,0.6875,0.41666666666666663,0.5
ADRA1A|DRD1|HTR1A|HTR1B|HTR2A,23,residual_docking,10,2,0.2,0.406060606060606,0.625,0.39285714285714285,0.5
ADRA1A|DRD1|HTR1A|HTR1B|HTR2A,23,full_sequence_identity,10,2,0.2,-0.05454545454545454,0.4375,0.25,0.0
ADRA1A|DRD1|HTR1A|HTR1B|HTR2A,23,equal_rank_sequence_family_residual,10,2,0.2,0.2561023219940237,0.71875,0.41666666666666663,0.5
ADRA1A|DRD1|HTR1A|HTR2A|HTR2B,20,raw_docking,10,2,0.2,0.4666666666666666,0.875,0.75,0.5
ADRA1A|DRD1|HTR1A|HTR2A|HTR2B,20,residual_docking,10,2,0.2,0.709090909090909,0.875,0.5833333333333333,0.5
ADRA1A|DRD1|HTR1A|HTR2A|HTR2B,20,full_sequence_identity,10,2,0.2,-0.2121212121212121,0.25,0.19642857142857142,0.0
ADRA1A|DRD1|HTR1A|HTR2A|HTR2B,20,equal_rank_sequence_family_residual,10,2,0.2,0.3586642707712381,0.6875,0.41666666666666663,0.5
ADRA1A|DRD2|HRH1|HTR1A|HTR2A,24,raw_docking,10,2,0.2,-0.01818181818181818,0.375,0.2361111111111111,0.0
ADRA1A|DRD2|HRH1|HTR1A|HTR2A,24,residual_docking,10,2,0.2,0.18787878787878787,0.75,0.45,0.5
ADRA1A|DRD2|HRH1|HTR1A|HTR2A,24,full_sequence_identity,10,2,0.2,-0.709090909090909,0.3125,0.2111111111111111,0.0
ADRA1A|DRD2|HRH1|HTR1A|HTR2A,24,equal_rank_sequence_family_residual,10,2,0.2,-0.38415348299103563,0.5625,0.29166666666666663,0.0
ADRA1A|DRD2|HTR1A|HTR1B|HTR2A,26,raw_docking,10,2,0.2,-0.16363636363636364,0.375,0.22619047619047616,0.0
ADRA1A|DRD2|HTR1A|HTR1B|HTR2A,26,residual_docking,10,2,0.2,0.06666666666666665,0.5,0.26666666666666666,0.0
ADRA1A|DRD2|HTR1A|HTR1B|HTR2A,26,full_sequence_identity,10,2,0.2,-0.32121212121212117,0.375,0.22619047619047616,0.0
ADRA1A|DRD2|HTR1A|HTR1B|HTR2A,26,equal_rank_sequence_family_residual,10,2,0.2,-0.12805116099701186,0.53125,0.26785714285714285,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR2B,22,raw_docking,10,2,0.2,0.33333333333333326,0.5,0.26785714285714285,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR2B,22,residual_docking,10,2,0.2,0.5757575757575757,0.75,0.41666666666666663,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR2B,22,full_sequence_identity,10,2,0.2,-0.07878787878787878,0.375,0.22619047619047616,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR2B,22,equal_rank_sequence_family_residual,10,2,0.2,0.3374487155269168,0.5625,0.3333333333333333,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR3A,20,raw_docking,10,2,0.2,-0.49090909090909085,0.125,0.17142857142857143,0.0
