fold,target,intercept,heavy_atoms,molecular_weight,labute_asa,tpsa,clogp,rotatable_bonds,ring_count
3,SHARED_TARGET_BLIND,5.4663328235249596e-15,0.0086265697356419854,0.0030338286119255204,-0.061776066998702424,0.00063730273414959416,0.0049526741455191182,0.032749758417938583,0.0012285860031652164
4,ABL1,1.2029868508293059e-13,-0.068098123948771461,0.0018924883972779828,0.54670231238412925,-0.070617913741306354,-0.099571852299272914,0.014660409900046103,-0.016875187149482631
4,AKT1,1.7128483235121066e-13,0.1249010644347025,-0.17145906665524535,-0.68514181147402708,0.05605767818488544,0.1831200221805685,0.058853856370184837,-0.057791700129587967
4,AKT2,5.86739904239056e-13,0.42844157796101306,0.22502289983817131,-1.1353125411212823,0.00069472918018929366,0.10609612347215028,0.26372273879004621,0.026650941245420393
4,CDK2,-1.6515476978730825e-13,0.073086259023349115,-0.085198016983317429,-0.26821230634934651,0.054769181913965875,0.03746534784564122,0.1236833674203963,0.033593698289055035
4,CSF1R,1.7074329022792581e-13,-0.25880894756441314,0.14549082306871691,0.32358989224274004,0.10047934963837721,-0.0259062458607589,0.10527056013846685,0.052509220635959461
4,EGFR,-1.1749006179882736e-13,-0.62541168498219546,-0.15918167052408064,0.86773487246201808,-0.041485280406199206,-0.096714381720916023,-0.13385512351778703,-0.17809321430184663
4,FGFR1,4.5368373391216283e-14,-0.071274472305506639,0.097495983316404272,0.29009973230249642,-0.070042431322169682,-0.05114861552590412,-0.11546972485771002,0.08029600906008956
4,IGF1R,-2.0362192216161527e-13,-0.0095803896781174458,0.021818114778313358,0.23085985960730088,-0.038033149573082708,0.010257993528212278,-0.16011130205673302,0.013440964534519094
4,JAK2,9.0962336866632336e-14,-0.064412884617704599,-0.11218733590541598,0.32728570793774359,-0.076275683983382719,0.0063174236027068766,0.085708153812073265,-0.084943047583952644
4,KDR,1.3127586520911706e-14,-0.049239094539062944,-0.18623705770910748,0.70167721379319403,0.058290201016914817,-0.023977789170601931,-0.41242063026266301,0.014996130967806736
4,KIT,-1.413242432323262e-13,-0.12209989216266257,0.25559271531564876,0.29499612493681221,-0.16295134333399391,-0.11221948933661491,-0.12831008086975154,-0.038244491395215116
4,LCK,-2.0618063689377801e-13,0.34156956039762543,0.18887359087774735,-0.97070510098683749,-0.026065249135223689,-0.04769698986646459,0.51786322705780052,0.10042954204171024
4,MAP2K1,-3.3948484794803017e-13,0.2007116983661576,-0.11941284315587782,-0.59924183824274724,0.044450453137995657,0.12751899446314385,0.029352143122332402,-0.089172210942329549
4,MAPK1,8.1179455053199938e-14,-0.161731830587659,-0.033402378093396225,0.58858568251739252,-0.15554853101183647,-0.13102332913175219,-0.23427873303417263,-0.1057121235128895
4,MAPK14,-2.6610094603777194e-13,0.17168765110267775,0.021807239757800925,-0.34720535238208938,0.15756702402227676,0.12870825008803413,0.16663412507112704,0.18822733214189541
4,MAPKAPK2,4.8819031040165942e-13,0.49435000061486017,-0.19158958089814926,-0.38448247776999872,-0.097636912434647338,0.11286940805950749,0.02389873058454197,-0.043964335883775525
4,MET,-2.5592345539402433e-13,-0.070543393012198363,-0.066104079342321126,0.53358114337018814,0.091832639101224009,-0.031158546283693436,-0.4228046942116977,-0.02520392106443102
4,PLK1,1.2075597570366877e-14,-0.52711144278332056,0.1178301553529621,0.26567280073859106,0.019894664637458551,-0.090910529944993101,0.11428358213391385,-0.057870217427034153
4,ROCK1,-4.1339458993877158e-14,0.27945968075091066,0.0024709568196426821,-1.2473266720967884,0.19131431102555502,0.18993614093216324,0.41711249594845312,0.11953251060257319
4,SRC,3.7304177393345619e-14,0.19891063760288519,0.16844304969100374,-0.71161771023618281,-0.048706683002335979,-0.096159166688286501,0.33732825753796247,0.07810625109158946
4,SHARED_TARGET_BLIND,4.0146314786967158e-15,0.0142402987036283,0.006098299397338908,-0.068923023418334464,-0.00060064730426675963,0.0047901384171434355,0.032556067953841548,0.00049560756100369067
5,ABL1,1.0126437978161549e-13,-0.0087389340081202322,0.039968956187891737,0.46345818737215166,-0.079041043578835207,-0.098115822512183704,0.0089618233110230084,-0.026650685559394635
5,AKT1,2.4849128134807883e-13,0.1316587385746015,-0.18696564142925182,-0.67688568989221753,0.055642201556292702,0.18289996099257602,0.059749151075044096,-0.061544664314984114
5,AKT2,4.2414749213740562e-13,0.41546535997674361,0.21695274536171644,-1.1042022361110482,-0.00083742974388315808,0.10688632687486621,0.25189904267585933,0.015792003411444131
5,CDK2,-2.6160129063799452e-13,0.029980137622286178,-0.11452108475711467,-0.21593070031307399,0.060890680274502819,0.042030620495915806,0.13415853818639351,0.047086927103022563
5,CSF1R,2.0642563943002915e-13,-0.2724694039782169,0.15907759299714719,0.32658914944117889,0.10180230257044448,-0.025092322925894459,0.097393405173335848,0.050598349932352127
5,EGFR,-2.4119526141702819e-13,-0.63569899350181081,-0.19091296304328909,0.90155779789882229,-0.039864331113391348,-0.097826998424967351,-0.12992318726492091,-0.17228751305112466
5,FGFR1,4.2276893699507926e-14,-0.036922171841553476,0.13376759881999048,0.22855292106807826,-0.080231130339130471,-0.059483434597082975,-0.11317502207738882,0.077675800721885999
5,IGF1R,3.6796540842851053e-14,-0.051561388431666286,-0.014577385917563017,0.29719355788726287,-0.024526303325090003,0.017981634410123876,-0.16371810264274711,0.015960529821373279
5,JAK2,1.657501824571736e-13,-0.12793034923845906,-0.14572007251179189,0.41499612554570681,-0.068923832766854085,0.0076682166257133234,0.088535115934446171,-0.075872298084555076
5,KDR,5.3373087082552309e-14,-0.03635803629137447,-0.13959868084990182,0.64718781366709732,0.052100383556470425,-0.031258102005892505,-0.40966648206440842,0.017680842447023788
5,KIT,-2.8681796621221546e-13,-0.11944661088933284,0.28170092824090703,0.27534904891793721,-0.17353665641882546,-0.1219977307320446,-0.12274501081820545,-0.041588224939423699
5,LCK,-3.1631643043714108e-13,0.3521798569836655,0.17570917679775047,-0.9682653906406099,-0.028814849180335621,-0.042517892165884127,0.51496254589161561,0.09943321557706189
5,MAP2K1,-3.5811777230208745e-13,0.21948304216796452,-0.13175202836922814,-0.61388253028699413,0.042515990091441518,0.12287921205647616,0.040633039637617177,-0.082705688407283873
5,MAPK1,1.0058820284901253e-13,-0.16224565379195047,-0.019263323089996679,0.57392436988883178,-0.14955504413351275,-0.12483774334539816,-0.23917953547793852,-0.10834515074313511
5,MAPK14,-1.1517430369774471e-13,0.15677928848408834,0.013347761254850493,-0.33083794029110974,0.16757494917455962,0.13282578436954331,0.16557478278980609,0.18999322995081186
5,MAPKAPK2,3.4381294917038097e-13,0.50021483785227028,-0.20083765884933014,-0.37249494813719847,-0.097745676128869377,0.11787460151955782,0.019431531238754556,-0.052708807347713167
5,MET,-3.2759137558274001e-13,-0.058238288027071525,-0.059024531523507326,0.51010942078420796,0.095483967215746382,-0.028776156466636588,-0.4203535413022787,-0.021431400788433048
5,PLK1,1.5006849418228959e-13,-0.51629315817815391,0.084118795803860794,0.29130902283180571,0.023941887996982835,-0.088185189629066393,0.10850698582340082,-0.059865957131376109
5,ROCK1,-7.4097043103037115e-14,0.23618016439382439,-0.02561941436089421,-1.1829520040241934,0.19853533949395455,0.18975512024319655,0.4179155181168282,0.12591770542050559
5,SRC,1.1718683635435495e-13,0.2107595034892164,0.16244941371672145,-0.71657150541025161,-0.053398280056779095,-0.094269247869111589,0.33726544271744141,0.076318815522113004
5,SHARED_TARGET_BLIND,5.0458443900324713e-16,0.011339897068348035,0.0019150092239484345,-0.062589776490181132,0.00010065625724438709,0.005422041845690344,0.032311302046183966,0.00067285147700846693
