omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
LCK,PKIS2,top_10_roc_auc,0.6,0.04103122730573705
LCK,PKIS2,top_10_average_precision,0.6,0.04419953579229435
LCK,PKIS2,top_15_roc_auc,0.6,0.04137931034482756
LCK,PKIS2,top_15_average_precision,0.6,0.05482937733655885
LCK,KiRHub,continuous_spearman,0.6,0.06334269325845399
LCK,KiRHub,top_5_roc_auc,0.6,0.04595336076817558
LCK,KiRHub,top_5_average_precision,0.6,0.050664156545120353
LCK,KiRHub,top_10_roc_auc,0.6,0.04793028322440085
LCK,KiRHub,top_10_average_precision,0.6,0.0787247947744234
LCK,KiRHub,top_15_roc_auc,0.6,0.05941644562334225
LCK,KiRHub,top_15_average_precision,0.6,0.07404110077093129
MAP2K1,DAVIS,continuous_spearman,0.55,0.01977344181246543
MAP2K1,DAVIS,top_5_roc_auc,0.55,0.03017832647462282
MAP2K1,DAVIS,top_5_average_precision,0.55,0.042849380472862464
MAP2K1,DAVIS,top_10_roc_auc,0.55,0.024328249818445835
MAP2K1,DAVIS,top_10_average_precision,0.55,0.043145801228394454
MAP2K1,DAVIS,top_15_roc_auc,0.55,0.025198938992042508
MAP2K1,DAVIS,top_15_average_precision,0.55,0.03548087270579725
MAP2K1,PKIS2,continuous_spearman,0.55,0.011363909088727309
MAP2K1,PKIS2,top_5_roc_auc,0.55,0.02537722908093276
MAP2K1,PKIS2,top_5_average_precision,0.55,0.024229812407362133
MAP2K1,PKIS2,top_10_roc_auc,0.55,0.015976761074800283
MAP2K1,PKIS2,top_10_average_precision,0.55,0.016183558210340288
MAP2K1,PKIS2,top_15_roc_auc,0.55,0.018302387267904452
MAP2K1,PKIS2,top_15_average_precision,0.55,0.03133343831492014
MAP2K1,KiRHub,continuous_spearman,0.55,0.019519043847649187
MAP2K1,KiRHub,top_5_roc_auc,0.55,0.01851851851851849
MAP2K1,KiRHub,top_5_average_precision,0.55,0.017254041234561812
MAP2K1,KiRHub,top_10_roc_auc,0.55,0.025054466230936878
MAP2K1,KiRHub,top_10_average_precision,0.55,0.04694284870770293
MAP2K1,KiRHub,top_15_roc_auc,0.55,0.025198938992042508
MAP2K1,KiRHub,top_15_average_precision,0.55,0.04041107346859213
MAPK1,DAVIS,continuous_spearman,0.6,0.01873425012599894
MAPK1,DAVIS,top_5_roc_auc,0.6,0.020576131687242816
MAPK1,DAVIS,top_5_average_precision,0.6,0.01616021785132557
MAPK1,DAVIS,top_10_roc_auc,0.6,0.020334059549745875
MAPK1,DAVIS,top_10_average_precision,0.6,0.025220969174581664
MAPK1,DAVIS,top_15_roc_auc,0.6,0.020159151193633984
MAPK1,DAVIS,top_15_average_precision,0.6,0.021168545874698963
MAPK1,PKIS2,continuous_spearman,0.6,0.013840689274485785
MAPK1,PKIS2,top_5_roc_auc,0.6,0.015089163237311465
MAPK1,PKIS2,top_5_average_precision,0.6,0.014543428031216415
MAPK1,PKIS2,top_10_roc_auc,0.6,0.009440813362381895
MAPK1,PKIS2,top_10_average_precision,0.6,0.019695026887814826
MAPK1,PKIS2,top_15_roc_auc,0.6,0.010875331564986768
MAPK1,PKIS2,top_15_average_precision,0.6,0.01571362397576037
MAPK1,KiRHub,continuous_spearman,0.6,0.01907984736122109
MAPK1,KiRHub,top_5_roc_auc,0.6,0.010973936899862813
MAPK1,KiRHub,top_5_average_precision,0.6,0.023139308173536544
MAPK1,KiRHub,top_10_roc_auc,0.6,0.0188816267247639
MAPK1,KiRHub,top_10_average_precision,0.6,0.027382486967027553
MAPK1,KiRHub,top_15_roc_auc,0.6,0.023342175066313087
MAPK1,KiRHub,top_15_average_precision,0.6,0.026439779147486908
MAPK14,DAVIS,continuous_spearman,0.6,0.02650538795689633
MAPK14,DAVIS,top_5_roc_auc,0.6,0.03017832647462282
MAPK14,DAVIS,top_5_average_precision,0.6,0.052316191704855214
MAPK14,DAVIS,top_10_roc_auc,0.6,0.035584604212055226
MAPK14,DAVIS,top_10_average_precision,0.6,0.053069398591787775
