target_a,target_b,klifs_pocket_identity,ungated_locked_mean_absolute_error_gain,pocket_identity_quartile
FGFR1,MAPKAPK2,0.3294117647058823,0.01867099563541519,Q1_lowest
FGFR1,MET,0.4823529411764706,-0.003748885943524294,Q4_highest
FGFR1,PLK1,0.3058823529411765,0.007599813628092182,Q1_lowest
FGFR1,ROCK1,0.3529411764705882,0.010886046283959283,Q2
FGFR1,SRC,0.4470588235294118,-0.01741453679081223,Q3
IGF1R,JAK2,0.4470588235294118,0.00387385003392234,Q3
IGF1R,KDR,0.4588235294117647,0.005956143172652806,Q4_highest
IGF1R,KIT,0.4470588235294118,0.008896342140610025,Q3
IGF1R,LCK,0.4235294117647059,-0.0016493497400951924,Q3
IGF1R,MAP2K1,0.3411764705882353,-0.0014028368093960502,Q2
IGF1R,MAPK1,0.3176470588235294,0.00974612377235251,Q1_lowest
IGF1R,MAPK14,0.3294117647058823,0.0024353815437071122,Q1_lowest
IGF1R,MAPKAPK2,0.3176470588235294,0.005330247692501566,Q1_lowest
IGF1R,MET,0.5058823529411764,-0.005127798360622308,Q4_highest
IGF1R,PLK1,0.388235294117647,0.007661875833962828,Q3
IGF1R,ROCK1,0.3294117647058823,0.00013016763439543944,Q1_lowest
IGF1R,SRC,0.4588235294117647,-0.0022329819501702244,Q4_highest
JAK2,KDR,0.4588235294117647,-0.01861221638864191,Q4_highest
JAK2,KIT,0.4941176470588235,-0.0027001149902487476,Q4_highest
JAK2,LCK,0.4941176470588235,-0.012509229415725742,Q4_highest
JAK2,MAP2K1,0.3647058823529411,0.003330103093682276,Q2
JAK2,MAPK1,0.3411764705882353,-0.008183881634673207,Q2
JAK2,MAPK14,0.3764705882352941,-0.004229258734098518,Q3
JAK2,MAPKAPK2,0.3647058823529411,-0.011012718852552839,Q2
JAK2,MET,0.388235294117647,0.01989058184002357,Q3
JAK2,PLK1,0.3764705882352941,0.005718655681035541,Q3
JAK2,ROCK1,0.3176470588235294,0.008350641376361212,Q1_lowest
JAK2,SRC,0.4470588235294118,0.004166559818367721,Q3
KDR,KIT,0.7411764705882353,0.006246340981826415,Q4_highest
KDR,LCK,0.4352941176470588,-0.007104957341639018,Q3
KDR,MAP2K1,0.3294117647058823,-0.011736704035846776,Q1_lowest
KDR,MAPK1,0.3529411764705882,0.01168753807641501,Q2
KDR,MAPK14,0.388235294117647,0.00454546731966395,Q3
KDR,MAPKAPK2,0.2941176470588235,0.013672722217487943,Q1_lowest
KDR,MET,0.4705882352941176,0.016731089140950395,Q4_highest
KDR,PLK1,0.3529411764705882,0.018535387422184524,Q2
KDR,ROCK1,0.3647058823529411,-0.016607237957132592,Q2
