null_repetition,panel,fixed_experimental_endpoint,raw_docking_concordance,centered_docking_concordance,centered_minus_raw_docking
21,DAVIS,raw_experimental_target_geometry,0.04228634413258277,0.05747790068539587,0.015191556552813103
21,DAVIS,two_way_centered_experimental_target_geometry,0.05278204236594978,0.06527575483210646,0.01249371246615668
21,PKIS2,raw_experimental_target_geometry,0.11498291977762908,-0.009751254226316227,-0.1247341740039453
21,PKIS2,two_way_centered_experimental_target_geometry,0.0019761445498563167,0.020602116110520634,0.01862597156066432
21,PKIS1,raw_experimental_target_geometry,0.12659659620254826,0.05295175110551248,-0.07364484509703578
21,PKIS1,two_way_centered_experimental_target_geometry,0.05184252078713363,0.0618325919510819,0.009990071163948268
21,KiRHub,raw_experimental_target_geometry,0.0634369518910715,0.045647277005777975,-0.017789674885293524
21,KiRHub,two_way_centered_experimental_target_geometry,-0.025777357879865462,1.837053366400294e-05,0.025795728413529465
22,DAVIS,raw_experimental_target_geometry,-0.0751398566223587,-0.020000262436195203,0.055139594186163494
22,DAVIS,two_way_centered_experimental_target_geometry,-0.06829202150227226,-0.048301381726567734,0.019990639775704526
22,PKIS2,raw_experimental_target_geometry,-0.07981996877009279,-0.09328294558385493,-0.013462976813762143
22,PKIS2,two_way_centered_experimental_target_geometry,-0.04658679858459412,-0.05096073517126149,-0.004373936586667369
22,PKIS1,raw_experimental_target_geometry,-0.11379145945142088,-0.08629689406762982,0.027494565383791067
22,PKIS1,two_way_centered_experimental_target_geometry,-0.008120650666806634,-0.06988413441981918,-0.06176348375301255
22,KiRHub,raw_experimental_target_geometry,-0.08929216584217964,-0.007298350588513169,0.08199381525366647
22,KiRHub,two_way_centered_experimental_target_geometry,-0.053518613287144565,-0.06777064826114153,-0.014252034973996963
23,DAVIS,raw_experimental_target_geometry,0.023306958495715728,0.045642028281873984,0.022335069786158256
23,DAVIS,two_way_centered_experimental_target_geometry,0.14108657332685992,0.12353134144261178,-0.017555231884248138
23,PKIS2,raw_experimental_target_geometry,0.09537368727228193,-0.007333342081206507,-0.10270702935348844
23,PKIS2,two_way_centered_experimental_target_geometry,0.11880748992901102,0.08930791201389164,-0.029499577915119382
23,PKIS1,raw_experimental_target_geometry,-0.044637772441575144,-0.015276410922594446,0.029361361518980698
