inchikey,row_mean_all_44,row_mean_local_targets,local_minus_all_row_mean,observed_targets,eligible_nontied_target_pairs,changed_pair_predictions,accuracy_all_44_row_mean,accuracy_local_target_row_mean,local_minus_all_accuracy,accuracy_absolute_vina,accuracy_column_standardized
CURUTKGFNZGFSE-UHFFFAOYSA-N,-7.0181818181818185,-7.092105263157895,-0.07392344497607617,7,21,0,0.7619047619047619,0.7619047619047619,0.0,0.8095238095238095,0.7619047619047619
CYQFCXCEBYINGO-IAGOWNOFSA-N,-8.215402179374761,-8.312570944539194,-0.09716876516443307,2,1,0,1.0,1.0,0.0,1.0,1.0
DANYIYRPLHHOCZ-UHFFFAOYSA-N,-8.479545454545457,-8.584210526315792,-0.10466507177033435,2,1,0,1.0,1.0,0.0,1.0,0.0
DDKOMKXCUXCQBS-UHFFFAOYSA-O,-6.672727272727275,-6.671052631578949,0.0016746411483259394,3,3,0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666
DERZBLKQOCDDDZ-JLHYYAGUSA-N,-8.726765815738396,-8.830991997170775,-0.10422618143237905,11,55,1,0.3090909090909091,0.2909090909090909,-0.018181818181818188,0.3090909090909091,0.21818181818181817
DKGZKTPJOSAWFA-UHFFFAOYSA-N,-9.033583997556578,-9.080991997170775,-0.047407999614197394,6,15,0,0.4666666666666667,0.4666666666666667,0.0,0.6666666666666666,0.5333333333333333
DMULVCHRPCFFGV-UHFFFAOYSA-N,-6.693181818181818,-6.739473684210526,-0.046291866028707496,3,3,0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.952272727272731,-7.968421052631579,-0.01614832535884858,2,1,0,0.0,0.0,0.0,0.0,0.0
DQFBYFPFKXHELB-VAWYXSNFSA-N,-8.179545454545455,-8.249999999999998,-0.07045454545454355,2,1,0,1.0,1.0,0.0,0.0,1.0
DRHKJLXJIQTDTD-OAHLLOKOSA-N,-7.076765815738397,-7.141518312960248,-0.06475249722185161,4,6,1,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.8333333333333334,0.8333333333333334
FEBOTPHFXYHVPL-UHFFFAOYSA-N,-9.235856724829306,-9.325728839276037,-0.08987211444673093,2,1,0,0.0,0.0,0.0,0.0,1.0
FGXWKSZFVQUSTL-UHFFFAOYSA-N,-9.199493088465667,-9.344149891907618,-0.14465680344195064,10,45,1,0.6,0.5777777777777777,-0.022222222222222254,0.5555555555555556,0.6666666666666666
FIADGNVRKBPQEU-UHFFFAOYSA-N,-8.03358399755658,-8.128360418223407,-0.09477642066682712,4,5,0,0.4,0.4,0.0,0.4,0.4
FJUKDAZEABGEIH-UHFFFAOYSA-N,-8.247220361192943,-8.380991997170776,-0.13377163597783337,12,66,2,0.5151515151515151,0.5151515151515151,0.0,0.5378787878787878,0.45454545454545453
