sampling_scheme,repetition,sample_size,metric,DAVIS_augmented_minus_baseline,PKIS2_augmented_minus_baseline,KiRHub_augmented_minus_baseline,mean_locked_delta,minimum_locked_panel_delta,positive_on_every_locked_panel
uniform_random,184,160,continuous_spearman,0.1934137262877963,0.19080161135823848,0.108361654572732,0.16419233073958892,0.108361654572732,True
uniform_random,184,160,top_10_roc_auc,0.10803324099722988,0.11849799938442596,0.11141889812249928,0.1126500461680517,0.10803324099722988,True
uniform_random,184,160,top_10_average_precision,0.05699339937200068,0.04993184048301391,0.054818734161550614,0.05391465800552173,0.04993184048301391,True
uniform_random,184,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,184,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,184,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,185,10,continuous_spearman,0.18761388637387535,0.1962952757110927,0.15056839305943742,0.17815918504813513,0.15056839305943742,True
uniform_random,185,10,top_10_roc_auc,0.13481071098799635,0.13450292397660812,0.13450292397660824,0.1346055196470709,0.13450292397660812,True
uniform_random,185,10,top_10_average_precision,0.07002793500881821,0.045546511755954436,0.0921342735530373,0.06923624010593665,0.045546511755954436,True
uniform_random,185,20,continuous_spearman,0.23590739501458707,0.2794858000148714,0.22563214318518815,0.24700844607154884,0.22563214318518815,True
uniform_random,185,20,top_10_roc_auc,0.1452754693751923,0.17913204062788546,0.1760541705140043,0.1668205601723607,0.1452754693751923,True
uniform_random,185,20,top_10_average_precision,0.13396555524666426,0.10572318907913841,0.2069855313007466,0.14889142520884976,0.10572318907913841,True
uniform_random,185,40,continuous_spearman,0.19252669194802013,0.2000201201082987,0.1385453161700062,0.177030709408775,0.1385453161700062,True
uniform_random,185,40,top_10_roc_auc,0.12465373961218829,0.12957833179439826,0.16220375500153894,0.13881194213604184,0.12465373961218829,True
uniform_random,185,40,top_10_average_precision,0.18110875965351667,0.14027273310049332,0.20836664666547114,0.176582713139827,0.14027273310049332,True
uniform_random,185,80,continuous_spearman,0.15237220450777905,0.1749102249515586,0.09325057845311358,0.1401776693041504,0.09325057845311358,True
uniform_random,185,80,top_10_roc_auc,0.09233610341643583,0.10957217605417047,0.133887349953832,0.11193187647481277,0.09233610341643583,True
uniform_random,185,80,top_10_average_precision,0.05300808273592714,0.05125652553111744,0.11714545824252423,0.0738033555031896,0.05125652553111744,True
uniform_random,185,160,continuous_spearman,0.20300139528577116,0.24527286803395926,0.13307439628740259,0.193782886535711,0.13307439628740259,True
uniform_random,185,160,top_10_roc_auc,0.11634349030470914,0.12434595260080028,0.13788858110187752,0.12619267466912898,0.11634349030470914,True
uniform_random,185,160,top_10_average_precision,0.08711144065305795,0.07787208520507163,0.10323199301115768,0.0894051729564291,0.07787208520507163,True
uniform_random,185,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
