dropped_target,panel,analysis_role,remaining_targets,sequence_continuous_spearman,Vina_continuous_spearman,fusion_continuous_spearman,fusion_minus_sequence_continuous_spearman,fusion_minus_Vina_continuous_spearman
KDR,DAVIS,locked_no_retuning_evaluation,19,0.24303838480917,0.235882112943096,0.297981670909179,0.054943286100009,0.0620995579660822
KDR,PKIS2,locked_no_retuning_evaluation,19,0.212085739572257,0.233712530299758,0.276449545514017,0.0643638059417603,0.0427370152142593
KDR,KiRHub,locked_no_retuning_evaluation,19,0.294326128370683,0.290032879736962,0.371035853469579,0.076709725098896,0.0810029737326166
KIT,PKIS1,post_hoc_discovery,19,0.150828445858449,0.135224518203854,0.168378306458665,0.0175498606002154,0.0331537882548104
KIT,DAVIS,locked_no_retuning_evaluation,19,0.187745061275538,0.229186166510668,0.265135351269199,0.0773902899936606,0.0359491847585312
KIT,PKIS2,locked_no_retuning_evaluation,19,0.207028964856107,0.255734754121967,0.285208216969453,0.0781792521133461,0.0294734628474865
KIT,KiRHub,locked_no_retuning_evaluation,19,0.294831325844698,0.286692106463148,0.373629868394804,0.0787985425501065,0.0869377619316558
LCK,PKIS1,post_hoc_discovery,19,0.171616044890515,0.251342789257686,0.253067993627871,0.0814519487373569,0.00172520437018553
LCK,DAVIS,locked_no_retuning_evaluation,19,0.214236257361856,0.351001991984064,0.350350975070181,0.136114717708325,-0.000651016913883362
LCK,PKIS2,locked_no_retuning_evaluation,19,0.224558611943563,0.378011375908993,0.368765236557232,0.144206624613669,-0.00924613935176122
LCK,KiRHub,locked_no_retuning_evaluation,19,0.286514339338764,0.428883768929849,0.448464368304542,0.161950028965779,0.0195805993746935
MAP2K1,PKIS1,post_hoc_discovery,19,0.222706619219322,0.147750017999856,0.217589856516969,-0.0051167627023522,0.0698398385171135
MAP2K1,DAVIS,locked_no_retuning_evaluation,19,0.286683022565725,0.285556915544676,0.354596788524527,0.0679137659588029,0.0690398729798518
MAP2K1,PKIS2,locked_no_retuning_evaluation,19,0.288829809255651,0.283634530923753,0.352103135159268,0.0632733259036171,0.068468604235515
MAP2K1,KiRHub,locked_no_retuning_evaluation,19,0.357652982552088,0.296464828281374,0.407664324192726,0.0500113416406383,0.111199495911352
MAPK1,PKIS1,post_hoc_discovery,19,0.262744843924389,0.154873161014712,0.252094346189061,-0.0106504977353282,0.0972211851743492
MAPK1,DAVIS,locked_no_retuning_evaluation,19,0.312173826437187,0.274387404900761,0.366546864195962,0.0543730377587755,0.0921594592952013
MAPK1,PKIS2,locked_no_retuning_evaluation,19,0.323039778627067,0.278347373221014,0.373564618589717,0.0505248399626494,0.0952172453687025
MAPK1,KiRHub,locked_no_retuning_evaluation,19,0.401268634420609,0.326258189934481,0.457402063051223,0.0561334286306137,0.131143873116742
MAPK14,PKIS1,post_hoc_discovery,19,0.238707463238893,0.199952000383997,0.269542338705237,0.0308348754663438,0.0695903383212401
MAPK14,DAVIS,locked_no_retuning_evaluation,19,0.269874888701401,0.305551155590755,0.359566189350522,0.0896913006491219,0.0540150337597671
MAPK14,PKIS2,locked_no_retuning_evaluation,19,0.291520367486782,0.303554371565028,0.369546838872195,0.0780264713854134,0.0659924673071676
MAPK14,KiRHub,locked_no_retuning_evaluation,19,0.358812390651646,0.349518803849569,0.447228380953046,0.0884159903014,0.0977095771034766
MAPKAPK2,PKIS1,post_hoc_discovery,19,0.221167426864755,0.153843569251446,0.217439722836413,-0.00372770402834152,0.0635961535849675
MAPKAPK2,DAVIS,locked_no_retuning_evaluation,19,0.269295615101039,0.256785945712434,0.323229123299817,0.0539335081987785,0.0664431775873827
MAPKAPK2,PKIS2,locked_no_retuning_evaluation,19,0.278944772644808,0.259032327741378,0.326127183580673,0.0471824109358648,0.0670948558392946
MAPKAPK2,KiRHub,locked_no_retuning_evaluation,19,0.357701626115163,0.305601555187558,0.412881788112427,0.0551801619972636,0.107280232924868
MET,PKIS1,post_hoc_discovery,19,0.266703146440924,0.209249526003792,0.283874978352282,0.0171718319113581,0.0746254523484902
MET,DAVIS,locked_no_retuning_evaluation,19,0.296200163559466,0.319951040391677,0.381275647191639,0.0850754836321735,0.0613246067999624
MET,PKIS2,locked_no_retuning_evaluation,19,0.274571497657159,0.296186430508556,0.349039163891798,0.0744676662346382,0.0528527333832416
MET,KiRHub,locked_no_retuning_evaluation,19,0.396946738930862,0.359291525667795,0.474423399498419,0.0774766605675569,0.115131873830624
PLK1,PKIS1,post_hoc_discovery,19,0.231661380691426,0.163345093239254,0.237778517878512,0.00611713718708551,0.0744334246392575
PLK1,DAVIS,locked_no_retuning_evaluation,19,0.272521200908482,0.253989968080255,0.330031470718242,0.0575102698097605,0.0760415026379871
PLK1,PKIS2,locked_no_retuning_evaluation,19,0.291551917173454,0.270521035831713,0.347467802014893,0.0559158848414391,0.0769467661831794
PLK1,KiRHub,locked_no_retuning_evaluation,19,0.379577529861328,0.307379940960472,0.432836224046029,0.0532586941847003,0.125456283085556
ROCK1,PKIS1,post_hoc_discovery,19,0.210624146880213,0.142018863849089,0.214731701067236,0.00410755418702266,0.0727128372181469
ROCK1,DAVIS,locked_no_retuning_evaluation,19,0.24609356953326,0.250605995152039,0.319827674423028,0.0737341048897683,0.0692216792709892
ROCK1,PKIS2,locked_no_retuning_evaluation,19,0.253769931151486,0.26437468500252,0.326850313198941,0.0730803820474543,0.0624756281964206
ROCK1,KiRHub,locked_no_retuning_evaluation,19,0.325851170745613,0.296652026783786,0.400482416755407,0.0746312460097945,0.103830389971621
SRC,PKIS1,post_hoc_discovery,19,0.208563757182153,0.277284181726546,0.301422384560724,0.0928586273785711,0.0241382028341775
SRC,DAVIS,locked_no_retuning_evaluation,19,0.237045614772993,0.350437996496028,0.370178767192337,0.133133152419344,0.0197407706963088
SRC,PKIS2,locked_no_retuning_evaluation,19,0.246735566323279,0.372378620971032,0.386647850465799,0.13991228414252,0.0142692294947663
SRC,KiRHub,locked_no_retuning_evaluation,19,0.318431607843394,0.413132694938441,0.464705593083757,0.146273985240363,0.0515728981453164
