target_support,ligand_support,component,descriptor,descriptor_spearman_rho,dockstring_target,docking44_slope_per_descriptor_sd,dockstring_term_slope_per_descriptor_sd
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,ADRB1,-0.11020336204996,-0.041155431170798215
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,ADORA2A,-0.1204180974671162,-0.01979406015544108
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,AR,0.1652051279087681,0.10189476405654331
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,PTGS2,0.0736524268481949,0.08430053046907253
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,ACHE,-0.1255919874659024,-0.019890683212601727
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,DRD2,-0.0433081478964118,-0.001818981389448435
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,LCK,-0.0387194876479238,0.019025225810716462
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,NR3C1,0.1033963472975031,-0.1255974386397464
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,ADRB2,-0.1198092063249794,-0.06649775941736653
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,ADRB1,-0.1353347276622611,-0.03489052796715949
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,ADORA2A,0.0213544842673491,0.05520779629475874
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,AR,0.0866283457685421,0.02852318217654885
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,PTGS2,0.2273209355523062,0.07257049950205365
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,ACHE,-0.0074452921725787,0.04534128684396852
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,DRD2,-0.0084592699909194,0.011943696048563606
all_9_mapped_targets,all_selected_ligands,post_gauss1,rotatable_bonds,0.44999999999999996,LCK,-0.051182140678297,0.013399265158379154
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,NR3C1,0.1808728054418931,-0.13619303479227152
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,ADRB2,-0.2918932615534004,-0.14010974328041503
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,ADRB1,-0.2888038371157874,-0.08876735739414339
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,ADORA2A,-0.0684379445172921,-0.033143957175516416
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,AR,0.539277715515936,0.18496971594290998
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,PTGS2,0.3541913741352515,0.18760379058798982
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,ACHE,-0.2528490510517092,0.0622644646060512
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,DRD2,-0.062601907343823,-0.03452205699104487
all_9_mapped_targets,all_selected_ligands,post_gauss1,ring_count,0.6166666666666665,LCK,-0.0575172140944752,-0.002101821503559782
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,NR3C1,0.2260202592664451,-0.17893061835365545
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,ADRB2,-0.2666998880366934,-0.2371903051728853
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,ADRB1,-0.3336395894984085,-0.22024337983034223
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,ADORA2A,4.4595495800410814e-05,-0.02387226248965225
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,AR,0.4828635088286998,0.6556836398526291
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,PTGS2,0.4437132110090549,0.21688071009953747
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,ACHE,-0.1729644194779466,-0.08372050175402847
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,DRD2,-0.0364321346513515,-0.11193287516464909
all_9_mapped_targets,all_selected_ligands,post_gauss2,heavy_atoms,0.7333333333333333,LCK,-0.099457348017531,-0.016674407186953837
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,NR3C1,0.181761587978138,-0.17724140003520963
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,ADRB2,-0.1933161663540562,-0.23365857759794023
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,ADRB1,-0.304916058350481,-0.21017412629255414
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,ADORA2A,0.0330735591252509,-0.021313539888280046
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,AR,0.4173901626894785,0.6227600915292315
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,PTGS2,0.4112464691827339,0.2230997643475431
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,ACHE,-0.0931613913374121,-0.08333888500758607
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,DRD2,-0.0166485895484512,-0.1059254494163263
all_9_mapped_targets,all_selected_ligands,post_gauss2,molecular_weight,0.7,LCK,-0.0940592354136013,-0.014207877638878312
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,NR3C1,0.2156763470327827,-0.17574984659181728
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,ADRB2,-0.2502513265205406,-0.24034534448515626
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,ADRB1,-0.3304521165517704,-0.2188642880868618
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,ADORA2A,0.0064905522552032,-0.0217817491237643
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,AR,0.4743633768218913,0.647924953719894
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,PTGS2,0.4456430435808976,0.22215184534699672
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,ACHE,-0.1504079342810922,-0.0846687332643776
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,DRD2,-0.0299788607145813,-0.11089273889601699
all_9_mapped_targets,all_selected_ligands,post_gauss2,labute_asa,0.7333333333333333,LCK,-0.1001945423042306,-0.017774098618896436
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,NR3C1,0.1544859566020453,-0.08730898136073503
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,ADRB2,-0.1069883827121139,-0.11071158421481286
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,ADRB1,-0.2058612332109472,-0.09544490737701962
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,ADORA2A,0.1023532738095877,-0.008461438252781556
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,AR,0.22931481780664,0.29875581697480225
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,PTGS2,0.2757108812879421,0.11531033353792002
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,ACHE,-0.021464799057545,-0.05606245115414109
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,DRD2,0.0078206912916749,-0.06360389314514536
all_9_mapped_targets,all_selected_ligands,post_gauss2,tpsa,0.6833333333333333,LCK,-0.0715454745119449,0.007527104991913227
all_9_mapped_targets,all_selected_ligands,post_gauss2,clogp,0.7999999999999998,NR3C1,0.0888282267253159,-0.027436434954147222
