component,response,descriptor,spearman_rho,p_value_descriptive_only
pre_repulsion,residual_rms,clogp,0.3916915397798148,3.2024465819463684e-20
pre_repulsion,row_mean,tpsa,0.5078403275392278,6.418877447354042e-35
pre_repulsion,residual_rms,tpsa,0.32488661852658096,4.741671275521785e-14
pre_repulsion,row_mean,hbd,0.31446050317334767,3.249883269000244e-13
pre_repulsion,residual_rms,hbd,0.1636518246240039,0.00019995784090450736
pre_repulsion,row_mean,hba,0.4059170906675635,9.909054203613084e-22
pre_repulsion,residual_rms,hba,0.30634971309368164,1.3800468919581487e-12
pre_repulsion,row_mean,rotatable_bonds,0.5075933759065926,6.999755203383609e-35
pre_repulsion,residual_rms,rotatable_bonds,0.42462087651513686,7.902861493905195e-24
pre_repulsion,row_mean,rdkit_rotatable_bonds,0.5075933759065926,6.999755203383609e-35
pre_repulsion,residual_rms,rdkit_rotatable_bonds,0.42462087651513686,7.902861493905195e-24
pre_repulsion,row_mean,ring_count,0.4636488346273932,1.187596886155293e-28
pre_repulsion,residual_rms,ring_count,0.5470867424136995,2.618154032257504e-41
pre_hydrophobic,row_mean,heavy_atoms,-0.3966978293455228,9.606744151763268e-21
pre_hydrophobic,residual_rms,heavy_atoms,0.6316195907348082,2.342363306768979e-58
pre_hydrophobic,row_mean,molecular_weight,-0.33682781797530353,4.765331985359021e-15
pre_hydrophobic,residual_rms,molecular_weight,0.5909725619699935,1.5691589437043096e-49
pre_hydrophobic,row_mean,labute_asa,-0.394517347163571,1.6271384843018155e-20
pre_hydrophobic,residual_rms,labute_asa,0.6316844479921264,2.2621041204385707e-58
pre_hydrophobic,row_mean,clogp,-0.5570023446172508,4.638165746205527e-43
pre_hydrophobic,residual_rms,clogp,0.5046348748583788,1.965337942198587e-34
pre_hydrophobic,row_mean,tpsa,0.08622859365406146,0.05117675040492695
pre_hydrophobic,residual_rms,tpsa,0.1550329308800869,0.00043036091788492667
pre_hydrophobic,row_mean,hbd,-0.03646430344440621,0.41030888117454545
pre_hydrophobic,residual_rms,hbd,0.07498651927759634,0.0900770987772052
pre_hydrophobic,row_mean,hba,0.2578215311917696,3.220417800796412e-09
pre_hydrophobic,residual_rms,hba,0.12808724108159494,0.003694100727552177
pre_hydrophobic,row_mean,rotatable_bonds,-0.27244107034307447,3.6446698796564075e-10
pre_hydrophobic,residual_rms,rotatable_bonds,0.24910663781269574,1.1089155155575247e-08
pre_hydrophobic,row_mean,rdkit_rotatable_bonds,-0.27244107034307447,3.6446698796564075e-10
pre_hydrophobic,residual_rms,rdkit_rotatable_bonds,0.24910663781269574,1.1089155155575247e-08
pre_hydrophobic,row_mean,ring_count,-0.31785038645528957,1.7524208149502515e-13
pre_hydrophobic,residual_rms,ring_count,0.5821691249353114,8.828347161712271e-48
pre_hydrogen,row_mean,heavy_atoms,-0.2741707033061939,2.7917965048048534e-10
pre_hydrogen,residual_rms,heavy_atoms,0.24095567473035662,3.381884171865232e-08
pre_hydrogen,row_mean,molecular_weight,-0.31043462952782247,6.698955311203554e-13
pre_hydrogen,residual_rms,molecular_weight,0.28785069908027705,3.1708071187274044e-11
pre_hydrogen,row_mean,labute_asa,-0.25303861940083433,6.384072606801571e-09
pre_hydrogen,residual_rms,labute_asa,0.23550870572449215,6.969584586556404e-08
pre_hydrogen,row_mean,clogp,0.3222481970344142,7.772315267663833e-14
pre_hydrogen,residual_rms,clogp,-0.17990075251455917,4.2364674335999274e-05
