workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,pubchem_cid,pubchem_smiles,pubchem_inchikey,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,structure_fragment_count,butina_r2_2048_tanimoto50_cluster,butina_cluster_size,murcko_scaffold,murcko_scaffold_size,cluster_multiplier_group,cluster_multiplier_group_source
111,"PKR Inhibitor, Negative Control",852547-30-9,True,,,,,,ZJFMARHFPUZEKI,ZJFMARHFPUZEKI,ZJFMARHFPUZEKI,,,,,,U111,unresolved_identity_specific_singleton
112,PI-103,371935-74-9,True,9884685,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,TUVCWJQQGGETHL-UHFFFAOYSA-N,TUVCWJQQGGETHL-UHFFFAOYSA-N,TUVCWJQQGGETHL,TUVCWJQQGGETHL,,TUVCWJQQGGETHL,1,B061,1,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,1,B061,resolved_structure_butina
113,PI 3-Kg Inhibitor,648450-29-7,True,,,,,,SQWZFLMPDUSYGV,SQWZFLMPDUSYGV,SQWZFLMPDUSYGV,,,,,,U113,unresolved_identity_specific_singleton
114,PI 3-Kg Inhibitor II,648449-76-7,True,5287855,C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F,SRLVNYDXMUGOFI-YWEYNIOJSA-N,SRLVNYDXMUGOFI-YWEYNIOJSA-N,SRLVNYDXMUGOFI,SRLVNYDXMUGOFI,,SRLVNYDXMUGOFI,1,B060,1,O=C1NC(=O)C(=Cc2ccc3c(c2)OCO3)S1,1,B060,resolved_structure_butina
115,PP3,5334-30-5,True,4879,C1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)N,KKDPIZPUTYIBFX-UHFFFAOYSA-N,KKDPIZPUTYIBFX-UHFFFAOYSA-N,KKDPIZPUTYIBFX,KKDPIZPUTYIBFX,,KKDPIZPUTYIBFX,1,B059,1,c1ccc(-n2ncc3cncnc32)cc1,1,B059,resolved_structure_butina
116,"PP1 Analog II, 1NM-PP1",221244-14-0,True,5154691,CC(C)(C)N1C2=NC=NC(=C2C(=N1)CC3=CC=CC4=CC=CC=C43)N,GDQXJQSQYMMKRA-UHFFFAOYSA-N,GDQXJQSQYMMKRA-UHFFFAOYSA-N,GDQXJQSQYMMKRA,GDQXJQSQYMMKRA,,GDQXJQSQYMMKRA,1,B058,1,c1ccc2c(Cc3n[nH]c4ncncc34)cccc2c1,1,B058,resolved_structure_butina
117,"Staurosporine, N-benzoyl-",120685-11-2,True,9829523,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,BMGQWWVMWDBQGC-IIFHNQTCSA-N,BMGQWWVMWDBQGC-IIFHNQTCSA-N,BMGQWWVMWDBQGC,BMGQWWVMWDBQGC,,BMGQWWVMWDBQGC,1,B010,2,O=C(NC1CC2OC(C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1,1,B010,resolved_structure_butina
118,PKCbII/EGFR Inhibitor,145915-60-2,True,6711154,C1=CC(=CC=C1NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=C(C=C4)F)F,RONQPWQYDRPRGG-UHFFFAOYSA-N,RONQPWQYDRPRGG-UHFFFAOYSA-N,RONQPWQYDRPRGG,RONQPWQYDRPRGG,,RONQPWQYDRPRGG,1,B057,1,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,1,B057,resolved_structure_butina
119,PKCb Inhibitor,257879-35-9,True,6419755,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,KIWODJBCHRADND-UHFFFAOYSA-N,KIWODJBCHRADND-UHFFFAOYSA-N,KIWODJBCHRADND,KIWODJBCHRADND,,KIWODJBCHRADND,1,B056,1,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,1,B056,resolved_structure_butina
120,Purvalanol A,212844-53-6,True,456214,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl,PMXCMJLOPOFPBT-HNNXBMFYSA-N,PMXCMJLOPOFPBT-HNNXBMFYSA-N,PMXCMJLOPOFPBT,PMXCMJLOPOFPBT,,PMXCMJLOPOFPBT,1,B001,4,c1ccc(Nc2ncnc3[nH]cnc23)cc1,3,B001,resolved_structure_butina
