workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,butina_r2_2048_tanimoto50_cluster,murcko_scaffold,cluster_multiplier_group,cluster_multiplier_group_source
15,Aurora Kinase Inhibitor III,879127-16-9,True,,True,RDTDWGQDFJPTPD-UHFFFAOYSA-N,RDTDWGQDFJPTPD,RDTDWGQDFJPTPD,,RDTDWGQDFJPTPD,B012,O=C(Nc1cccc(Nc2nccc(Nc3ccccc3)n2)c1)C1CC1,B012,resolved_structure_butina
16,Aurora Kinase/Cdk Inhibitor,443797-96-4,True,,True,KDKUVYLMPJIGKA-UHFFFAOYSA-N,KDKUVYLMPJIGKA,KDKUVYLMPJIGKA,,KDKUVYLMPJIGKA,B014,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,B014,resolved_structure_butina
17,BAY 11-7082,19542-67-7,True,,True,DOEWDSDBFRHVAP-KRXBUXKQSA-N,DOEWDSDBFRHVAP,DOEWDSDBFRHVAP,,DOEWDSDBFRHVAP,B121,c1ccccc1,B121,resolved_structure_butina
18,Bcr-abl Inhibitor,778270-11-4,True,,True,WEVYNIUIFUYDGI-UHFFFAOYSA-N,WEVYNIUIFUYDGI,WEVYNIUIFUYDGI,,WEVYNIUIFUYDGI,B120,c1ccc(Nc2cc(-c3ccccc3)ncn2)cc1,B120,resolved_structure_butina
19,Bisindolylmaleimide I,133052-90-1,True,,True,QMGUOJYZJKLOLH-UHFFFAOYSA-N,QMGUOJYZJKLOLH,QMGUOJYZJKLOLH,,QMGUOJYZJKLOLH,B005,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,B005,resolved_structure_butina
20,Bisindolylmaleimide IV,119139-23-0,True,,True,DQYBRTASHMYDJG-UHFFFAOYSA-N,DQYBRTASHMYDJG,DQYBRTASHMYDJG,,DQYBRTASHMYDJG,B005,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,B005,resolved_structure_butina
21,Bohemine,189232-42-6,True,,True,OPQGFIAVPSXOBO-UHFFFAOYSA-N,OPQGFIAVPSXOBO,OPQGFIAVPSXOBO,,OPQGFIAVPSXOBO,B001,c1ccc(CNc2ncnc3[nH]cnc23)cc1,B001,resolved_structure_butina
22,BPIQ-I,174709-30-9,True,,True,YAMAGACQNDAKFB-UHFFFAOYSA-N,YAMAGACQNDAKFB,YAMAGACQNDAKFB,,YAMAGACQNDAKFB,B003,c1ccc(Nc2ncnc3cc4[nH]cnc4cc23)cc1,B003,resolved_structure_butina
23,Cdk1 Inhibitor,220749-41-7,True,,True,QJKBRWSJWQVKLY-UKTHLTGXSA-N,QJKBRWSJWQVKLY,QJKBRWSJWQVKLY,,QJKBRWSJWQVKLY,B119,O=C1Nc2ccccc2C1=Cc1c[nH]c2ccccc12,B119,resolved_structure_butina
24,"Cdk1 Inhibitor, CGP74514A",190654-01-4,True,,True,UTBSBSOBZHXMHI-CABCVRRESA-N,UTBSBSOBZHXMHI,UTBSBSOBZHXMHI,,UTBSBSOBZHXMHI,B118,c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1,B118,resolved_structure_butina
25,Cdk1/2 Inhibitor III,443798-55-8,True,,True,ARIOBGGRZJITQX-UHFFFAOYSA-N,ARIOBGGRZJITQX,ARIOBGGRZJITQX,,ARIOBGGRZJITQX,B014,S=C(Nc1ccccc1)n1cnc(Nc2ccccc2)n1,B014,resolved_structure_butina
26,Cdk1/5 Inhibitor,40254-90-8,True,,True,DWHVZCLBMTZRQM-UHFFFAOYSA-N,DWHVZCLBMTZRQM,DWHVZCLBMTZRQM,,DWHVZCLBMTZRQM,B117,c1ccc2nc3n[nH]cc3nc2c1,B117,resolved_structure_butina
27,"Casein Kinase I Inhibitor, D4476",301836-43-1,True,,True,DPDZHVCKYBCJHW-UHFFFAOYSA-N,DPDZHVCKYBCJHW,DPDZHVCKYBCJHW,,DPDZHVCKYBCJHW,B116,c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,B116,resolved_structure_butina
