panel,workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,exact_full_standard_inchikey_overlap,connectivity_overlap,connectivity_only_overlap,conservative_de_leakage_connectivity_overlap,matching_full_rows,matching_connectivity_rows,matching_conservative_de_leakage_rows
DOCKSTRING,127,SB 203580,152121-47-6,True,True,CDMGBJANTYXAIV-UHFFFAOYSA-N,CDMGBJANTYXAIV,True,True,False,True,32,32,32
DOCKSTRING,128,SB220025,165806-53-1,True,True,VSPFURGQAYMVAN-UHFFFAOYSA-N,VSPFURGQAYMVAN,True,True,False,True,74,74,74
DOCKSTRING,129,SB 218078,135897-06-2,True,True,OTPNDVKVEAIXTI-UHFFFAOYSA-N,OTPNDVKVEAIXTI,True,True,False,True,150,150;96876,150;96876
DOCKSTRING,130,SC-68376,318480-82-9,True,True,BHWCZLOXTLWZAQ-UHFFFAOYSA-N,BHWCZLOXTLWZAQ,True,True,False,True,175,175,175
DOCKSTRING,131,SKF-86002,72873-74-6,True,True,YOELZIQOLWZLQC-UHFFFAOYSA-N,YOELZIQOLWZLQC,True,True,False,True,89,89,89
DOCKSTRING,132,Sphingosine Kinase Inhibitor,312636-16-1,True,False,,,False,False,False,True,,,112
DOCKSTRING,133,Src Kinase Inhibitor I,179248-59-0,True,True,DMWVGXGXHPOEPT-UHFFFAOYSA-N,DMWVGXGXHPOEPT,True,True,False,True,2442,2442,2442
DOCKSTRING,134,"Staurosporine, Streptomyces sp.",62996-74-1,True,True,HKSZLNNOFSGOKW-FYTWVXJKSA-N,HKSZLNNOFSGOKW,True,True,False,True,105,105;448;14845;74448,105;448;14845;74448
DOCKSTRING,135,STO-609,52029-86-4,True,True,MYKOWOGZBMOVBJ-UHFFFAOYSA-N,MYKOWOGZBMOVBJ,True,True,False,True,65,65,65
DOCKSTRING,136,SU6656,330161-87-0,True,False,,,False,False,False,True,,,12906
DOCKSTRING,137,SU9516,666837-93-0,True,True,QNUKRWAIZMBVCU-WCIBSUBMSA-N,QNUKRWAIZMBVCU,True,True,False,True,166;9608,166;2514;9608,166;2514;9608
