repetition,random_equal_n_residual_pr,random_minus_full_primary_residual_pr,complete_case_minus_random_residual_pr
381,9.212441420323259,-0.090470522393195196,4.7577538946690048
382,9.2500676164120925,-0.052844326304361644,4.7201276985801712
383,9.124066288892255,-0.17884565382419915,4.8461290261000087
384,9.248595514931802,-0.054316427784652177,4.7215998000604618
385,9.2552610761368079,-0.047650866579646234,4.7149342388554558
386,9.2311543481311524,-0.071757594585301732,4.7390409668611113
387,9.1902165158619642,-0.11269542685448997,4.7799787991302995
388,9.2685908955923058,-0.034321047124148407,4.701604419399958
389,9.1937726213236957,-0.1091393213927585,4.7764226936685681
390,9.3267382332835123,0.023826290567058095,4.6434570817087515
391,9.2033891655662536,-0.099522777150200525,4.7668061494260101
392,9.3382884436997777,0.035376500983323567,4.631906871292486
393,9.3446559712487698,0.041744028532315625,4.625539343743494
394,9.1924121925378195,-0.11049975017863467,4.7777831224544443
395,9.3051407167991851,0.0022287740827309221,4.6650545981930787
396,9.2786949223917787,-0.024217020324675431,4.691500392600485
397,9.3783327253958735,0.075420782679419318,4.5918625895963903
398,9.2889323938868156,-0.013979548829638588,4.6812629211054482
399,9.3087430128956061,0.0058310701791519648,4.6614523020966576
400,9.3311208214494687,0.028208878733014586,4.639074493542795
401,9.3063359246209583,0.0034239819045041031,4.6638593903713055
402,9.2849058798200055,-0.018006062896448682,4.6852894351722583
403,9.3219728384111384,0.019060895694684277,4.6482224765811253
404,9.1695982737603234,-0.13331366895613073,4.8005970412319403
405,9.2308037633938866,-0.072108179322567523,4.7393915515983771
406,9.2881158188725816,-0.014796123843872522,4.6820794961196821
407,9.3146098588542099,0.011697916137755726,4.6555854561380539
408,9.3068294158180436,0.0039174731015894082,4.6633658991742202
409,9.3954785356375954,0.092566592921141222,4.5747167793546684
410,9.3111058444934223,0.0081939017769681044,4.6590894704988415
411,9.4114607889745319,0.1085488462580777,4.5587345260177319
412,9.2361001749358884,-0.066811767780565745,4.7340951400563753
413,9.203027045005518,-0.099884897710936116,4.7671682699867457
414,9.3781863027444103,0.075274360027956178,4.5920090122478534
415,9.3598603517310863,0.056948409014632162,4.6103349632611774
416,9.2455256547977598,-0.057386287918694379,4.724669660194504
417,9.3244090895685545,0.021497146852100357,4.6457862254237092
418,9.3403511932648637,0.037439250548409575,4.6298441217274
419,9.2323910560277884,-0.07052088668866574,4.7378042589644753
420,9.4230783862554421,0.12016644353898798,4.5471169287368216
421,9.2432887322249062,-0.059623210491547951,4.7269065827673575
422,9.3366232774746578,0.033711334758203648,4.6335720375176059
423,9.5099693665848282,0.207057423868374,4.4602259484074356
424,9.2749653138808483,-0.027946628835605836,4.6952300011114154
425,9.1847806789608146,-0.11813126375563954,4.7854146360314491
