dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,ridge_alpha,pilot_gcv,variance_weighted_r2,pooled_rmse,median_target_pearson,median_ligand_profile_pearson,mean_ligand_profile_pearson
Docking-44,3,500,8,fixed_random_panel,0,0|1|3|14|15|22|31|34,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.88568024288752367,0.39647097667384723,0.95739521374923542,0.34306982162048999,0.26539196872565241
Docking-44,3,500,8,fixed_random_panel,0,0|1|3|14|15|22|31|34,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.11449496242491894,0.27595876743400016,0.93573524037136868,0.49670312817418427,0.50429073628691445,0.49804802620693506
Docking-44,3,500,8,fixed_random_panel,0,0|1|3|14|15|22|31|34,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.18611385001797576,0.99209478128313833,0.42160006501523012,0.37359209999267329,0.38870497531752357
Docking-44,3,500,8,fixed_random_panel,1,0|1|4|11|17|35|41|43,8,36,raw_outcome,raw,multivariate_ridge_gcv,1,0.14099045193619084,0.87846330549890705,0.4088818866449726,0.95719049430771252,0.59691597472349467,0.51386991862452147
Docking-44,3,500,8,fixed_random_panel,1,0|1|4|11|17|35|41|43,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.86098926018608202,0.43728878468271221,0.95313938240555451,0.57040938611953429,0.41902682213493908
Docking-44,3,500,8,fixed_random_panel,1,0|1|4|11|17|35|41|43,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,1,0.14099045193619084,0.23769191691579605,0.96132729636888337,0.45799417942539911,0.46464653431479958,0.45948024992565062
Docking-44,3,500,8,fixed_random_panel,1,0|1|4|11|17|35|41|43,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.16212344698931602,1.0078503021041951,0.34198904093314608,0.36251892885885478,0.3636119835241956
Docking-44,3,500,8,fixed_random_panel,2,0|2|4|7|11|24|27|43,8,36,raw_outcome,raw,multivariate_ridge_gcv,1,0.13375632716871727,0.88225665557899857,0.40234247333325884,0.9613865090554955,0.60468592692908096,0.51746843703603784
Docking-44,3,500,8,fixed_random_panel,2,0|2|4|7|11|24|27|43,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.86608195914553554,0.42908886164962962,0.95501643607170106,0.57365077402127063,0.41509043705199433
Docking-44,3,500,8,fixed_random_panel,2,0|2|4|7|11|24|27|43,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,1,0.13375632716871727,0.25349493090041142,0.94406093354151932,0.47924091046262707,0.49242260375388924,0.47956661268735784
Docking-44,3,500,8,fixed_random_panel,2,0|2|4|7|11|24|27|43,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.16235773916542617,1.0000297865232128,0.33372411274682073,0.35854375091620211,0.36257507596454147
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.11316109358195471,0.90313223756833361,0.3482408515483123,0.96554295800124956,0.49573397590275797,0.4426020035488078
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.88879019110378232,0.37313125543638942,0.96073014870962159,0.35013015999532882,0.25480556834150747
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.11316109358195471,0.27793851757334687,0.87257158884614627,0.51409214330870401,0.48957436585510206,0.46888473885814574
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.18784510587406467,0.92540834542544081,0.44240626653572368,0.33516193930291532,0.34157557968170871
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,direct_residual_outcome,raw_row_centered_residual,multivariate_ridge_gcv,10,0.71979115449310649,0.27795351208135033,0.87256252877999041,0.51420328025931306,0.48971984001773838,0.46891435266748455
Docking-44,4,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|15|16|20|33|41|43,8,36,direct_residual_outcome,raw_row_centered_residual,selected_target_pc1,-1,-1,0.15124515310933206,0.94603044386744251,0.3415470512930105,0.31256774864588804,0.31267101076372106
