dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,target_index,target,r2,rmse,pearson,spearman,equal_budget_lower_5pct_overlap,calibration_lower_5pct_threshold,calibration_threshold_true_count,calibration_threshold_predicted_count,calibration_threshold_true_positive
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,42,CYP2C9,0.77548485444185278,0.45970433881812278,0.88227250095156262,0.87261240910407245,0.56666666666666665,-1.572463955736878,208,140,96
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,43,CYP3A4,0.76290245022834857,0.48136007224228494,0.87347323383630893,0.86269927325417606,0.50666666666666671,-1.6773831570936641,155,99,59
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,45,DPP4,0.75647054112483214,0.51011305292167031,0.87043569966371703,0.85648796649867809,0.49333333333333335,-1.5500274794412543,232,139,85
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,46,DRD2,0.77137575717932727,0.47753936658411583,0.87885291429495449,0.87032946808756062,0.54666666666666663,-1.6096423606495001,194,138,86
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,47,DRD3,0.75154484295783086,0.49348623513366108,0.86793881836392806,0.85506999746810353,0.54666666666666663,-1.6995210271908654,154,108,64
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,48,EGFR,0.78001407372591935,0.47259753111667951,0.8833752525771994,0.87339644856774246,0.55333333333333334,-1.7363367557829588,159,107,68
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,49,F10,0.67337292531281512,0.58007657773667931,0.82109331892240955,0.80831211419114068,0.44,-1.5163391152277954,221,145,82
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,50,GBA,0.71744972461819223,0.52013205226450487,0.84783350598979867,0.84667649686395063,0.41999999999999998,-1.5633921413590934,191,113,62
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,52,MAPK14,0.65744469751633783,0.56955488581134794,0.81291098565044484,0.79242000054201778,0.47999999999999998,-1.6104228556915643,171,98,60
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,53,PLK1,0.77658150607896059,0.47383409335837884,0.88221909312872149,0.86612977738176566,0.59999999999999998,-1.4952231166508039,283,170,130
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,55,THRB,0.44561101460743691,0.76957100308505055,0.67108147214866354,0.66276662368342765,0.23333333333333334,-1.4710422763158537,179,14,8
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,56,F2,0.72834975657153189,0.52138423986093552,0.85373759131533633,0.83794063760162074,0.46000000000000002,-1.6416041983386616,156,106,51
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,57,KDR,0.5444271864965915,0.70861334283495725,0.7385371194032031,0.72821142983317144,0.40666666666666668,-1.5787119572933628,245,64,42
