dataset,fold,pilot_ligands,panel_k,surface,comparison,metric,higher_is_better,pivoted_qr_value,residual_kmedoids_value,pivoted_qr_minus_residual_kmedoids
Docking-44,3,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9498370208342767,0.9367516643741397,0.013085356460136977
Docking-44,3,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.4748326804295978,0.48316750210328363,-0.008334821673685822
Docking-44,4,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.900105436444486,0.8944338168698245,0.005671619574661557
Docking-44,4,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.30190264084703156,0.3034480032609641,-0.0015453624139325495
Docking-44,4,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.915538590943391,0.910581795841531,0.004956795101859979
Docking-44,4,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.33607939554561805,0.3419415204439856,-0.005862124898367571
Docking-44,4,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9305211776180686,0.920042259196718,0.010478918421350625
Docking-44,4,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.37278762918408237,0.39147564752493824,-0.018688018340855872
Docking-44,4,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9436944303949534,0.9296760708103049,0.014018359584648477
Docking-44,4,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.42389844608996596,0.4411432171502121,-0.017244771060246133
Docking-44,4,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9523447335546037,0.9354878868968897,0.01685684665771403
Docking-44,4,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.47406736884959544,0.4907723163531348,-0.016704947503539347
Docking-44,5,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8502015742601302,0.8838831262077231,-0.033681551947592925
Docking-44,5,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.270553633811612,0.2665947465287598,0.003958887282852208
Docking-44,5,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8949823893453038,0.907480208955683,-0.012497819610379213
Docking-44,5,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.30908221399945746,0.33675299203455666,-0.02767077803509921
Docking-44,5,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9194985898542168,0.9171667044674781,0.0023318853867387856
Docking-44,5,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.35804063946305786,0.38472124675757513,-0.026680607294517267
Docking-44,5,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9416176150181897,0.9272597668892749,0.01435784812891483
Docking-44,5,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.4233116620635068,0.4488135873995216,-0.025501925336014808
Docking-44,5,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9488095009908527,0.9311771457648672,0.017632355225985497
Docking-44,5,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.4682446205648275,0.4938370487966889,-0.025592428231861364
