dataset,pilot_ligands,panel_k,surface,selector,folds,designed_minus_random_median_median,designed_minus_random_median_minimum,designed_minus_random_median_maximum,fraction_random_panels_no_worse_median,fraction_random_panels_no_worse_minimum,fraction_random_panels_no_worse_maximum,ridge_minus_selected_pc1_median,ridge_minus_selected_pc1_minimum,ridge_minus_selected_pc1_maximum,ridge_minus_descriptor_only_median,ridge_minus_descriptor_only_minimum,ridge_minus_descriptor_only_maximum
Docking-44,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.006481295238691398,-0.0073937148021334664,0.026933762208085577,0.36,0.14,0.64,0.11078286468449283,0.1010685688497468,0.16021620370517453,0.1399031668998021,0.1306856151901601,0.1791067550712746
Docking-44,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.03349591702461835,0.015963762279281535,0.0647191611853471,0.04,0.0,0.16,0.08716343394886039,0.07418476478933211,0.10336854628721115,0.1644827579689251,0.15859118524065796,0.21689215404853612
Docking-44,500,10,raw,pilot_raw_correlation_pivoted_qr,5,0.025308768575010077,0.020491811253182668,0.10045595110172245,0.0,0.0,0.0,0.02975983819637784,0.027660072583749584,0.10918584901451611,0.15938125618692844,0.12553645179806217,0.48547849572310153
Docking-44,500,10,raw,pilot_residual_r2_exact_kmedoids,5,0.014343332767056904,0.006473451668534191,0.05328302396216411,0.14,0.02,0.22,0.015364453440186776,0.01420351074920645,0.046261033094544324,0.14502340805801361,0.11151809221341369,0.4383055685835432
Docking-44,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.012011657981576163,-0.0004891550004327838,0.020859008485716923,0.26,0.18,0.52,0.10626095875830599,0.09861279626234676,0.15825017181551215,0.20307317327485674,0.17836246823936763,0.2252558149401197
Docking-44,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.027189519725614897,0.018074109201133837,0.05051119203500026,0.04,0.0,0.08,0.08773543323892741,0.0826483869035255,0.09931258110825314,0.21968071696133462,0.2060411429654153,0.25490799848940304
Docking-44,500,12,raw,pilot_raw_correlation_pivoted_qr,5,0.023556176129165385,0.02271488362946561,0.06187930229874883,0.0,0.0,0.0,0.023375494595062163,0.02169338453866665,0.06928744496735684,0.1665731421595914,0.13418675495771248,0.5020428248333763
Docking-44,500,12,raw,pilot_residual_r2_exact_kmedoids,5,0.006699329471451354,0.004581336011443837,0.011982094005573374,0.28,0.06,0.3,0.01568087025431164,0.013719768338665173,0.04635014842169627,0.1489407869336059,0.11732990829999845,0.4511108346104581
Docking-44,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.007489148188333683,0.004304442323636415,0.016716349259445373,0.3,0.12,0.44,0.1065500366235107,0.10350610947498251,0.14056372025677333,0.24800613177617747,0.23909728095994065,0.2831416566377739
Docking-44,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.025051170933131195,0.02281901522024088,0.03215873998735258,0.06,0.02,0.12,0.09109518521059912,0.08501904537245741,0.09995930861840452,0.26024630409220784,0.25123603343876677,0.3040180966003415
