dataset,fold,pilot_ligands,panel_k,surface,selector,metric,higher_is_better,designed_value,random_median,designed_minus_random_median,fraction_random_panels_no_worse,selected_panel_pc1_value,ridge_minus_selected_pc1,descriptor_only_value,ridge_minus_descriptor_only,random_panels
DOCKSTRING-58,4,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.3500288324040167,0.3259132087579671,0.024115623646049633,0.02,0.2092605185427504,0.14076831386126631,0.1538785858178464,0.1961502465861703,50
DOCKSTRING-58,4,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3265352964738526,0.3259132087579671,0.0006220877158855109,0.5,0.15269601290169255,0.17383928357216005,0.1538785858178464,0.17265671065600618,50
DOCKSTRING-58,4,500,12,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7723457317106781,0.747554519499815,0.02479121221086311,0.04,0.7134966402527606,0.0588490914579175,0.446002864245837,0.3263428674648411,50
DOCKSTRING-58,4,500,12,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7669365345095539,0.747554519499815,0.019382015009738907,0.12,0.5367913065750554,0.23014522793449854,0.446002864245837,0.3209336702637169,50
DOCKSTRING-58,4,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.388887228103699,0.35857757249698674,0.030309655606712282,0.0,0.2460705744714602,0.14281665363223883,0.1538785858178464,0.2350086422858526,50
DOCKSTRING-58,4,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3546943325551072,0.35857757249698674,-0.003883239941879557,0.66,0.18228448016929166,0.17240985238581552,0.1538785858178464,0.20081574673726077,50
DOCKSTRING-58,5,500,4,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.6904237549392548,0.6387300707723558,0.05169368416689901,0.0,0.6348007740504761,0.055622980888778706,0.4494391534081347,0.2409846015311201,50
DOCKSTRING-58,5,500,4,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.5907619812038704,0.6387300707723558,-0.04796808956848542,0.96,0.4183300967833662,0.17243188442050417,0.4494391534081347,0.14132282779573568,50
DOCKSTRING-58,5,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.24125938288784932,0.17424634035109843,0.06701304253675089,0.0,0.11492410580492829,0.12633527708292103,0.15801095386512265,0.08324842902272667,50
DOCKSTRING-58,5,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.18561139829941053,0.17424634035109843,0.011365057948312107,0.38,0.06579338621358066,0.11981801208582987,0.15801095386512265,0.027600444434287885,50
DOCKSTRING-58,5,500,6,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7162787217316016,0.6850983218127151,0.031180399918886437,0.0,0.6609157035227993,0.055363018208802295,0.4494391534081347,0.2668395683234669,50
DOCKSTRING-58,5,500,6,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6342222008174511,0.6850983218127151,-0.05087612099526406,1.0,0.3995605984131203,0.23466160240433076,0.4494391534081347,0.1847830474093164,50
DOCKSTRING-58,5,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.27706743065761497,0.23558054592561362,0.04148688473200135,0.0,0.14902685375872005,0.12804057689889492,0.15801095386512265,0.11905647679249232,50
DOCKSTRING-58,5,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.22495015689520093,0.23558054592561362,-0.01063038903041269,0.74,0.09013711136309888,0.13481304553210205,0.15801095386512265,0.06693920303007828,50
