dataset,pilot_ligands,panel_k,selector,predictor,surface,records,folds,full_profile_variance_weighted_r2_median,full_profile_variance_weighted_r2_minimum,full_profile_variance_weighted_r2_maximum,full_profile_pooled_rmse_median,full_profile_pooled_rmse_minimum,full_profile_pooled_rmse_maximum,full_profile_median_target_pearson_median,full_profile_median_target_pearson_minimum,full_profile_median_target_pearson_maximum,full_profile_median_ligand_profile_pearson_median,full_profile_median_ligand_profile_pearson_minimum,full_profile_median_ligand_profile_pearson_maximum,omitted_only_variance_weighted_r2_median,omitted_only_variance_weighted_r2_minimum,omitted_only_variance_weighted_r2_maximum,omitted_only_pooled_rmse_median,omitted_only_pooled_rmse_minimum,omitted_only_pooled_rmse_maximum,omitted_only_median_target_pearson_median,omitted_only_median_target_pearson_minimum,omitted_only_median_target_pearson_maximum,omitted_only_median_ligand_profile_pearson_median,omitted_only_median_ligand_profile_pearson_minimum,omitted_only_median_ligand_profile_pearson_maximum
DOCKSTRING-58,500,6,pilot_residual_r2_exact_kmedoids,selected_target_pc1,raw,5,5,0.649007679750101,0.5814157732572927,0.6742029823299907,0.5943503471071812,0.5787833565599042,0.6336864816991847,0.8375694705643584,0.7514457107312944,0.8451670098956245,0.44530480479921863,0.4353829789662482,0.45542077469214537,0.6086657991471753,0.5258086458448592,0.6391809443095371,0.6277039269642966,0.6112633525705885,0.6692475153127763,0.8256174556675429,0.749285194352373,0.828753955613241,0.2866750090269846,0.17576383362244186,0.3454135054382222
DOCKSTRING-58,500,6,pilot_residual_r2_exact_kmedoids,selected_target_pc1,raw_row_centered_residual,5,5,0.14582640611463393,0.11998155406631594,0.14902685375872005,0.9271961819965472,0.9137639122215198,0.9409210077632263,0.2460155720131172,0.21490741557211068,0.28875185321470886,0.3606969561174511,0.3430004015250905,0.3695323263344926,0.0630074027127352,0.04216528510296069,0.07230015314763649,0.9733185002542751,0.9546019984325581,0.9816129340052979,0.2270554749764389,0.19402763247755161,0.2772000284722531,0.23398094491643837,0.18691911554338114,0.2572530885689621
DOCKSTRING-58,500,8,fixed_random_panel,multivariate_ridge_gcv,raw,250,5,0.7164282880659658,0.6548313420287826,0.7668017424374274,0.5383379582454418,0.4871729463046903,0.5920816452769758,0.860999690744318,0.8061478443092038,0.8884606346114405,0.5673505805702932,0.4987940778838924,0.6373954568445106,0.6708170210648388,0.6003789279665559,0.7301698353081665,0.5798077254175995,0.5247013210856091,0.6376914478191731,0.8487094855576645,0.8001448684429019,0.8759155923030719,0.484901989751772,0.410547176448403,0.5309993030979672
DOCKSTRING-58,500,8,fixed_random_panel,multivariate_ridge_gcv,raw_row_centered_residual,250,5,0.280368830129179,0.21438576286453115,0.3207915240978989,0.8502852079950328,0.8201203709439341,0.8892077445838704,0.4344770680487624,0.32961870384927494,0.4974965252235767,0.5322510767688159,0.4599204792807115,0.5709710831745896,0.1804660447255837,0.10818583043499874,0.22468731598875968,0.9073134342124127,0.878617111516256,0.945403733912411,0.4008649950025893,0.3037758823304819,0.46883649575312103,0.43437378896269385,0.3464660241717063,0.47547936111788713
DOCKSTRING-58,500,8,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw,5,5,0.7159244863299011,0.6952995043562646,0.7360983166977153,0.5465549966809431,0.4896299683974628,0.5607495495260668,0.8287028169441164,0.8145687560768216,0.8442594035089094,0.6546474960006392,0.6486610136919849,0.6674779031718325,0.6640122884770112,0.6445819871512204,0.6947960880427504,0.5886577466579462,0.5273476148664792,0.6039457479448603,0.821292891765053,0.804639423072053,0.8373828512291319,0.43221888698674876,0.3759598055459764,0.43444136552562496
DOCKSTRING-58,500,8,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.28973680742200847,0.2688836240679342,0.29862777814178265,0.8453118008286511,0.8341520086706108,0.8602296400373838,0.4481189109366831,0.4337363427139076,0.4601267578962063,0.53803555027427,0.5274686528749508,0.5523811208880585,0.18816497688924083,0.1681663932145897,0.19564121992349914,0.9028893156683774,0.889214704009279,0.9165408075358097,0.41731645553593033,0.39222342104049646,0.43279386516394425,0.42176047517836646,0.39930029973501246,0.4316740414137157
DOCKSTRING-58,500,8,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw,5,5,0.4386584562463789,0.389880229753501,0.4956082104570263,0.7556084275640699,0.6882792605978165,0.8113534679341331,0.6100498789541773,0.5580396041723752,0.6738718418619422,0.48471117755944215,0.48342248420528444,0.5119590408717596,0.346421747142339,0.2879966740948381,0.4166678082484948,0.813815182418454,0.7412994503303838,0.8738544283330854,0.5954565814641923,0.5417833241923009,0.6544570891793839,0.09529076579424539,0.08844723344342961,0.14701779860744352
DOCKSTRING-58,500,8,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw_row_centered_residual,5,5,0.11328589325398442,0.10565921923112276,0.1270131076666735,0.9444878385395591,0.9333735752475747,0.951420848642523,0.2114174701779113,0.19779465853185146,0.2424420852162219,0.32861012638789977,0.32338396960303767,0.3498042045331522,0.04046632723429844,0.03660121569647479,0.04727649411944135,0.982079529445768,0.9686104569933355,0.9869385318260225,0.1899186192701353,0.17559763142573115,0.21729577829911778,0.15399527985848163,0.14717422521747592,0.1881625925497854
DOCKSTRING-58,500,8,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw,5,5,0.7403282319008373,0.7184225585598465,0.7619042876341092,0.5110258319828198,0.48747238737525767,0.5411818074375504,0.8655590890185714,0.8523144336187801,0.8815784331076094,0.6299815056646414,0.615674783608647,0.6344796961990566,0.697955728025528,0.6675551508229136,0.7256726182795689,0.5503916651861024,0.5250238289886151,0.5828706447348275,0.8526970578059818,0.8428571406219993,0.8638833399159696,0.5267470503940455,0.48295704987938703,0.535300200115459
DOCKSTRING-58,500,8,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.31536583375434213,0.29879420510451815,0.31853668991700523,0.8323096498112716,0.8190791270019081,0.8399047272245029,0.47456932193394574,0.46941027188580725,0.48922766483186,0.5625906143797683,0.5522105118551522,0.5690128100628316,0.2192108741945733,0.2027313999917738,0.22131880722754005,0.8878850927635702,0.8751721122126279,0.89568712705223,0.4464348009079272,0.43362708411628514,0.46699446028812697,0.465706116479936,0.44831806103206145,0.4759877775806563
