fold,k,method,random_repeat,train_ligands,test_ligands,train_scaffold_groups,test_scaffold_groups,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
2,5,random_sentinels,9,10121,2530,6521,1629,0.7414696230653719,0.7275330045329776,0.7782906511319427,0.5119367588932806,0.8195310549188075,0.9323252527820552,0.7935844145694617,0.5123320158102767
2,10,qr_sentinels,-1,10121,2530,6521,1629,0.7800919625447339,0.6688896075149967,0.7884468426203516,0.545296442687747,0.8253597284785382,0.8961412096381742,0.8390861407413741,0.5467193675889327
2,10,qr_sentinels_plus_descriptors,-1,10121,2530,6521,1629,0.796991773430581,0.6426739781477145,0.8098452613127625,0.5724110671936758,0.8362520225660717,0.9076554594662194,0.8573552934906341,0.5732015810276679
2,10,descriptors_only,-1,10121,2530,6521,1629,0.5090978995472004,0.9993815838600534,0.7774119182935575,0.5343083003952569,0.8187942384685273,0.8442054596021521,0.7927944354982384,0.478102766798419
2,10,random_sentinels,0,10121,2530,6521,1629,0.7469106082373376,0.7186596071519633,0.7769335547804324,0.5449802371541502,0.8190375993870901,0.9552171661288261,0.8314507891183919,0.6029249011857707
2,10,random_sentinels,1,10121,2530,6521,1629,0.7734494674165968,0.6751315887966608,0.7822405357159851,0.5347035573122529,0.8213163845081362,0.9576846170367207,0.8366036256561381,0.5863241106719368
2,10,random_sentinels,2,10121,2530,6521,1629,0.7581607239552749,0.7010736577829237,0.7969522172712308,0.5630039525691699,0.831245161761484,0.9387393326790436,0.8332915452312122,0.5635573122529645
2,10,random_sentinels,3,10121,2530,6521,1629,0.779936783952455,0.6741026571026949,0.7880546905726107,0.558498023715415,0.8243086367094229,0.9421664006916256,0.8373866706731827,0.5673517786561264
2,10,random_sentinels,4,10121,2530,6521,1629,0.7782285758259271,0.6715612132923564,0.7926760045071432,0.5714624505928855,0.8267691334172168,0.9360368540816522,0.8405701218840608,0.5973913043478262
2,10,random_sentinels,5,10121,2530,6521,1629,0.7899463030154245,0.6460871397297402,0.7924157934806971,0.5405533596837945,0.8256147513936125,0.9507201716014777,0.8405946906331526,0.5946245059288537
2,10,random_sentinels,6,10121,2530,6521,1629,0.7950845400908435,0.6457218255443825,0.7846523116311561,0.535098814229249,0.8206910119411597,0.9451027515503128,0.8416191721412165,0.5667193675889328
2,10,random_sentinels,7,10121,2530,6521,1629,0.7370924091221953,0.7210529378627865,0.7880683892846657,0.5789723320158102,0.8265853660319379,0.9524541974667576,0.8301682541367112,0.648300395256917
2,10,random_sentinels,8,10121,2530,6521,1629,0.7767918460454167,0.6742397360375786,0.8004575288966488,0.5728853754940711,0.831646339099374,0.9397568571265452,0.8433918860385682,0.5864031620553359
2,10,random_sentinels,9,10121,2530,6521,1629,0.789615716886296,0.6571365133103897,0.7863837423535015,0.5664822134387351,0.8224034428659421,0.924797052434691,0.8440905944290406,0.5690118577075098
2,15,qr_sentinels,-1,10121,2530,6521,1629,0.8251134931714911,0.5931040046247232,0.7996608238898889,0.6068774703557313,0.8302302171892922,0.9146815422677492,0.8743478034707376,0.6305928853754941
2,15,qr_sentinels_plus_descriptors,-1,10121,2530,6521,1629,0.8405421726633318,0.5663378998123003,0.81759512455349,0.6348616600790513,0.8403319263883107,0.9112387802042975,0.8908455123119564,0.6524110671936758
2,15,descriptors_only,-1,10121,2530,6521,1629,0.5484640658081563,0.953013085451178,0.7816384604010609,0.6015810276679842,0.8213407130941561,0.8263538953194125,0.8112615741998014,0.5321739130434783
2,15,random_sentinels,0,10121,2530,6521,1629,0.8164493467629538,0.6065054928344997,0.8184641670024801,0.5916205533596838,0.8411234590724179,0.934884100401342,0.8767671664315934,0.6279841897233202
2,15,random_sentinels,1,10121,2530,6521,1629,0.7869637486796383,0.6546772983726811,0.793681788155898,0.586086956521739,0.8285653484660401,0.9683335821266856,0.866927023719679,0.633596837944664
2,15,random_sentinels,2,10121,2530,6521,1629,0.7663332327238158,0.6933992447618429,0.7833710274961984,0.5992094861660079,0.8216130237436885,0.9573954608437367,0.860873885552969,0.6441897233201581
2,15,random_sentinels,3,10121,2530,6521,1629,0.7741147956520027,0.6805114084073962,0.7674656998908195,0.5451383399209486,0.8138130214792099,0.9452179452179452,0.8554129082766785,0.6260869565217392
2,15,random_sentinels,4,10121,2530,6521,1629,0.7247226377215463,0.7736999188314604,0.7694423947929511,0.5919367588932806,0.815170050145584,0.9659596900976211,0.843076231407833,0.5878260869565217
2,15,random_sentinels,5,10121,2530,6521,1629,0.7039606186986562,0.7896655451617888,0.7329112245451955,0.5231620553359684,0.7967303689380996,0.9441756131411303,0.8296081558261981,0.5803162055335968
2,15,random_sentinels,6,10121,2530,6521,1629,0.8259171517594612,0.5839553433208181,0.7683426636910606,0.5096442687747036,0.8127846909433291,0.939317911731705,0.8678049569988512,0.6475889328063241
2,15,random_sentinels,7,10121,2530,6521,1629,0.7918400084571409,0.6453168596210594,0.7903099528283328,0.567509881422925,0.828301144760395,0.9666317459420908,0.8688703496911641,0.683083003952569
2,15,random_sentinels,8,10121,2530,6521,1629,0.7769107659115637,0.6708453028104419,0.8292783095810207,0.612490118577075,0.8486291203123664,0.9670726705209465,0.871106223952126,0.6177865612648221
2,15,random_sentinels,9,10121,2530,6521,1629,0.7675550455825759,0.7025367010495045,0.798297121313361,0.5987351778656126,0.8301695709332358,0.9395901051073466,0.8597023002904514,0.6099604743083004
