ligand_id,target,rfscore,smina_vina,orig_vina
11990,5u09,6.519918960039961,-7.71737003,-7.4
3353,5u09,6.91177449639249,-9.08201599,-9.1
3496,5u09,,-7.01525879,-6.5
2461,5u09,5.314405898712399,-4.81824827,-4.8
13116,5u09,,-6.60000086,-6.5
13670,5u09,7.022147730158725,-9.4460516,-9.1
9550,5u09,7.99286608824509,-7.33376265,-6.2
8215,5u09,6.773343673604174,-10.212863,-10.4
6955,5u09,7.049358784826292,-7.53571224,-6.7
8587,5u09,7.453797251026747,-9.00429249,-8.9
13089,5u09,,-8.24210167,-8.2
8652,5u09,7.498893409146403,-8.28096199,-7.9
12840,5u09,6.007024890609391,-8.57278633,-8.5
14079,5u09,7.27162861066711,-11.9461269,-12.0
428,5u09,7.592796394527039,-8.32914162,-8.0
15096,5u09,7.372561155400164,-8.69690895,-7.8
1155,5u09,5.97431841908092,-6.59487486,-4.1
12216,5u09,,-5.36954832,-3.1
4344,5u09,6.939304213952711,-8.47289944,-7.4
4155,4n6h,3.5375458747363795,-1.11670315,-1.1
847,4n6h,4.559727564713062,-3.28900957,-3.2
15650,4n6h,5.787432239593736,-5.38908005,-4.8
969,4n6h,4.682989155844154,-5.38788652,-5.3
2196,4n6h,4.457532870407367,-4.38115931,-4.4
7033,4n6h,5.344856777999782,-6.18044996,-6.0
945,4n6h,5.475174774447777,-6.2391758,-6.1
15715,4n6h,5.957045931901435,-5.03883553,-5.1
5041,4n6h,5.2165054498834476,-6.86194611,-6.7
9141,4n6h,5.283922839327332,-6.5776782,-6.3
2787,4n6h,4.937325538239538,-4.03229332,-4.2
2472,4n6h,,-5.63330221,-6.1
5753,4n6h,5.765832800088791,-4.32651186,-4.1
3470,4n6h,6.441961471139976,-6.46396112,-6.0
9099,4n6h,5.733004462870463,-6.0922122,-6.0
10838,4n6h,5.7645876095571085,-4.82104635,-4.5
10372,4n6h,5.642061997114003,-7.08928394,-7.2
8747,4n6h,6.423948479797972,-8.29979801,-8.1
6061,4n6h,6.755528860139853,-6.63382673,-6.5
6204,4n6h,7.126023845598846,-6.64809179,-6.4
5562,4n6h,5.600997147075147,-8.54796314,-8.4
49,4n6h,5.704553538961038,-6.78674793,-7.1
5799,4n6h,6.932858427738924,-5.83666515,-6.0
3827,4n6h,6.356689471306472,-7.04862118,-6.4
