ligand_id,target,rfscore,orig_vina
6080,6cm4,5.781191405649905,-6.4
12886,6cm4,6.513714109501615,-6.9
3312,6cm4,7.401609646353651,-6.8
13905,6cm4,6.67197708275058,-6.5
10699,6cm4,,-7.4
12063,6cm4,6.8767942835497875,-8.4
1038,6cm4,5.159056552836052,-5.5
568,6cm4,5.955709557997555,-8.1
11932,6cm4,5.6245413929403965,-7.1
15210,6cm4,5.828461453157961,-7.7
7984,6cm4,5.998072178044183,-6.3
9010,6cm4,5.007692033910531,-6.0
6971,6cm4,6.430851515706516,-7.6
13019,6cm4,4.819899926351429,-6.9
12312,6cm4,6.568882948606952,-8.0
12956,6cm4,6.434900699134194,-7.8
5790,6cm4,5.495791144522147,-6.4
10782,6cm4,6.9770722726162715,-8.5
12679,6cm4,6.9731398816738785,-9.1
14010,6cm4,6.424500867965367,-9.3
14600,6cm4,6.722596032856033,-10.6
4220,6cm4,,-6.1
8026,6cm4,6.072222810078806,-8.1
13380,6cm4,6.173110562813003,-8.6
10751,6cm4,7.507551490786995,-11.4
2381,6cm4,,-7.9
9151,6cm4,6.902661589299592,-8.9
15941,6cm4,7.023944544844037,-8.3
11286,6cm4,6.345769755411251,-7.2
4155,4iar,3.5307189461649515,-1.1
1596,4iar,5.183967562604063,-4.8
4642,4iar,4.873447468253966,-4.4
11921,4iar,4.700044456709953,-4.7
4765,4iar,5.174683152625151,-6.3
2784,4iar,5.947644468975469,-6.4
2155,4iar,4.60079287801088,-7.7
1565,4iar,5.950138846140789,-6.8
9184,4iar,5.153819124819625,-7.1
10614,4iar,,-5.9
6080,4iar,4.504027297258299,-6.3
12886,4iar,5.452472421855927,-6.1
3312,4iar,7.261180006826512,-6.7
13905,4iar,6.019158407481406,-6.7
10699,4iar,,-6.8
12063,4iar,5.728900878066379,-7.1
1038,4iar,6.186350072150073,-5.5
568,4iar,6.219363524697521,-6.8
11932,4iar,5.480970836663344,-6.7
15210,4iar,5.001342073593071,-7.6
7984,4iar,5.742205177489178,-5.8
9010,4iar,6.1541023376623425,-6.6
6971,4iar,7.0431792521367536,-8.0
13019,4iar,4.981350634199132,-6.4
12312,4iar,6.7588794506049465,-8.3
12956,4iar,6.007487503607499,-7.3
5790,4iar,6.919425904650911,-7.4
10782,4iar,7.316117561716061,-8.6
12679,4iar,6.7491592910977865,-9.1
14010,4iar,7.506834601842603,-9.4
14600,4iar,7.088365563492062,-10.6
4220,4iar,,-6.6
8026,4iar,6.457690959151963,-8.1
13380,4iar,6.100745603938547,-8.1
10751,4iar,7.668993977522476,-10.5
2381,4iar,,-8.4
9151,4iar,6.8790654438894405,-8.9
15941,4iar,7.779240987734477,-8.6
11286,4iar,6.760698528860029,-8.6
4155,5u09,3.5190856842601894,-1.2
1596,5u09,4.767819448218451,-5.0
4642,5u09,4.546847111388611,-4.8
11921,5u09,5.213347760961259,-5.3
4765,5u09,4.602431218392718,-6.2
2784,5u09,3.522257220057722,-6.1
2155,5u09,5.9383066802641835,-7.0
1565,5u09,5.401651620990116,-7.1
9184,5u09,5.731412327450324,-7.0
10614,5u09,,-6.4
6080,5u09,4.898470034632033,-6.0
12886,5u09,5.904493675324674,-6.2
3312,5u09,6.917328581418581,-6.7
