panel,match,target_a,target_b,informative_ligands,absolute_accuracy,residual_accuracy,residual_minus_absolute
DAVIS,exact_full_standard_InChIKey,ABL1,KIT,28,0.4642857142857143,0.5357142857142857,0.0714285714285714
DAVIS,exact_full_standard_InChIKey,ABL1,LCK,18,0.5,0.5555555555555556,0.05555555555555558
DAVIS,exact_full_standard_InChIKey,ABL1,MAP2K1,27,0.6481481481481481,0.5925925925925926,-0.05555555555555558
DAVIS,exact_full_standard_InChIKey,ABL1,MAPK1,32,0.765625,0.59375,-0.171875
DAVIS,exact_full_standard_InChIKey,ABL1,MAPK14,34,0.8676470588235294,0.6470588235294118,-0.22058823529411764
DAVIS,exact_full_standard_InChIKey,ABL1,MAPKAPK2,33,0.8787878787878788,0.48484848484848486,-0.3939393939393939
DAVIS,exact_full_standard_InChIKey,ABL1,MET,34,0.7647058823529411,0.5588235294117647,-0.2058823529411764
DAVIS,exact_full_standard_InChIKey,ABL1,PLK1,34,0.6323529411764706,0.6470588235294118,0.014705882352941235
DAVIS,exact_full_standard_InChIKey,ABL1,ROCK1,35,0.7285714285714285,0.5714285714285714,-0.15714285714285714
DAVIS,exact_full_standard_InChIKey,ABL1,SRC,23,0.8260869565217391,0.5217391304347826,-0.30434782608695654
DAVIS,exact_full_standard_InChIKey,AKT1,AKT2,2,0.5,0.5,0.0
DAVIS,exact_full_standard_InChIKey,AKT1,CDK2,6,0.3333333333333333,0.3333333333333333,0.0
DAVIS,exact_full_standard_InChIKey,AKT1,CSF1R,34,0.45588235294117646,0.5588235294117647,0.10294117647058826
DAVIS,exact_full_standard_InChIKey,AKT1,EGFR,21,0.5,0.5238095238095238,0.023809523809523836
DAVIS,exact_full_standard_InChIKey,AKT1,FGFR1,18,0.3333333333333333,0.5555555555555556,0.22222222222222227
DAVIS,exact_full_standard_InChIKey,AKT1,IGF1R,11,0.18181818181818182,0.45454545454545453,0.2727272727272727
DAVIS,exact_full_standard_InChIKey,AKT1,JAK2,18,0.25,0.6666666666666666,0.41666666666666663
DAVIS,exact_full_standard_InChIKey,AKT1,KDR,26,0.28846153846153844,0.46153846153846156,0.17307692307692313
DAVIS,exact_full_standard_InChIKey,AKT1,KIT,33,0.24242424242424243,0.42424242424242425,0.18181818181818182
DAVIS,exact_full_standard_InChIKey,AKT1,LCK,36,0.08333333333333333,0.5555555555555556,0.47222222222222227
DAVIS,exact_full_standard_InChIKey,AKT1,MAP2K1,21,0.42857142857142855,0.5714285714285714,0.14285714285714285
DAVIS,exact_full_standard_InChIKey,AKT1,MAPK1,3,0.8333333333333334,1.0,0.16666666666666663
DAVIS,exact_full_standard_InChIKey,AKT1,MAPK14,11,0.2727272727272727,0.5454545454545454,0.2727272727272727
DAVIS,exact_full_standard_InChIKey,AKT1,MAPKAPK2,2,0.5,0.0,-0.5
DAVIS,exact_full_standard_InChIKey,AKT1,MET,18,0.5,0.5555555555555556,0.05555555555555558
DAVIS,exact_full_standard_InChIKey,AKT1,PLK1,9,0.6111111111111112,0.5555555555555556,-0.05555555555555558
DAVIS,exact_full_standard_InChIKey,AKT1,ROCK1,12,0.16666666666666666,0.4166666666666667,0.25
DAVIS,exact_full_standard_InChIKey,AKT1,SRC,26,0.1346153846153846,0.5769230769230769,0.4423076923076923
DAVIS,exact_full_standard_InChIKey,AKT2,CDK2,8,0.375,0.25,-0.125
DAVIS,exact_full_standard_InChIKey,AKT2,CSF1R,35,0.5714285714285714,0.45714285714285713,-0.11428571428571427
DAVIS,exact_full_standard_InChIKey,AKT2,EGFR,22,0.7272727272727273,0.4090909090909091,-0.3181818181818182
DAVIS,exact_full_standard_InChIKey,AKT2,FGFR1,17,0.4117647058823529,0.47058823529411764,0.05882352941176472
DAVIS,exact_full_standard_InChIKey,AKT2,IGF1R,10,0.2,0.4,0.2
DAVIS,exact_full_standard_InChIKey,AKT2,JAK2,19,0.39473684210526316,0.3157894736842105,-0.07894736842105265
DAVIS,exact_full_standard_InChIKey,AKT2,KDR,26,0.3076923076923077,0.34615384615384615,0.038461538461538436
DAVIS,exact_full_standard_InChIKey,AKT2,KIT,33,0.30303030303030304,0.36363636363636365,0.06060606060606061
DAVIS,exact_full_standard_InChIKey,AKT2,LCK,36,0.2916666666666667,0.4166666666666667,0.125
DAVIS,exact_full_standard_InChIKey,AKT2,MAP2K1,21,0.6904761904761905,0.47619047619047616,-0.2142857142857143
DAVIS,exact_full_standard_InChIKey,AKT2,MAPK1,4,0.5,0.5,0.0
DAVIS,exact_full_standard_InChIKey,AKT2,MAPK14,12,0.4166666666666667,0.4166666666666667,0.0
