discovery,validation,role,minimum_pair_support_in_each_panel,eligible_target_pairs,discovery_ligands,validation_ligands,discovery_match,validation_match,pairs_selecting_residual,fraction_pairs_selecting_residual,selected_global_alpha,globally_selected_single_representation,pair_weighted_absolute_accuracy,pair_weighted_residual_accuracy,pair_weighted_globally_selected_single_accuracy,pair_weighted_globally_selected_alpha_mixture_accuracy,pair_weighted_discovery_experimental_target_mean_prior_accuracy,pair_weighted_transferred_pair_rule_accuracy,pair_weighted_rule_minus_absolute,pair_weighted_rule_minus_residual,pair_weighted_rule_minus_global_alpha_mixture,pair_weighted_rule_minus_target_mean_prior,pair_weighted_rule_minus_validation_oracle_best_single,equal_target_pair_absolute_accuracy,equal_target_pair_residual_accuracy,equal_target_pair_globally_selected_single_accuracy,equal_target_pair_globally_selected_alpha_mixture_accuracy,equal_target_pair_discovery_experimental_target_mean_prior_accuracy,equal_target_pair_transferred_pair_rule_accuracy,equal_target_pair_rule_minus_absolute,equal_target_pair_rule_minus_residual,equal_target_pair_rule_minus_global_alpha_mixture,equal_target_pair_rule_minus_target_mean_prior,equal_target_pair_rule_minus_validation_oracle_best_single,normalization_gain_spearman,normalization_gain_sign_agreement,prior_tied_cells,prior_reversal_cells,prior_reversal_absolute_accuracy,prior_reversal_residual_accuracy,prior_reversal_transferred_pair_rule_accuracy,prior_routine_cells,prior_routine_absolute_accuracy,prior_routine_residual_accuracy,prior_routine_transferred_pair_rule_accuracy
PKIS2,PKIS1,connectivity_match_sensitivity,15,186,154,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,86,0.46236559139784944,0.65,residual,0.5229116945107398,0.555744971019434,0.555744971019434,0.5494033412887828,0.7486532560518241,0.5767473576542789,0.05383566314353905,0.021002386634844883,0.027344016365496104,-0.17190589839754522,0.021002386634844883,0.524010702585529,0.5465639429816028,0.5465639429816028,0.5420628972691841,0.728449050352684,0.5724234786903087,0.04841277610477979,0.025859535708705916,0.030360581421124633,-0.1560255716623753,0.025859535708705916,0.643998881071497,0.6989247311827957,0,3686,0.5032555615843733,0.518176885512751,0.4671730873575692,10979,0.5295108844157027,0.5683577739320521,0.613534930321523
DAVIS,PKIS1,connectivity_match_sensitivity,15,158,59,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,72,0.45569620253164556,0.5,residual,0.5265386360199606,0.5576893996673219,0.5576893996673219,0.549372448208075,0.751096325419628,0.5787842129139573,0.05224557689399667,0.021094813246635424,0.02941176470588236,-0.1723121125056707,0.021094813246635424,0.5285086425750987,0.5526902404927657,0.5526902404927657,0.5456600380811758,0.7229042898342548,0.5745516042977475,0.04604296172264888,0.021861363804981826,0.02889156621657174,-0.14835268553650727,0.021861363804981826,0.5543602804365485,0.6518987341772152,0,3292,0.5147326852976913,0.5397934386391251,0.4643074119076549,9934,0.5304509764445339,0.5636198912824643,0.616720354338635
PKIS1,PKIS2,connectivity_match_sensitivity,15,186,220,154,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,100,0.5376344086021505,1.0,residual,0.5255857796929706,0.5283463506598438,0.5283463506598438,0.5283463506598438,0.6574872071101535,0.5523498518718017,0.026764072178831144,0.024003501211957934,0.024003501211957934,-0.10513735523835177,0.024003501211957934,0.5235897883240296,0.5245397980762571,0.5245397980762571,0.5245397980762571,0.6453208446592867,0.5478249015136767,0.024235113189647106,0.02328510343741963,0.02328510343741963,-0.09749594314561005,0.02328510343741963,0.643998881071497,0.6989247311827957,0,5087,0.5390210340082563,0.5002948692746216,0.4583251425201494,9765,0.5185867895545315,0.5429595494111623,0.601331285202253
PKIS1,DAVIS,connectivity_match_sensitivity,15,158,220,59,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,87,0.5506329113924051,1.0,residual,0.4976353747930953,0.5041380941120832,0.5041380941120832,0.5041380941120832,0.71860960037834,0.5386616221328919,0.04102624733979665,0.034523528020808714,0.034523528020808714,-0.17994797824544806,0.034523528020808714,0.5055605248494147,0.5068133200172679,0.5068133200172679,0.5068133200172679,0.6964427656454999,0.5384000403962682,0.03283951554685349,0.031586720379000344,0.031586720379000344,-0.15804272524923169,0.031586720379000344,0.5543602804365484,0.6518987341772152,0,1190,0.588655462184874,0.5294117647058824,0.5,3039,0.46199407699901285,0.49424152681803224,0.5538005923000987
PKIS2,DAVIS,primary_exact_full_key_transfer,20,129,154,59,exact_full_standard_InChIKey,exact_full_standard_InChIKey,61,0.4728682170542636,0.65,residual,0.496241610738255,0.5025503355704698,0.5025503355704698,0.5012080536912752,0.7578523489932886,0.5422818791946309,0.04604026845637588,0.03973154362416109,0.0410738255033557,-0.21557046979865768,0.03973154362416109,0.5047214320325044,0.5043323620447071,0.5043323620447071,0.5042443424716995,0.7443005842834313,0.5444186662943346,0.03969723426183014,0.04008630424962745,0.04017432382263508,-0.1998819179890967,0.03969723426183014,0.6731066941179573,0.6744186046511628,0,902,0.5393569844789357,0.49223946784922396,0.479490022172949,2823,0.4824654622741764,0.5058448459086079,0.5623450230251505
DAVIS,PKIS2,primary_exact_full_key_transfer,20,129,59,154,exact_full_standard_InChIKey,exact_full_standard_InChIKey,58,0.4496124031007752,1.0,residual,0.5287340742748713,0.5318514502575223,0.5318514502575223,0.5318514502575223,0.6796783229420801,0.5560224089635855,0.027288334688714166,0.024170958706063117,0.024170958706063117,-0.12365591397849462,0.024170958706063117,0.5269737210519824,0.5294635312427864,0.5294635312427864,0.5294635312427864,0.6744336238957959,0.5523515495521256,0.02537782850014325,0.022888018309339175,0.022888018309339175,-0.12208207434367024,0.022888018309339175,0.6731066941179573,0.6744186046511628,0,3545,0.4921015514809591,0.4871650211565585,0.4205923836389281,7522,0.5459984046796065,0.55291145971816,0.6198484445626163
PKIS2,PKIS1,connectivity_match_sensitivity,20,182,154,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,84,0.46153846153846156,0.65,residual,0.5218940587953128,0.5558144315767833,0.5558144315767833,0.5493044610429658,0.7482354553553073,0.5759953402316179,0.054101281436305104,0.020180908654834573,0.026690879188652095,-0.17224011512368942,0.020180908654834573,0.5193041708898958,0.5467583307779982,0.5467583307779982,0.5415028761179768,0.7259511116097122,0.5687809640519235,0.04947679316202769,0.022022633273925285,0.027278087933946704,-0.1571701475577887,0.022022633273925285,0.6437059646307444,0.6978021978021978,0,3674,0.5025857376156777,0.5179640718562875,0.46679368535655963,10919,0.5283908782855573,0.5685502335378698,0.6127392618371645
DAVIS,PKIS1,connectivity_match_sensitivity,20,125,59,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,57,0.456,1.0,residual,0.5238403731536667,0.5613716852379719,0.5613716852379719,0.5613716852379719,0.758918545391725,0.5812818519478276,0.05744147879416084,0.01991016670985568,0.01991016670985568,-0.17763669344389743,0.01991016670985568,0.520688204942796,0.5595252663766087,0.5595252663766087,0.5595252663766087,0.7298331220421476,0.5745573846978559,0.05386917975505989,0.015032118321247179,0.015032118321247179,-0.15527573734429168,0.015032118321247179,0.6057874861094046,0.664,0,2791,0.5046578287352204,0.5431744894303118,0.45754209960587605,8786,0.5299339858866379,0.5671522877304803,0.6205895743227863
PKIS1,PKIS2,connectivity_match_sensitivity,20,182,220,154,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,99,0.5439560439560439,1.0,residual,0.5254853536392948,0.5289840159154833,0.5289840159154833,0.5289840159154833,0.6596693421142896,0.5525485353639294,0.027063181724634622,0.023564519448446175,0.023564519448446175,-0.10712080675036018,0.023564519448446175,0.5233449679581609,0.5250539113816715,0.5250539113816715,0.5250539113816715,0.6475267891087559,0.5478379957234047,0.02449302776524387,0.02278408434173329,0.02278408434173329,-0.0996887933853512,0.02278408434173329,0.6437059646307444,0.6978021978021978,0,4961,0.5459584761136868,0.5003023583954848,0.4618020560370893,9616,0.5149230449251248,0.5437811980033278,0.5993656405990017
PKIS1,DAVIS,connectivity_match_sensitivity,20,125,220,59,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,72,0.576,1.0,residual,0.49244920373421197,0.5013728720483251,0.5013728720483251,0.5013728720483251,0.7320153761669412,0.5362438220757826,0.04379461834157061,0.03487095002745744,0.03487095002745744,-0.19577155409115865,0.03487095002745744,0.49954870833373516,0.5027342010933411,0.5027342010933411,0.5027342010933411,0.714263652469964,0.5344100501959758,0.0348613418622406,0.03167584910263466,0.03167584910263466,-0.17985360227398828,0.03167584910263466,0.6057874861094046,0.664,0,976,0.6075819672131147,0.5225409836065574,0.5138319672131147,2666,0.4503000750187547,0.49362340585146286,0.5444486121530383
