dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
EGFR,19,5,0.53465546774239,PKIS2,locked_no_retuning_evaluation,18,171,0.312014303885569,0.709513435003631,0.306745138616884,0.31937504499964,0.00736074111407109,0.712418300653595,0.00290486564996373,0.265259544579631,-0.0414855940372532,0.306211150310798,-0.0058031535747714,0.716049382716049,0.00653594771241828,0.315031471800342,0.0082863331834574
EGFR,19,5,0.53465546774239,KiRHub,locked_no_retuning_evaluation,18,171,0.343862049103607,0.725127087872186,0.286213615419637,0.37734658122735,0.033484532123743,0.772331154684096,0.0472040668119099,0.298539817536293,0.0123262021166562,0.356233950128399,0.0123719010247918,0.76397966594045,0.0388525780682644,0.314642762266052,0.0284291468464149
FGFR1,19,5,0.514491338284456,PKIS1,post_hoc_discovery,18,171,0.213564691482468,0.681917211328976,0.335888613228849,0.261209110327117,0.0476444188446492,0.717501815541031,0.0355846042120552,0.335100382384524,-0.000788230844324667,0.238740490076079,0.0251757985936112,0.69680464778504,0.0148874364560639,0.338379822361277,0.00249120913242767
FGFR1,19,5,0.514491338284456,DAVIS,locked_no_retuning_evaluation,18,171,0.28390092879257,0.742919389978213,0.316079273568366,0.344591643266854,0.0606907144742842,0.784676833696442,0.0417574437182281,0.375162929587592,0.0590836560192263,0.310372717018264,0.0264717882256942,0.764342774146696,0.0214233841684822,0.31681223068904,0.000732957120674615
FGFR1,19,5,0.514491338284456,PKIS2,locked_no_retuning_evaluation,18,171,0.306347949216406,0.705519244734931,0.308838614173199,0.347591619267046,0.0412436700506396,0.721496005809731,0.0159767610748003,0.302919665316128,-0.00591894885707095,0.320695034439725,0.0143470852233182,0.714960058097313,0.00944081336238201,0.316467266979159,0.00762865280595992
FGFR1,19,5,0.514491338284456,KiRHub,locked_no_retuning_evaluation,18,171,0.305015959872321,0.730210602759622,0.289459129269446,0.369856241150071,0.0648402812777497,0.799927378358751,0.0697167755991286,0.362200269597704,0.0727411403282576,0.338409292725658,0.0333933328533371,0.775962236746551,0.0457516339869282,0.31903508855741,0.0295759592879641
IGF1R,19,5,0.534690920522183,PKIS1,post_hoc_discovery,18,171,0.155974752201982,0.616557734204793,0.224545691119907,0.188976888184895,0.0330021359829122,0.628177196804648,0.0116194625998548,0.235710239329936,0.0111645482100288,0.17390740874073,0.0179326565387477,0.631082062454612,0.0145243282498185,0.244478394202785,0.0199327030828772
IGF1R,19,5,0.534690920522183,DAVIS,locked_no_retuning_evaluation,18,171,0.277120983032136,0.724400871459695,0.297333199438592,0.318993448052416,0.0418724650202799,0.77923021060276,0.0548293391430646,0.368853495051845,0.0715202956132523,0.289766481868145,0.0126454988360094,0.761074800290487,0.0366739288307916,0.320612001720639,0.0232788022820464
IGF1R,19,5,0.534690920522183,PKIS2,locked_no_retuning_evaluation,18,171,0.28469292245662,0.714596949891068,0.30768145264211,0.316077471380229,0.0313845489236086,0.719317356572258,0.00472040668119089,0.271412625715866,-0.0362688269262436,0.290973672210622,0.00628074975400195,0.725127087872186,0.0105301379811183,0.323605120838252,0.0159236681961428
IGF1R,19,5,0.534690920522183,KiRHub,locked_no_retuning_evaluation,18,171,0.314289485684115,0.777051561365287,0.312568352192952,0.372933016535868,0.0586435308517532,0.825708061002179,0.0486564996368918,0.344091164417579,0.0315228122246271,0.347253221974224,0.0329637362901097,0.811909949164851,0.0348583877995643,0.350280542346441,0.0377121901534886
JAK2,19,5,0.53119855153434,PKIS1,post_hoc_discovery,18,171,0.161605107159143,0.657952069716776,0.307587283665765,0.200597595219238,0.0389924880600956,0.670660856935367,0.0127087872185911,0.273139765997554,-0.0344475176682111,0.188026495788034,0.026421388628891,0.672113289760349,0.014161220043573,0.322363588243408,0.0147763045776423
JAK2,19,5,0.53119855153434,DAVIS,locked_no_retuning_evaluation,18,171,0.301840785273718,0.749818445896877,0.328846745402803,0.346055631554948,0.0442148462812297,0.786129266521423,0.036310820624546,0.377922131312517,0.0490753859097144,0.315110279117767,0.0132694938440493,0.768700072621641,0.0188816267247639,0.330748689845078,0.00190194444227521
JAK2,19,5,0.53119855153434,PKIS2,locked_no_retuning_evaluation,18,171,0.309619123047016,0.742556281771968,0.337051393375423,0.345990832073343,0.0363717090263278,0.76397966594045,0.0214233841684822,0.314177375997553,-0.0228740173778695,0.320575035399717,0.0109559123527012,0.764705882352941,0.022149600580973,0.364342776541992,0.0272913831665687
JAK2,19,5,0.53119855153434,KiRHub,locked_no_retuning_evaluation,18,171,0.348827609379125,0.74800290486565,0.303769700942123,0.400979192166463,0.0521515827873377,0.809731299927378,0.0617283950617284,0.36244782535391,0.0586781244117867,0.371759425924593,0.0229318165454676,0.786855482933914,0.0388525780682644,0.336940478147483,0.0331707772053594
KDR,19,5,0.507792133741665,PKIS1,post_hoc_discovery,18,171,0.141781265749874,0.633986928104575,0.278883324455132,0.185436916504668,0.043655650754794,0.652868554829339,0.018881626724764,0.289643710705122,0.0107603862499902,0.165591475268198,0.0238102095183239,0.644880174291939,0.0108932461873639,0.291086476884213,0.0122031524290812
