control,panel,grouping,physicochemical_minus_control_point,bootstrap_mean,bootstrap_median,conditional_coarsened_sensitivity_low95,conditional_coarsened_sensitivity_high95
outcome_rank7_svd_transported_oracle,DAVIS,generic_murcko_or_acyclic_topology,-0.011935598157697791,-0.011498061733740895,-0.011233143941879103,-0.020788751984673563,-0.0033082706766916475
outcome_rank7_svd_transported_oracle,PKIS2,murcko_scaffold,-0.048073062236743763,-0.047671484470338171,-0.047395102065810255,-0.05499442323085206,-0.042049058072756058
outcome_rank7_svd_transported_oracle,PKIS2,murcko_generic_framework,-0.048073062236743763,-0.047471994821259085,-0.047235890774055531,-0.057561005480542493,-0.038539498834345993
outcome_rank7_svd_transported_oracle,PKIS2,generic_murcko_or_acyclic_topology,-0.048073062236743763,-0.047585219943401265,-0.047314621632615517,-0.057631119684026913,-0.038626715129884033
outcome_rank7_svd_transported_oracle,PKIS1,murcko_scaffold,-0.051885385365683004,-0.051932578041963544,-0.051836397275912272,-0.056927790680890725,-0.047425194749526479
outcome_rank7_svd_transported_oracle,PKIS1,murcko_generic_framework,-0.051885385365683004,-0.051809196639067114,-0.051734921947101636,-0.059053436383279367,-0.044883500199014034
outcome_rank7_svd_transported_oracle,PKIS1,generic_murcko_or_acyclic_topology,-0.051885385365683004,-0.051890626041543632,-0.051734047159784323,-0.059045125903764678,-0.045017955009688242
outcome_rank7_svd_transported_oracle,KiRHub,murcko_scaffold,-0.031632309394778513,-0.03109819890039239,-0.030599185573007698,-0.041171733872202222,-0.024166830689288588
outcome_rank7_svd_transported_oracle,KiRHub,murcko_generic_framework,-0.031632309394778513,-0.030986061313843117,-0.030568568016900943,-0.043542757417102951,-0.021304395368875954
outcome_rank7_svd_transported_oracle,KiRHub,generic_murcko_or_acyclic_topology,-0.031632309394778513,-0.031089938108797351,-0.030677916431567531,-0.043369637007002554,-0.021407707751053075
