seed,panel,component_remainder_spearman,component_remainder_pearson,partial_spearman_component,partial_spearman_remainder,standardized_beta_component,standardized_beta_remainder,joint_rank_r2,semipartial_rank_r2_component,semipartial_rank_r2_remainder
20260917,PKIS2,0.40090890402270946,0.3834498953891386,0.1880335403764232,0.1403275795391552,0.19984135214323678,0.14794325009926179,0.085529658409116749,0.033517643665937902,0.018369319633662506
20260917,PKIS1,0.40090890402270946,0.3834498953891386,0.088362389258313828,0.084007136384327413,0.095644151900283428,0.090895611361005768,0.024380526242691491,0.0076774960482953736,0.0069340758921646595
20260917,KiRHub,0.40090890402270946,0.3834498953891386,0.24551802787347118,0.13328033151075047,0.2600122186294227,0.13806000191374246,0.11545000226412427,0.056740123223119499,0.015996998743089574
20260918,DAVIS,0.50834853276297209,0.48894181691568317,0.16656031754595432,0.11098336170212304,0.18865016548278438,0.12471695266625007,0.075063923427874379,0.026392068256542611,0.011534798871116081
20260918,PKIS2,0.50834853276297209,0.48894181691568317,0.17000066833479852,0.11312353776587154,0.1923608424161512,0.12695438290552569,0.077948920984297176,0.027440523056938226,0.011952381382577815
20260918,PKIS1,0.50834853276297209,0.48894181691568317,0.060772177142667652,0.079738030448739269,0.069994487580543302,0.091961521016837883,0.019900424843802389,0.0036331783844310017,0.0062714986953542606
20260918,KiRHub,0.50834853276297209,0.48894181691568317,0.2114358934259408,0.10841864411828191,0.23827463742626065,0.1201266579805432,0.10030627504900458,0.042103158738667545,0.010701331913490986
20260919,DAVIS,0.4027319607920325,0.37346141037297464,0.19851544881371508,0.12977681225668491,0.21147817230825317,0.13665517499441737,0.086675228606257537,0.037469255565686366,0.015645740875562253
20260919,PKIS2,0.4027319607920325,0.37346141037297464,0.1982279741162018,0.13469299135420207,0.21092803340510335,0.14177029376675435,0.088675504324621013,0.037274564234271668,0.016838928251588947
20260919,PKIS1,0.4027319607920325,0.37346141037297464,0.077058117856627875,0.090270197202596714,0.08345636807224481,0.097874360977490985,0.02312357747992777,0.0058352965186859729,0.0080256801385527599
20260919,KiRHub,0.4027319607920325,0.37346141037297464,0.27640778338209565,0.12319759519933511,0.2928280473515677,0.1263942596844882,0.13153543109168864,0.071840494154562395,0.013384392654118504
20260920,DAVIS,0.45769134879082529,0.42326094917355789,0.20741293238314171,0.11363542514807769,0.22721495647680209,0.12257122135746658,0.092143762359432335,0.040811817876265866,0.011876518133374425
20260920,PKIS2,0.45769134879082529,0.42326094917355789,0.18617217804934483,0.12912869305413505,0.20362168972498121,0.13993405946875964,0.087125890781145188,0.032776319393931885,0.015479572949297138
20260920,PKIS1,0.45769134879082529,0.42326094917355789,0.070715719315258593,0.086961475862679341,0.07882721364892932,0.097061471599801524,0.022638330036009346,0.0049120690150854518,0.0074474200920103817
20260920,KiRHub,0.45769134879082529,0.42326094917355789,0.28285041838949826,0.1006785280192722,0.30827961524840192,0.1057864385774123,0.13607937158615357,0.075127982345603472,0.0088465126245126369
20260921,DAVIS,0.46982639845687518,0.43815028691769686,0.2326183421139823,0.094830596803959055,0.25687745434652087,0.10230859977766601,0.10114787768316114,0.051420479257130114,0.0081565860891266162
20260921,PKIS2,0.46982639845687518,0.43815028691769686,0.23037388494455047,0.09971914224322645,0.25415758779088388,0.10759124122453696,0.10186688282310263,0.050337344678783702,0.0090206530246951244
20260921,PKIS1,0.46982639845687518,0.43815028691769686,0.099634866110017539,0.072716094629661776,0.11184982742913013,0.081440297019599511,0.027702281350151958,0.0097488812289165949,0.0051684800047583357
20260921,KiRHub,0.46982639845687518,0.43815028691769686,0.29509332746272199,0.088924396183389459,0.32402130742963142,0.093664577072900851,0.14228068288915152,0.081814688799393021,0.0068365169611414034
20260922,DAVIS,0.43747851303651808,0.39480036883257824,0.19752251909498109,0.12148384836955625,0.21409095470737199,0.1300430446305183,0.087105843536238514,0.037062705224639947,0.013674603275303121
20260922,PKIS2,0.43747851303651808,0.39480036883257824,0.1756920880893687,0.13642271928850594,0.19014708235756356,0.14672196595697765,0.082093458830793331,0.029236124974000188,0.017407273500604559
20260922,PKIS1,0.43747851303651808,0.39480036883257824,0.060818949264369329,0.093303682551169276,0.067038831201425703,0.10310512899409136,0.021172616897230379,0.003634070478235496,0.0085960912630750341
20260922,KiRHub,0.43747851303651808,0.39480036883257824,0.26602565791938565,0.11388608896163478,0.28684818798833273,0.11915047805517194,0.12638308699290812,0.066534163244720834,0.011479740109099801
20260923,DAVIS,0.56094949415423379,0.54333375637636716,0.20052387039405642,0.082612467601695119,0.23585270247965134,0.095520281689604164,0.090025565817887232,0.038122822496520548,0.0062530877358603076
20260923,PKIS2,0.56094949415423379,0.54333375637636716,0.17895702959617182,0.098116822525907574,0.21027631351727058,0.11397709495717623,0.084095104008134247,0.030302889505065878,0.008903043599452487
20260923,PKIS1,0.56094949415423379,0.54333375637636716,0.079598419736367859,0.068408323874119797,0.095267337891793757,0.081806328196519409,0.024511628355688986,0.0062200144337810626,0.0045864549657567144
20260923,KiRHub,0.56094949415423379,0.54333375637636716,0.24600013940212803,0.078379946069949955,0.28768167439858283,0.089117834225159842,0.11946549550411545,0.05671889074897396,0.005442927885826454
20260924,DAVIS,0.47892593613177797,0.46234558974366619,0.20849672566753238,0.10483546687548961,0.23140315713235715,0.11442663704868505,0.09200353446944376,0.041265246345531637,0.010090208747063012
20260924,PKIS2,0.47892593613177797,0.46234558974366619,0.20805520149520554,0.10935514485682364,0.23066288449247344,0.11930032409707877,0.093796251698046951,0.041001648635572097,0.010968042616902984
20260924,PKIS1,0.47892593613177797,0.46234558974366619,0.11671860802132686,0.059562833039416216,0.13182932061949601,0.066933021065053777,0.030310829880913048,0.013392754568791632,0.0034524447520094537
20260924,KiRHub,0.47892593613177797,0.46234558974366619,0.28600161942700819,0.088934678323494012,0.31580694871502157,0.09447524495212388,0.13723801064163355,0.07685802944177289,0.0068783130132459291
20260925,DAVIS,0.48411342492356552,0.46115346162796111,0.17808655149044458,0.11591247327282203,0.1983576493619158,0.12790483043522433,0.080270190753113035,0.030124456908032005,0.012525504074492377
20260925,PKIS2,0.48411342492356552,0.46115346162796111,0.20643203967299181,0.1072584867254318,0.22967226467877411,0.11744086308346222,0.092657600187268652,0.040386705314605198,0.010559899585571464
20260925,PKIS1,0.48411342492356552,0.46115346162796111,0.095790532960425168,0.067394127874121537,0.10856296377336017,0.076202282238822167,0.025602599339481058,0.0090237011160764213,0.0044458752983496108
20260925,KiRHub,0.48411342492356552,0.46115346162796111,0.24482107460132937,0.10469082053835835,0.27130544219777225,0.11310708634558252,0.11611141508922862,0.056355762599128889,0.0097949212817950437
20260926,DAVIS,0.48927467009583298,0.46527585727069698,0.23352021261858905,0.090273333112374302,0.26082720916548646,0.098443767466903823,0.10284803693888944,0.051744952138299216,0.0073712077655473385
20260926,PKIS2,0.48927467009583298,0.46527585727069698,0.23081733395167925,0.096559575038694806,0.25748381789835334,0.10529858526134329,0.10391680537717662,0.050426877957395866,0.0084334888125868757
20260926,PKIS1,0.48927467009583298,0.46527585727069698,0.12653055148171369,0.053080495145173788,0.14384493169581181,0.05994350867396285,0.032722198703701078,0.015738064806471441,0.002733043351127673
20260926,KiRHub,0.48927467009583298,0.46527585727069698,0.31607803157062048,0.069558099623322572,0.35133587973734787,0.073531457887076573,0.15412385365319603,0.093887377492027579,0.0041125250281087711
20260927,DAVIS,0.46900409837858176,0.45039517175821275,0.21398315343986674,0.1032708929783786,0.2361968165071805,0.11194969953848204,0.093124636651118697,0.04351733147926895,0.0097759740740011036
20260927,PKIS2,0.46900409837858176,0.45039517175821275,0.18675204627243558,0.11899155063401153,0.20595799827274525,0.1298426770206858,0.08436216233010696,0.033088074960124336,0.013150706899461961
20260927,PKIS1,0.46900409837858176,0.45039517175821275,0.070978828488580892,0.083102460828552716,0.079676066792143591,0.093372936643873264,0.022045175757211322,0.0049518781612828411,0.0068007406372428969
20260927,KiRHub,0.46900409837858176,0.45039517175821275,0.27466986320422065,0.097160618622827613,0.30155736666935817,0.10305654294612929,0.13070840837788744,0.070933936355022986,0.0082844811907911708
20260928,DAVIS,0.47791643156757518,0.4637731051169961,0.19720105587276304,0.1110052080907767,0.21869297938566828,0.12143622181376965,0.087957666696646064,0.036902822566428739,0.011378536214027068
20260928,PKIS2,0.47791643156757518,0.4637731051169961,0.17611276136480106,0.12419710485075326,0.19512743064216703,0.13651265748076949,0.0821712878397165,0.029378292769385084,0.014379233785032253
20260928,PKIS1,0.47791643156757518,0.4637731051169961,0.081199094257548343,0.077457130755534426,0.091640312990095826,0.087391068671952093,0.023689976236132781,0.0064798213158605567,0.005892831227237938
20260928,KiRHub,0.47791643156757518,0.4637731051169961,0.25447241974588336,0.1050918459352457,0.28072882544303296,0.11274292703616451,0.12177193226444616,0.0608084480801524,0.0098077302848207371
20260929,DAVIS,0.39956698027792004,0.35059799087650273,0.25958847026620385,0.11256808199257666,0.27581953418963479,0.11624519009834947,0.11521174745150831,0.063930528775919537,0.01135555170896263
20260929,PKIS2,0.39956698027792004,0.35059799087650273,0.22888993167191385,0.12882690901090416,0.24291858288262932,0.13421140197886797,0.10307585818904363,0.049588358579846448,0.01513690485988517
20260929,PKIS1,0.39956698027792004,0.35059799087650273,0.1104711388214186,0.079463947839554558,0.11943237092022116,0.085654966115857489,0.029775985428924789,0.011986775259495319,0.0061654297033703065
20260929,KiRHub,0.39956698027792004,0.35059799087650273,0.32068590258174307,0.11265643574997083,0.33882062188980278,0.11346309190623655,0.15839490162708447,0.096471254409570717,0.0108185108078106
