panel_scope,k,method,metric,observed,random_mean,observed_minus_random_mean,delta_2.5_percentile,delta_97.5_percentile,one_sided_target_panel_p,random_panels
DAVIS,5,sequence_diverse,held_out_top5_overlap,0.39142857142857146,0.5036543809523809,-0.11222580952380952,-0.1899047619047618,-0.021504761904761985,0.9930034982508745,2000
DAVIS,5,conservative_residual_vina_deim,full_target_r2,0.3115126810048149,0.1715202383584536,0.1399924426463613,-0.04587760262425331,0.5059706610749144,0.12343828085957022,2000
DAVIS,5,conservative_residual_vina_deim,full_mean_row_spearman,0.5261310418904404,0.5034808070175439,0.022650234872896496,-0.08618524883637667,0.2129734335839597,0.42478760619690153,2000
DAVIS,5,conservative_residual_vina_deim,full_top5_overlap,0.5057142857142858,0.4963716190476191,0.00934266666666672,-0.07733809523809515,0.14533333333333343,0.4897551224387806,2000
DAVIS,5,conservative_residual_vina_deim,held_out_target_r2,0.10952433404690846,-2.1770635484468293,2.286587882493738,-0.07053987317939082,11.640323878600169,0.1549225387306347,2000
DAVIS,5,conservative_residual_vina_deim,held_out_mean_row_spearman,0.3932142857142857,0.36807983163265307,0.025134454081632625,-0.07871547619047627,0.17620068027210878,0.34632683658170915,2000
DAVIS,5,conservative_residual_vina_deim,held_out_top5_overlap,0.5053333333333333,0.5036543809523809,0.0016789523809523305,-0.07599999999999996,0.09239999999999986,0.49025487256371814,2000
DAVIS,10,raw_vina_deim,full_target_r2,0.3739285731570513,0.39989757034718476,-0.02596899719013346,-0.16059298902278746,0.3060393304841581,0.688655672163918,2000
DAVIS,10,raw_vina_deim,full_mean_row_spearman,0.7261697099892589,0.68789644754744,0.03827326244181886,-0.016352130325814482,0.12612728249194427,0.12193903048475763,2000
DAVIS,10,raw_vina_deim,full_top5_overlap,0.6641904761904762,0.6442918095238095,0.019898666666666707,-0.03619523809523812,0.09719523809523786,0.2993503248375812,2000
DAVIS,10,raw_vina_deim,held_out_target_r2,-7.869146845079021,-4.848069147924995,-3.021077697154025,-8.0825350797382,10.735091421528763,0.6761619190404797,2000
DAVIS,10,raw_vina_deim,held_out_mean_row_spearman,0.47800288600288604,0.42388169696969696,0.05412118903318907,-0.04568196248196251,0.1786554112554113,0.1744127936031984,2000
DAVIS,10,raw_vina_deim,held_out_top5_overlap,0.6771428571428572,0.6595435238095237,0.01759933333333335,-0.03735714285714285,0.07771428571428574,0.2893553223388306,2000
DAVIS,10,residual_vina_deim,full_target_r2,0.5097662610984448,0.39989757034718476,0.10986869075126005,-0.024755301081393958,0.4418770184255516,0.08895552223888056,2000
DAVIS,10,residual_vina_deim,full_mean_row_spearman,0.7151292517006803,0.68789644754744,0.02723280415324028,-0.027392588614393063,0.11508682420336568,0.21539230384807595,2000
DAVIS,10,residual_vina_deim,full_top5_overlap,0.6527619047619048,0.6442918095238095,0.008470095238095249,-0.047623809523809575,0.08576666666666641,0.4397801099450275,2000
DAVIS,10,residual_vina_deim,held_out_target_r2,0.22253614207029643,-4.848069147924995,5.070605289995292,0.009147907411116431,18.82677440867808,0.019490254872563718,2000
DAVIS,10,residual_vina_deim,held_out_mean_row_spearman,0.5420375180375181,0.42388169696969696,0.11815582106782112,0.018352669552669544,0.24269004329004334,0.005997001499250375,2000
DAVIS,10,residual_vina_deim,held_out_top5_overlap,0.7304761904761905,0.6595435238095237,0.07093266666666669,0.01597619047619049,0.13104761904761908,0.0074962518740629685,2000
DAVIS,10,sequence_diverse,full_target_r2,0.5010455734037438,0.39989757034718476,0.10114800305655902,-0.03347598877609498,0.4331563307308506,0.13243378310844578,2000
DAVIS,10,sequence_diverse,full_mean_row_spearman,0.6400630146795561,0.68789644754744,-0.04783343286788397,-0.10245882563551731,0.04002058718224143,0.8935532233883059,2000
DAVIS,10,sequence_diverse,full_top5_overlap,0.5756190476190476,0.6442918095238095,-0.06867276190476193,-0.12476666666666675,0.008623809523809228,0.9635182408795602,2000
DAVIS,10,sequence_diverse,held_out_target_r2,-6.150015627835281,-4.848069147924995,-1.3019464799102862,-6.3634038624944615,12.454222638772503,0.5292353823088456,2000
DAVIS,10,sequence_diverse,held_out_mean_row_spearman,0.4113246753246753,0.42388169696969696,-0.012557021645021652,-0.11236017316017323,0.11197720057720055,0.6331834082958521,2000
