panel,k,method,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_target_r2,full_target_rmse,full_pair_order_accuracy,full_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
PKIS1,10,conservative_residual_vina_deim,0.5335651098693888,0.7085644829130697,0.47750841750841744,0.6861111111111111,0.6800617283950616,0.7663241106719367,0.7698013577683044,0.5010307507757712,0.8108187134502923,0.8735082033180683,0.7353258145363408,0.6761111111111111
PKIS1,10,random,0.3617312901849663,0.8289594146902399,0.41861651515151516,0.6625175,0.6592322222222223,0.6609850592885376,0.6794220325421099,0.5861628234558999,0.7913405409356725,0.7954316863712511,0.693223761487051,0.6448802777777778
PKIS1,10,raw_vina_deim,0.43054671788923693,0.7964658988508071,0.46723905723905723,0.6822222222222222,0.6819135802469136,0.563030303030303,0.7060780549868589,0.5631864380612445,0.804795321637427,0.7843008918456701,0.7219507101086048,0.6688888888888889
PKIS1,10,residual_panel_descriptors_only,0.0020970074993704514,1.0367839089441628,0.09454545454545453,0.545,0.5361728395061729,0.5056653491436099,0.5083261260704006,0.7331169326395135,0.7146198830409357,0.5499187759975858,0.5072639933166249,0.5127777777777778
PKIS1,10,residual_vina_deim,0.5335651098693888,0.7085644829130697,0.47750841750841744,0.6861111111111111,0.6800617283950616,0.7663241106719367,0.7698013577683044,0.5010307507757712,0.8108187134502923,0.8735082033180683,0.7353258145363408,0.6761111111111111
PKIS1,10,sequence_diverse,0.3822432278190776,0.8041671148800799,0.375993265993266,0.6577777777777778,0.643395061728395,0.7777075098814229,0.6988259921906661,0.5686320201389259,0.7744883040935673,0.8109430644674515,0.6433625730994151,0.5872222222222222
PKIS2,3,conservative_residual_vina_deim,0.16564851278286297,0.9126512259838873,0.2239854081167351,0.3872868217054264,0.5812243502051984,0.7158608844997854,0.2944627288366853,0.8414228551961307,0.6091799265605875,0.7213344005738606,0.3016214955994638,0.3541085271317829
PKIS2,3,random,0.13310638545272874,0.9331217376520501,0.2462560210518316,0.40589953488372094,0.5888262995896033,0.6679095649062544,0.2631074470032598,0.8602957344349467,0.6296327825377397,0.6769721913859694,0.35512133356647435,0.402331007751938
PKIS2,3,raw_vina_deim,0.1605658182843582,0.9171608561752624,0.26317449460404313,0.41116279069767436,0.5947674418604652,0.6587157101283335,0.28569147205301687,0.8455805287996639,0.6247327621379029,0.7131659865195276,0.34583901614501367,0.417984496124031
PKIS2,3,residual_panel_descriptors_only,0.031176884982935492,0.9847217214946953,0.17573719410244718,0.3717829457364341,0.5627450980392157,0.5807299270072992,0.180583658189316,0.9078685689382329,0.5904120767033864,0.5276529893669603,0.25260360202832666,0.3355038759689922
PKIS2,3,residual_vina_deim,0.16564851278286297,0.9126512259838873,0.2239854081167351,0.3872868217054264,0.5812243502051984,0.7158608844997854,0.2944627288366853,0.8414228551961307,0.6091799265605875,0.7213344005738606,0.3016214955994638,0.3541085271317829
PKIS2,3,sequence_diverse,0.09903197164878705,0.9516371064609732,0.2245972032223742,0.39472868217054263,0.5819767441860465,0.6430704641954105,0.2329802323420369,0.8773660610226507,0.6128110975112199,0.6728998762175947,0.30982339569854866,0.35503875968992255
PKIS2,5,conservative_residual_vina_deim,0.18563264664433457,0.9029846443008015,0.2717607973421927,0.46108527131782945,0.5990697674418605,0.7512419655815882,0.3896650386161181,0.7820076411917493,0.6766217870257039,0.7466084058313323,0.4723646325115113,0.5010852713178294
PKIS2,5,random,0.1729128773969714,0.9109250959520396,0.27547291528239204,0.4569193798449613,0.6002151790328535,0.6845479307484968,0.3795849147435181,0.7888842740392437,0.6702593798449612,0.6951211022320198,0.45202647432534826,0.45190682170542634
PKIS2,5,raw_vina_deim,0.19431301200751908,0.8973936609610803,0.2785714285714286,0.4567441860465117,0.6023624953857512,0.6935164835164834,0.39709373545386395,0.7771657075874152,0.6705018359853121,0.7381131712352434,0.45178061432651395,0.45829457364341086
PKIS2,5,residual_panel_descriptors_only,0.0232841641925307,0.9903918814708301,0.16300110741971208,0.4096124031007752,0.5584496124031008,0.5922434169603982,0.2681865822564389,0.8577045290556056,0.6453121175030601,0.5272316917949325,0.39291950807250686,0.4644961240310078
PKIS2,5,residual_vina_deim,0.18563264664433457,0.9029846443008015,0.2717607973421927,0.46108527131782945,0.5990697674418605,0.7512419655815882,0.3896650386161181,0.7820076411917493,0.6766217870257039,0.7466084058313323,0.4723646325115113,0.5010852713178294
PKIS2,5,sequence_diverse,0.13251359866230333,0.932133277445504,0.22006090808416393,0.4294573643410852,0.579593946105574,0.6562595894671366,0.3496812035360003,0.8072510979806549,0.6416809465524276,0.6974813998346653,0.37981465291134814,0.38170542635658916
PKIS2,10,conservative_residual_vina_deim,0.2886157168956898,0.8401343666661576,0.33126614987080105,0.623875968992248,0.6252885443583118,0.7296969696969697,0.6492019849254265,0.5940647077775055,0.767515299877601,0.7903768146369414,0.6468869849041208,0.568062015503876
PKIS2,10,random,0.237068201351698,0.8732671097700866,0.3177479445618981,0.6167517829457364,0.6192889233419465,0.6881639525691698,0.6183884151169159,0.6174930951056055,0.7715079477764178,0.7557792302746396,0.6569784076470245,0.6050111627906977
PKIS2,10,raw_vina_deim,0.22264028481617623,0.8865996133816886,0.32433168898285175,0.6176744186046512,0.6216020671834626,0.6730171277997365,0.6065350257803075,0.6269205988195632,0.7766381068951448,0.7580534232614695,0.6660674943171884,0.6127131782945737
PKIS2,10,residual_panel_descriptors_only,0.029488954362628727,0.9841396859455778,0.1397134132017853,0.5525581395348838,0.5520757967269595,0.5278260869565217,0.5210394266279579,0.6958918455669172,0.7278008975928192,0.6072152457933666,0.5527236696392143,0.5069767441860465
PKIS2,10,residual_vina_deim,0.2886157168956898,0.8401343666661576,0.33126614987080105,0.623875968992248,0.6252885443583118,0.7296969696969697,0.6492019849254265,0.5940647077775055,0.767515299877601,0.7903768146369414,0.6468869849041208,0.568062015503876
PKIS2,10,sequence_diverse,0.3091012341872693,0.8290847736255476,0.25632135306553916,0.5981395348837208,0.5967269595176572,0.8237154150197628,0.6562708361027931,0.5862514656091383,0.7472378620971032,0.8260765351423937,0.5878859940549047,0.5317829457364341
