chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,ring_count,0.17888298263307234,0.35612459915267586,7,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,heavy_atoms,-0.43994047355875054,-0.4369822871037024,2,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,molecular_weight,-0.31888879443648172,-0.42192419324702346,2,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,labute_asa,-0.41280739901549873,-0.43635614263634565,2,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,tpsa,-0.17648496256277552,-0.18543130827778914,2,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,clogp,-0.21314010465478941,-0.24435806459054213,1,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,rotatable_bonds,-0.19763382487831291,-0.30499933223780323,2,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2rh1,ADRB2,ring_count,-0.48149873875741372,-0.31492267301080989,2,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,heavy_atoms,-0.57767731950600665,-0.44307514314831636,1,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,molecular_weight,-0.52794421527449853,-0.41546016853433365,1,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,labute_asa,-0.57215839763411469,-0.43587367605426935,1,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,tpsa,-0.35643661344352617,-0.1942339586241188,1,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,clogp,-0.19081063756636288,-0.31811355366215815,4,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,rotatable_bonds,-0.23432411851826546,-0.25455174240781664,1,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2vt4,ADRB1,ring_count,-0.50004685217038169,-0.35744988540030992,1,1
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,heavy_atoms,7.5072729578511837e-05,-0.078745409331250141,6,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,molecular_weight,0.055676527771367217,-0.052042923040663137,6,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,labute_asa,0.010926293463603581,-0.073668185663964492,6,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,tpsa,0.1723030433516014,0.10516555011573189,7,6
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,clogp,-0.20271363969063716,-0.25638208008993696,3,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,rotatable_bonds,0.035948460576973519,0.07602527780407857,6,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,2ydo,ADORA2A,ring_count,-0.11520946699755585,-0.20670436847982238,6,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,heavy_atoms,0.36664918832003518,0.67346405103868734,9,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,molecular_weight,0.31693379508857356,0.64943976239432544,8,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,labute_asa,0.36019484574925492,0.66827603577714123,8,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,tpsa,0.17412393001598464,0.30078415581989115,8,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,clogp,0.1254439918249155,0.37847593036147054,9,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,rotatable_bonds,0.065778863137929217,0.28931341444655673,7,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3b66,AR,ring_count,0.40948577197856928,0.56849185146894188,9,9
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,heavy_atoms,0.36353611910212791,0.46795727993697128,8,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,molecular_weight,0.33693597957373628,0.45815691032196842,9,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,labute_asa,0.36511723912803157,0.46933308039091837,9,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,tpsa,0.22589109652540978,0.23033478469068308,9,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,clogp,0.06034374626339381,0.19278121169388174,7,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,rotatable_bonds,0.18624500837696234,0.19130545395248011,9,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,3ln1,PTGS2,ring_count,0.29019049777616707,0.38920928879427263,8,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,heavy_atoms,-0.28652183604857412,0.049003737008542943,3,6
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,molecular_weight,-0.15432522466413079,0.054036176220190399,4,6
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,labute_asa,-0.24915619996623956,0.049313265446112878,3,6
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,tpsa,-0.035557218385979493,0.023075469882614316,4,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,clogp,-0.20804768373941787,-0.03033629408875364,2,6
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,rotatable_bonds,-0.012333396600549539,-0.11874298081560289,5,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,4ey7,ACHE,ring_count,-0.41885362648074875,0.12252960475766037,3,6
