target,size_x_angstrom,size_y_angstrom,size_z_angstrom,box_volume_angstrom3,source_package,source_resource,source_repository,metadata_selection_used_score_outcomes,unscaled_two_way_residual__heavy_atoms_slope,unscaled_two_way_residual__molecular_weight_slope,unscaled_two_way_residual__labute_asa_slope,unscaled_two_way_residual__tpsa_slope,unscaled_two_way_residual__clogp_slope,unscaled_two_way_residual__rotatable_bonds_slope,unscaled_two_way_residual__ring_count_slope,target_standardized_two_way_residual__heavy_atoms_slope,target_standardized_two_way_residual__molecular_weight_slope,target_standardized_two_way_residual__labute_asa_slope,target_standardized_two_way_residual__tpsa_slope,target_standardized_two_way_residual__clogp_slope,target_standardized_two_way_residual__rotatable_bonds_slope,target_standardized_two_way_residual__ring_count_slope
PGR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PGR_conf.txt,https://github.com/dockstring/dockstring,False,0.81568473437985412,0.78975397580423989,0.80969237225866786,0.44952645324607243,0.3341913292673005,0.45793558907137205,0.60243595506307501,0.70164465764925243,0.6793392528077542,0.69649008175513905,0.38667860399756065,0.28746836973892337,0.393912066852243,0.5182099794563364
PTPN1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PTPN1_conf.txt,https://github.com/dockstring/dockstring,False,6.4900388747918763e-05,0.0016005981988267792,0.0032318026215036539,-0.042626928622942976,0.019669972491964074,-0.028310507490603078,0.036642602245634585,0.00012655519612162795,0.0031211526290116178,0.0063019871295284255,-0.083122141731578364,0.038356276047842655,-0.055205244481542355,0.071452757110821996
ROCK1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ROCK1_conf.txt,https://github.com/dockstring/dockstring,False,-0.24363385955231481,-0.24265420535185486,-0.24704453293670908,-0.087070170179189291,-0.10623500938345076,-0.049811828849821382,-0.22000579682801077,-0.48910598891761048,-0.48713928881527813,-0.49595306994983884,-0.17479730349866471,-0.21327158473638619,-0.099999498649961674,-0.44167158465945977
AKT1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/AKT1_conf.txt,https://github.com/dockstring/dockstring,False,-0.4110900658014971,-0.40754900425303697,-0.4119285472671716,-0.23904568991242431,-0.1197830040610969,-0.22317017054524294,-0.29337788877638032,-0.67467783953425786,-0.66886627668241716,-0.67605394883684578,-0.39231993919786767,-0.19658694071164259,-0.36626515948128302,-0.48148952415295615
AR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/AR_conf.txt,https://github.com/dockstring/dockstring,False,0.78055634795022932,0.75271178671875205,0.77454334957352888,0.34861397846843656,0.43866007329475742,0.33531919312563685,0.65889177416029698,0.67346405103868734,0.64943976239432544,0.66827603577714123,0.30078415581989115,0.37847593036147054,0.28931341444655673,0.56849185146894188
CDK2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CDK2_conf.txt,https://github.com/dockstring/dockstring,False,-0.10190885908795387,-0.10082966104974085,-0.10286595152080887,-0.038899238478863257,-0.050201314220768851,-0.013726526787675825,-0.10169732755244741,-0.23776852488255276,-0.23525059535318174,-0.24000156387418506,-0.090757708750241639,-0.11712713238341663,-0.03202602850503615,-0.23727499034970007
CSF1R,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CSF1R_conf.txt,https://github.com/dockstring/dockstring,False,0.13428223323982272,0.13921191399597571,0.13514025028088444,0.1199747583993869,0.0084529883598641019,0.15645056553917383,0.030470974949672047,0.25979239040293323,0.26932971724554744,0.26145237395195403,0.23211208601904451,0.016353779640641365,0.30268089396996412,0.058951413221921288
ESR1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ESR1_conf.txt,https://github.com/dockstring/dockstring,False,0.093064792524558113,0.093791452612607878,0.087119091222122497,0.11922107296087311,-0.0090205697974967258,0.0026535284942400647,0.1043741507029352,0.14650286386015349,0.14764677425918077,0.13714312378192789,0.18767815569608881,-0.014200206900315654,0.004177192181867349,0.1643060880076235
NR3C1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/NR3C1_conf.txt,https://github.com/dockstring/dockstring,False,0.4203403125488322,0.39858401110991404,0.41696800741653328,0.20522077091732521,0.23163267293131357,0.12113501465713221,0.36135595286122696,0.41425504168088456,0.39281370643337898,0.41093155744338666,0.20224978778418626,0.22827932443112678,0.11938134185018297,0.35612459915267586
IGF1R,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/IGF1R_conf.txt,https://github.com/dockstring/dockstring,False,0.014035415172093941,0.015306861030962281,0.015269077516231393,-0.01717740341473856,0.030295961336894866,-0.0052742433633859512,0.024462851070300592,0.027279215021407677,0.029750395570530924,0.029676959579506033,-0.033385979361108382,0.058883191801308875,-0.010251012671937424,0.047545966129325754
