dataset,calibration_ligands,repetition,panel_targets_k,reference_scope,cluster_adjusted_rand_index,sample_vs_fixed_full_source_panel_medoid_overlap,sample_vs_fixed_full_source_panel_medoid_jaccard,fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_mean_nearest_distance_on_reference_map,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_maximum_nearest_distance_on_reference_map,random_panels_on_reference_map,fraction_random_panels_with_mean_coverage_no_worse_than_sample,random_mean_nearest_distance_median,random_mean_nearest_distance_q025,random_mean_nearest_distance_q975
DOCKSTRING-58,500,16,6,full_source_map_including_calibration_rows,0.91344574284261337,4,0.5,0.56629741220678864,0.56882783208588572,0.0025304198790970789,0.91991643054856909,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,16,6,row_disjoint_complement_map,0.91344574284261337,4,0.5,0.56629880862452253,0.56883355401337787,0.0025347453888553417,0.91984699079861709,200,0,0.6294037703907307,0.59719588935706136,0.67914118183564609
DOCKSTRING-58,500,16,8,full_source_map_including_calibration_rows,0.87254718900404937,5,0.45454545454545453,0.53608801513880355,0.53927113011742367,0.0031831149786201163,0.90010195828734063,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,16,8,row_disjoint_complement_map,0.87254718900404937,5,0.45454545454545453,0.53609011048046118,0.53927455959247328,0.0031844491120120999,0.9001772162506243,200,0,0.59139421994773556,0.56337651861241411,0.62760022296529372
DOCKSTRING-58,500,16,10,full_source_map_including_calibration_rows,0.86829493845979022,7,0.53846153846153844,0.50753775223979436,0.51023238957912542,0.002694637339331063,0.84255227707466229,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,16,10,row_disjoint_complement_map,0.86829493845979022,7,0.53846153846153844,0.50753582956427434,0.51024042987842377,0.0027046003141494301,0.84268821143046835,200,0,0.55385591179572569,0.53463337983239456,0.58762557243608804
DOCKSTRING-58,500,17,6,full_source_map_including_calibration_rows,0.75379957101257977,3,0.33333333333333331,0.56629741220678864,0.57455746918304818,0.0082600569762595333,0.86970296891965271,10000,0.00020000000000000001,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,17,6,row_disjoint_complement_map,0.75379957101257977,3,0.33333333333333331,0.56629756630627914,0.57457134269930621,0.0082737763930270658,0.86968119486018591,200,0,0.6294150718031466,0.5972046542039583,0.67915679988489874
DOCKSTRING-58,500,17,8,full_source_map_including_calibration_rows,0.7243591671154388,4,0.33333333333333331,0.53608801513880355,0.54517526689232898,0.0090872517535254271,0.86970296891965271,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,17,8,row_disjoint_complement_map,0.7243591671154388,4,0.33333333333333331,0.53609392817522561,0.545191744850275,0.0090978166750493861,0.86968119486018591,200,0,0.59139694840851287,0.56338050426860287,0.62758459250201581
DOCKSTRING-58,500,17,10,full_source_map_including_calibration_rows,0.58554377598955454,4,0.25,0.50753775223979436,0.51724921112200339,0.0097114588822090342,0.86970296891965271,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,17,10,row_disjoint_complement_map,0.58554377598955454,4,0.25,0.50754286417549255,0.51726522138181108,0.0097223572063185326,0.86968119486018591,200,0,0.55387234171828204,0.53463250084039782,0.58763569277393468
DOCKSTRING-58,500,18,6,full_source_map_including_calibration_rows,0.95518197728268595,4,0.5,0.56629741220678864,0.5680493928123771,0.0017519806055884546,0.90010195828734063,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,18,6,row_disjoint_complement_map,0.95518197728268595,4,0.5,0.56632939814908712,0.56808233585521462,0.0017529377061274998,0.90021143095876288,200,0,0.6294349313266886,0.59720697607025663,0.67918673458143597
DOCKSTRING-58,500,18,8,full_source_map_including_calibration_rows,0.63425989070442002,7,0.77777777777777779,0.53608801513880355,0.53723824951794197,0.0011502343791384151,0.83357233750752746,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,18,8,row_disjoint_complement_map,0.63425989070442002,7,0.77777777777777779,0.53611776392230126,0.53727189741308767,0.0011541334907864131,0.83354599673846397,200,0,0.59141481133297447,0.56340887446542942,0.62764834470426933
DOCKSTRING-58,500,18,10,full_source_map_including_calibration_rows,0.91895416002448826,9,0.81818181818181823,0.50753775223979436,0.50865406541333202,0.0011163131735376641,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,18,10,row_disjoint_complement_map,0.91895416002448826,9,0.81818181818181823,0.50757302597185316,0.50868755555772371,0.0011145295858705495,0.80556500619024063,200,0,0.5538706503195221,0.53465898354528507,0.58761685852926338
DOCKSTRING-58,500,19,6,full_source_map_including_calibration_rows,0.9524055488033113,3,0.33333333333333331,0.56629741220678864,0.56891342249098076,0.0026160102841921162,0.84255227707466229,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,19,6,row_disjoint_complement_map,0.9524055488033113,3,0.33333333333333331,0.56626783607099651,0.56889535466849861,0.0026275185975020987,0.84265721635442081,200,0,0.62940450220541422,0.59717037573492859,0.67918087835896135
DOCKSTRING-58,500,19,8,full_source_map_including_calibration_rows,0.70217616093250612,4,0.33333333333333331,0.53608801513880355,0.54144362695827464,0.0053556118194710844,0.84255227707466229,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,19,8,row_disjoint_complement_map,0.70217616093250612,4,0.33333333333333331,0.53605938984472357,0.54142678435199632,0.0053673945072727491,0.84265721635442081,200,0,0.59137645565348906,0.56336800854680147,0.62761255825238338
DOCKSTRING-58,500,19,10,full_source_map_including_calibration_rows,0.86010063706028994,4,0.25,0.50753775223979436,0.51886973229314093,0.011331980053346569,0.88694435278989781,10000,0.0001,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,19,10,row_disjoint_complement_map,0.86010063706028994,4,0.25,0.5075114988913132,0.51886266633399469,0.011351167442681498,0.88694212159448349,200,0,0.55384741258865133,0.53461091735386379,0.5876255537100411
DOCKSTRING-58,500,20,6,full_source_map_including_calibration_rows,0.58957205596976814,5,0.7142857142857143,0.56629741220678864,0.56746764253252613,0.0011702303257374869,0.91991643054856909,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,20,6,row_disjoint_complement_map,0.58957205596976814,5,0.7142857142857143,0.56630082675653792,0.5674702506096736,0.001169423853135676,0.91992656096845682,200,0,0.6294094012308904,0.59719507161658858,0.67918330362954471
DOCKSTRING-58,500,20,8,full_source_map_including_calibration_rows,0.65917359248347329,8,1,0.53608801513880355,0.53608801513880355,0,0.84255227707466229,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,20,8,row_disjoint_complement_map,0.65917359248347329,8,1,0.53609064371868886,0.53609064371868886,0,0.84256170650407236,200,0,0.5913948359218224,0.56338889593501651,0.62762253882844377
DOCKSTRING-58,500,20,10,full_source_map_including_calibration_rows,0.53924458038644363,9,0.81818181818181823,0.50753775223979436,0.50793857529703568,0.00040082305724131739,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,20,10,row_disjoint_complement_map,0.53924458038644363,9,0.81818181818181823,0.50753860458408928,0.50794393858456177,0.00040533400047249035,0.80585332481871608,200,0,0.55384328479331668,0.53464286513627179,0.58760461202386105
DOCKSTRING-58,500,21,6,full_source_map_including_calibration_rows,0.76266835225861795,4,0.5,0.56629741220678864,0.57386100789913641,0.0075635956923477687,0.90010195828734063,10000,0.00020000000000000001,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,21,6,row_disjoint_complement_map,0.76266835225861795,4,0.5,0.56630902751449252,0.57388577165240551,0.007576744137912983,0.90014810613373619,200,0,0.62939486110578735,0.59719271891404468,0.67915978642290231
DOCKSTRING-58,500,21,8,full_source_map_including_calibration_rows,0.54262031796062482,6,0.59999999999999998,0.53608801513880355,0.54030783961023865,0.0042198244714350963,0.90010195828734063,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,21,8,row_disjoint_complement_map,0.54262031796062482,6,0.59999999999999998,0.53610113835640716,0.54033028635717173,0.004229148000764571,0.90014810613373619,200,0,0.59138915451009377,0.56340039598918978,0.62760708335770854
DOCKSTRING-58,500,21,10,full_source_map_including_calibration_rows,0.71952943838018213,9,0.81818181818181823,0.50753775223979436,0.50949669631580352,0.0019589440760091614,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
