dataset,calibration_ligands,repetition,reference_scope,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr,reference_abs_top10pct_edges,reference_abs_top10pct_sign_agreement,top_positive_10_intersection,top_positive_10_precision,top_positive_10_recall,top_positive_10_jaccard,top_negative_10_intersection,top_negative_10_precision,top_negative_10_recall,top_negative_10_jaccard,top_positive_25_intersection,top_positive_25_precision,top_positive_25_recall,top_positive_25_jaccard,top_negative_25_intersection,top_negative_25_precision,top_negative_25_recall,top_negative_25_jaccard
Docking-44,200,21,full_source_map_including_calibration_rows,0.9379916684305083,0.062008331569491704,0.10212631866348647,0.87843551797040165,9.3029119427164524,8.7592858816293617,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,21,row_disjoint_complement_map,0.93633497903039398,0.063665020969606023,0.10349476952938341,0.87632135306553915,9.2976950765298607,8.7592858816293617,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,22,full_source_map_including_calibration_rows,0.93979724697536138,0.060202753024638622,0.12588103981430146,0.88900634249471455,9.3029119427164524,7.0462002569781399,95,0.97894736842105268,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,4,0.40000000000000002,0.40000000000000002,0.25,13,0.52000000000000002,0.52000000000000002,0.35135135135135137,17,0.68000000000000005,0.68000000000000005,0.51515151515151514
Docking-44,200,22,row_disjoint_complement_map,0.93767452774844517,0.062325472251554825,0.12797776445210826,0.88372093023255816,9.3268373472891675,7.0462002569781399,95,0.97894736842105268,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,4,0.40000000000000002,0.40000000000000002,0.25,13,0.52000000000000002,0.52000000000000002,0.35135135135135137,17,0.68000000000000005,0.68000000000000005,0.51515151515151514
Docking-44,200,23,full_source_map_including_calibration_rows,0.94800420827286558,0.051995791727134422,0.096876282047421755,0.89112050739957716,9.3029119427164524,8.6391142195590174,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,20,0.80000000000000004,0.80000000000000004,0.66666666666666663,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,23,row_disjoint_complement_map,0.9463701272301257,0.053629872769874298,0.09842898346718304,0.88794926004228325,9.2987901995029354,8.6391142195590174,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,20,0.80000000000000004,0.80000000000000004,0.66666666666666663,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,24,full_source_map_including_calibration_rows,0.92967556333878365,0.07032443666121635,0.11325631185195535,0.86363636363636365,9.3029119427164524,8.5392064440777968,95,1,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,5,0.5,0.5,0.33333333333333331,18,0.71999999999999997,0.71999999999999997,0.5625,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,24,row_disjoint_complement_map,0.92815407049831533,0.071845929501684669,0.11455522043524993,0.86257928118393234,9.3016730120991582,8.5392064440777968,95,1,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,5,0.5,0.5,0.33333333333333331,18,0.71999999999999997,0.71999999999999997,0.5625,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,25,full_source_map_including_calibration_rows,0.91786745216179633,0.082132547838203673,0.11353218320863374,0.85412262156448204,9.3029119427164524,9.1680619963001071,95,1,4,0.40000000000000002,0.40000000000000002,0.25,4,0.40000000000000002,0.40000000000000002,0.25,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,25,row_disjoint_complement_map,0.91589251646715841,0.084107483532841587,0.11506276746935067,0.85306553911205074,9.2882550381527249,9.1680619963001071,95,1,4,0.40000000000000002,0.40000000000000002,0.25,4,0.40000000000000002,0.40000000000000002,0.25,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,26,full_source_map_including_calibration_rows,0.95272779576701372,0.047272204232986281,0.089658903556523575,0.89852008456659616,9.3029119427164524,9.2579112115624884,95,1,8,0.80000000000000004,0.80000000000000004,0.66666666666666663,4,0.40000000000000002,0.40000000000000002,0.25,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,17,0.68000000000000005,0.68000000000000005,0.51515151515151514
Docking-44,200,26,row_disjoint_complement_map,0.95108839927974986,0.048911600720250137,0.091252359739596778,0.89746300211416485,9.2898662031169668,9.2579112115624884,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,4,0.40000000000000002,0.40000000000000002,0.25,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,27,full_source_map_including_calibration_rows,0.95857754877425316,0.041422451225746837,0.085149414357034006,0.91331923890063427,9.3029119427164524,8.714998759560574,95,1,10,1,1,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,19,0.76000000000000001,0.76000000000000001,0.61290322580645162,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,27,row_disjoint_complement_map,0.95726134548854991,0.042738654511450092,0.086590797202471731,0.91226215644820297,9.3015831655492178,8.714998759560574,95,1,10,1,1,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,19,0.76000000000000001,0.76000000000000001,0.61290322580645162,18,0.71999999999999997,0.71999999999999997,0.5625
