dataset,transformation,tail_fraction_per_side,ligands_per_support,repetition,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,raw,0.25,3162,2,0.99439997366374411,0.0056000263362558922,0.023889996360499714,0.9989429175475687,1.8333841481568713,1.890864417331138
Docking-44,row_centered_residual,0.25,3162,2,0.99035253906205001,0.009647460937949992,0.041445216108004043,0.96511627906976749,9.3409736756206048,9.0341428168277389
Docking-44,raw,0.29999999999999999,3795,2,0.99558731639967368,0.004412683600326317,0.017171764570871842,0.9978858350951374,1.8426855446082462,1.8537735302055174
Docking-44,row_centered_residual,0.29999999999999999,3795,2,0.99238934653094413,0.0076106534690558725,0.038046310228831669,0.96723044397462998,9.4068355776020507,8.8861407879874879
Docking-44,raw,0.34999999999999998,4427,2,0.99738834492401429,0.0026116550759857082,0.01406108728601475,0.9989429175475687,1.8535251461988838,1.8406737483648381
Docking-44,row_centered_residual,0.34999999999999998,4427,2,0.99459515678665489,0.0054048432133451119,0.030475885490228522,0.97885835095137419,9.3171015043525873,9.3322048189154927
Docking-44,raw,0.40000000000000002,5060,2,0.99717744225983196,0.0028225577401680413,0.017612463774997842,0.9978858350951374,1.8632983134627248,1.8144016740936633
Docking-44,row_centered_residual,0.40000000000000002,5060,2,0.99481165838573549,0.0051883416142645133,0.030226309730133488,0.97463002114164909,9.3539586542567417,9.2655176597330886
Docking-44,raw,0.10000000000000001,1265,3,0.9874729855820692,0.012527014417930804,0.024731056053723412,0.9978858350951374,1.8274038475431089,1.8640075232941766
Docking-44,row_centered_residual,0.10000000000000001,1265,3,0.9787695617660499,0.0212304382339501,0.060050194791421152,0.93763213530655387,9.1823061476090793,9.447340227807695
Docking-44,raw,0.14999999999999999,1897,3,0.99161781330195642,0.0083821866980435811,0.038994447486845794,0.9978858350951374,1.8807347956405416,1.7693759205934911
Docking-44,row_centered_residual,0.14999999999999999,1897,3,0.98687912994536076,0.013120870054639244,0.04640283251124383,0.95348837209302328,9.1911259406562866,9.3870505516558111
Docking-44,raw,0.20000000000000001,2530,3,0.99200883157563957,0.0079911684243604286,0.020873217038841894,1,1.8462758943720197,1.7999344413254883
Docking-44,row_centered_residual,0.20000000000000001,2530,3,0.98570246062203526,0.014297539377964741,0.050920259319837381,0.94820295983086678,9.3901895097694812,9.0835272780307506
Docking-44,raw,0.25,3162,3,0.99433771917748226,0.0056622808225177401,0.015818449176306398,1,1.8397024961023059,1.8370010985213192
Docking-44,row_centered_residual,0.25,3162,3,0.99140306934319833,0.0085969306568016712,0.041512349454455158,0.96088794926004228,9.4431053998762735,8.9702917148472157
Docking-44,raw,0.29999999999999999,3795,3,0.99684030133184121,0.0031596986681587946,0.01615461305423414,0.9989429175475687,1.8261863641248972,1.8696790537761305
Docking-44,row_centered_residual,0.29999999999999999,3795,3,0.99446650885466226,0.0055334911453377433,0.03077489851453024,0.96617336152219868,9.3259037356835677,9.4212211619698145
Docking-44,raw,0.34999999999999998,4427,3,0.99765807184092581,0.0023419281590741914,0.017204650314174643,0.9989429175475687,1.8213388449904664,1.8688646049278821
Docking-44,row_centered_residual,0.34999999999999998,4427,3,0.9950822641228082,0.0049177358771917978,0.028373787739079653,0.96723044397462998,9.3487183497022812,9.3859668087551658
Docking-44,raw,0.40000000000000002,5060,3,0.99788170322292769,0.0021182967770723149,0.016545274396978154,0.9968287526427061,1.8233794418610632,1.8704558764434731
Docking-44,row_centered_residual,0.40000000000000002,5060,3,0.99617445331450361,0.0038255466854963949,0.025240638141793816,0.97040169133192389,9.2996997842214135,9.2989345904460201
Docking-44,raw,0.10000000000000001,1265,4,0.99066633455769271,0.0093336654423072929,0.029346684321311507,0.99577167019027479,1.8876405639405478,1.850676079399844
Docking-44,row_centered_residual,0.10000000000000001,1265,4,0.98253782922135835,0.01746217077864165,0.059723902855490084,0.94926004228329808,8.5052145924566016,9.4844851546255118
Docking-44,raw,0.14999999999999999,1897,4,0.99397130786831422,0.0060286921316857756,0.030687106153163723,1,1.8777687381446648,1.7934839220095424
Docking-44,row_centered_residual,0.14999999999999999,1897,4,0.98818577960544007,0.011814220394559927,0.048101827004965819,0.94926004228329808,8.7066727309619036,9.4353349919277125
Docking-44,raw,0.20000000000000001,2530,4,0.99633006118112066,0.0036699388188793369,0.021113723735785357,1,1.8710735754028605,1.8153654763924072
Docking-44,row_centered_residual,0.20000000000000001,2530,4,0.99124571801077754,0.0087542819892224566,0.040097622851140685,0.95454545454545459,9.0323278272688654,9.3859524137413608
Docking-44,raw,0.25,3162,4,0.99674769920097872,0.0032523007990212793,0.014947686338013343,0.9978858350951374,1.8391845071761206,1.8689016143461681
Docking-44,row_centered_residual,0.25,3162,4,0.99251568401638368,0.0074843159836163187,0.037503631206815068,0.95877378435517968,9.0540400624792223,9.4529938865713348
Docking-44,raw,0.29999999999999999,3795,4,0.99583235130495751,0.0041676486950424918,0.016561152566059494,0.9978858350951374,1.8355924163299342,1.8710083153458248
Docking-44,row_centered_residual,0.29999999999999999,3795,4,0.99223203772207957,0.007767962277920426,0.039204189211317957,0.95877378435517968,9.0881727776891594,9.6129546228338629
Docking-44,raw,0.34999999999999998,4427,4,0.99691867224589881,0.003081327754101193,0.020117939281790179,0.9989429175475687,1.8517817154182248,1.8263602769673879
