dataset,transformation,first_mw_decile,second_mw_decile,decile_separation,first_median_molecular_weight,second_median_molecular_weight,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
DOCKSTRING-58,raw,3,6,3,325.36800000000005,396.47950000000014,71.111500000000092,0.85714366216063764,0.14285633783936236,0.096716556153337532,0.999395039322444,2.4645510389581964,2.7611795267639589
DOCKSTRING-58,raw,3,7,4,325.36800000000005,421.50950000000012,96.141500000000065,0.78582409492183036,0.21417590507816964,0.11365296741821554,0.999395039322444,2.4645510389581964,2.834574832742589
DOCKSTRING-58,raw,3,8,5,325.36800000000005,449.49250000000023,124.12450000000018,0.72533410775158202,0.27466589224841798,0.14089516194544757,0.99758015728977611,2.4645510389581964,3.0733614137718459
DOCKSTRING-58,raw,3,9,6,325.36800000000005,486.47550000000024,161.10750000000019,0.60868136169326137,0.39131863830673863,0.16023416771023319,0.98729582577132491,2.4645510389581964,2.9388869759875029
DOCKSTRING-58,raw,3,10,7,325.36800000000005,562.74000000000024,237.37200000000018,0.47450783670462465,0.52549216329537529,0.17994450595868661,0.97761645493042948,2.4645510389581964,3.0285404871328705
DOCKSTRING-58,raw,4,5,1,349.76650000000006,373.46900000000011,23.702500000000043,0.97155559207567277,0.028444407924327231,0.038984096759645842,1,2.5978350137382251,2.725697781024234
DOCKSTRING-58,raw,4,6,2,349.76650000000006,396.47950000000014,46.713000000000079,0.92489210410451672,0.075107895895483279,0.068978239983594244,0.999395039322444,2.5978350137382251,2.7611795267639589
DOCKSTRING-58,raw,4,7,3,349.76650000000006,421.50950000000012,71.743000000000052,0.87102888514851717,0.12897111485148283,0.089677885271163979,0.999395039322444,2.5978350137382251,2.834574832742589
DOCKSTRING-58,raw,4,8,4,349.76650000000006,449.49250000000023,99.72600000000017,0.81449918162104973,0.18550081837895027,0.12077251555613283,0.99758015728977611,2.5978350137382251,3.0733614137718459
DOCKSTRING-58,raw,4,9,5,349.76650000000006,486.47550000000024,136.70900000000017,0.70478570477162628,0.29521429522837372,0.14679067708777813,0.98729582577132491,2.5978350137382251,2.9388869759875029
DOCKSTRING-58,raw,4,10,6,349.76650000000006,562.74000000000024,212.97350000000017,0.5500983261469865,0.4499016738530135,0.16821590803217448,0.97761645493042948,2.5978350137382251,3.0285404871328705
DOCKSTRING-58,raw,5,6,1,373.46900000000011,396.47950000000014,23.010500000000036,0.97205163978110076,0.027948360218899237,0.042883164593560577,0.999395039322444,2.725697781024234,2.7611795267639589
DOCKSTRING-58,raw,5,7,2,373.46900000000011,421.50950000000012,48.040500000000009,0.93545053930638522,0.06454946069361478,0.065572559919100201,0.999395039322444,2.725697781024234,2.834574832742589
DOCKSTRING-58,raw,5,8,3,373.46900000000011,449.49250000000023,76.023500000000126,0.88089304697959969,0.11910695302040031,0.09870665142201196,0.99758015728977611,2.725697781024234,3.0733614137718459
DOCKSTRING-58,raw,5,9,4,373.46900000000011,486.47550000000024,113.00650000000013,0.77812286442797585,0.22187713557202415,0.12899956674078017,0.98729582577132491,2.725697781024234,2.9388869759875029
DOCKSTRING-58,raw,5,10,5,373.46900000000011,562.74000000000024,189.27100000000013,0.61445840574353139,0.38554159425646861,0.15252220653773213,0.97761645493042948,2.725697781024234,3.0285404871328705
DOCKSTRING-58,raw,6,7,1,396.47950000000014,421.50950000000012,25.029999999999973,0.97597618116579232,0.024023818834207677,0.033528370255414372,1,2.7611795267639589,2.834574832742589
DOCKSTRING-58,raw,6,8,2,396.47950000000014,449.49250000000023,53.01300000000009,0.93340381746658074,0.066596182533419257,0.068693371063295705,0.99818511796733211,2.7611795267639589,3.0733614137718459
DOCKSTRING-58,raw,6,9,3,396.47950000000014,486.47550000000024,89.996000000000095,0.8454333740424359,0.1545666259575641,0.098318779684849852,0.9879007864488808,2.7611795267639589,2.9388869759875029
DOCKSTRING-58,raw,6,10,4,396.47950000000014,562.74000000000024,166.26050000000009,0.67080454396244882,0.32919545603755118,0.12725182680678129,0.97822141560798548,2.7611795267639589,3.0285404871328705
DOCKSTRING-58,raw,7,8,1,421.50950000000012,449.49250000000023,27.983000000000118,0.96448871559285587,0.035511284407144128,0.048054985171765117,0.99818511796733211,2.834574832742589,3.0733614137718459
DOCKSTRING-58,raw,7,9,2,421.50950000000012,486.47550000000024,64.966000000000122,0.90015172911363162,0.099848270886368384,0.077199488233490959,0.9879007864488808,2.834574832742589,2.9388869759875029
DOCKSTRING-58,raw,7,10,3,421.50950000000012,562.74000000000024,141.23050000000012,0.73225079661025982,0.26774920338974018,0.10872816210101566,0.97822141560798548,2.834574832742589,3.0285404871328705
