dataset,transformation,first_mw_quintile,second_mw_quintile,first_median_molecular_weight,second_median_molecular_weight,median_molecular_weight_separation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,row_centered_residual,2,5,231.3415,439.5520000000003,208.2105000000003,0.22334618359765085,0.7766538164023491,0.4249471458773784,0.10465116279069768,17.88749320113486,10.4383654841691,0.0013846358607598546,-0.0011382394638016896,0.1465481536448692,0.229967678180449
Docking-44,row_centered_residual,3,4,282.44,332.46299999999997,50.02299999999997,0.8318777909848856,0.16812220901511443,0.20190274841437633,0.4393939393939394,17.067114128226844,13.993909086068903,0.001686700293087328,0.004237898867119603,0.15609000269909826,0.18029816788160727
Docking-44,row_centered_residual,3,5,282.44,439.5520000000003,157.1120000000003,0.36344878514275136,0.6365512148572486,0.379492600422833,0.1728395061728395,17.067114128226844,10.4383654841691,0.001686700293087328,-0.0011382394638016896,0.15609000269909826,0.229967678180449
Docking-44,row_centered_residual,4,5,332.46299999999997,439.5520000000003,107.08900000000034,0.5973288119453488,0.4026711880546512,0.2769556025369979,0.2582781456953642,13.993909086068903,10.4383654841691,0.004237898867119603,-0.0011382394638016896,0.18029816788160727,0.229967678180449
Docking-44,group_heldout_descriptor_adjusted_residual,1,2,168.148,231.3415,63.1935,0.7451477238221178,0.2548522761778822,0.2040169133192389,0.3380281690140845,10.806560678267044,20.634527178573695,-0.014293606615875616,-0.00612139237121156,0.22381612170722245,0.13216268691594704
Docking-44,group_heldout_descriptor_adjusted_residual,1,3,168.148,282.44,114.292,0.581928920245759,0.41807107975424096,0.28012684989429176,0.2751677852348993,10.806560678267044,21.958952918297214,-0.014293606615875616,-0.006552514347522463,0.22381612170722245,0.1241383091309325
Docking-44,group_heldout_descriptor_adjusted_residual,1,4,168.148,332.46299999999997,164.31499999999997,0.5676075109782532,0.43239248902174676,0.2928118393234672,0.2751677852348993,10.806560678267044,18.57285071043002,-0.014293606615875616,-0.004294672387517509,0.22381612170722245,0.1449504724266882
Docking-44,group_heldout_descriptor_adjusted_residual,1,5,168.148,439.5520000000003,271.40400000000034,0.4463045027520359,0.5536954972479641,0.3276955602536998,0.1949685534591195,10.806560678267044,12.079210105906089,-0.014293606615875616,0.0005482557334706874,0.22381612170722245,0.20957431385866776
Docking-44,group_heldout_descriptor_adjusted_residual,2,3,231.3415,282.44,51.0985,0.8338495941108842,0.16615040588911578,0.17547568710359407,0.46153846153846156,20.634527178573695,21.958952918297214,-0.00612139237121156,-0.006552514347522463,0.13216268691594704,0.1241383091309325
Docking-44,group_heldout_descriptor_adjusted_residual,2,4,231.3415,332.46299999999997,101.12149999999997,0.6644946413763484,0.3355053586236516,0.2536997885835095,0.2925170068027211,20.634527178573695,18.57285071043002,-0.00612139237121156,-0.004294672387517509,0.13216268691594704,0.1449504724266882
Docking-44,group_heldout_descriptor_adjusted_residual,2,5,231.3415,439.5520000000003,208.2105000000003,0.5079107740977538,0.49208922590224624,0.3097251585623679,0.22580645161290322,20.634527178573695,12.079210105906089,-0.00612139237121156,0.0005482557334706874,0.13216268691594704,0.20957431385866776
Docking-44,group_heldout_descriptor_adjusted_residual,3,4,282.44,332.46299999999997,50.02299999999997,0.8493791968313713,0.1506208031686287,0.1649048625792812,0.5573770491803278,21.958952918297214,18.57285071043002,-0.006552514347522463,-0.004294672387517509,0.1241383091309325,0.1449504724266882
Docking-44,group_heldout_descriptor_adjusted_residual,3,5,282.44,439.5520000000003,157.1120000000003,0.5112719068515832,0.4887280931484168,0.3266384778012685,0.21794871794871795,21.958952918297214,12.079210105906089,-0.006552514347522463,0.0005482557334706874,0.1241383091309325,0.20957431385866776
Docking-44,group_heldout_descriptor_adjusted_residual,4,5,332.46299999999997,439.5520000000003,107.08900000000034,0.5968417187837142,0.40315828121628583,0.27801268498942916,0.25,18.57285071043002,12.079210105906089,-0.004294672387517509,0.0005482557334706874,0.1449504724266882,0.20957431385866776
