dataset,transformation,repetition,chemical_groups_in_extremes,weighted_low_ligand_rows,weighted_high_ligand_rows,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,raw,183,4538,3133,3386,0.22232132336992233,0.7776786766300776,0.035940803382663845,0.04395604395604396,1.1835590168258237,3.0914981393896945,0.9137254800001335,0.48924075227030817,0.9137254800001335,0.49505053205435584
Docking-44,row_centered_residual,183,4538,3133,3386,0.2022782562209393,0.7977217437790607,0.4260042283298097,0.09195402298850575,13.280038425936974,10.11927752258657,-0.012430919577262538,0.0001880376600473287,0.17838298756502755,0.23661162014381742
Docking-44,group_heldout_descriptor_adjusted_residual,183,4538,3133,3386,0.4941744322653436,0.5058255677346564,0.30655391120507397,0.20253164556962025,10.669555829909507,12.254247902074699,-0.013936593202632868,0.001636893915827538,0.2256487620583533,0.2071887747647447
Docking-44,raw,184,4538,3157,3101,0.21002382275926637,0.7899761772407337,0.0200845665961945,0.049723756906077346,1.1714807998502685,3.0045784808221825,0.918580887512748,0.49806075382317794,0.918580887512748,0.5015639558876659
Docking-44,row_centered_residual,184,4538,3157,3101,0.1905064743354569,0.8094935256645431,0.4365750528541226,0.07344632768361582,13.05885582806028,10.005213365546318,-0.012246231087027349,0.0022349366279592656,0.180283456008245,0.2358062517283872
Docking-44,group_heldout_descriptor_adjusted_residual,184,4538,3157,3101,0.5024828831169539,0.4975171168830461,0.29915433403805497,0.21794871794871795,10.392832355590736,12.69544997392472,-0.014046578839120786,0.001977041287224297,0.22936915667826663,0.2019962224855869
Docking-44,raw,185,4538,3166,3249,0.2307456792611872,0.7692543207388128,0.02536997885835095,0.049723756906077346,1.1828021918115523,2.8791238498553375,0.9136183877420412,0.5146917121645594,0.9136183877420412,0.5200699304349833
Docking-44,row_centered_residual,185,4538,3166,3249,0.21213891609510574,0.7878610839048943,0.4249471458773784,0.07954545454545454,13.291742272896041,9.885834602079017,-0.011129186815814221,0.001812197172254629,0.17818977147317186,0.2390321394677613
Docking-44,group_heldout_descriptor_adjusted_residual,185,4538,3166,3249,0.4729640084518403,0.5270359915481597,0.3023255813953488,0.1875,10.670765414991166,12.824610566580352,-0.012956391687471801,0.0011505020712030097,0.22529553662971621,0.2013990581637676
Docking-44,raw,186,4538,3151,3205,0.22654421016445522,0.7734557898355447,0.023255813953488372,0.05555555555555555,1.183858440192442,3.0187854401482475,0.9132684319401063,0.4988572907530351,0.9132684319401063,0.5024123973698656
