dataset,repetition,first_ligands,second_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,3,7494,7506,5823,6082,0,385.5295000000001,384.4905000000001,1.0389999999999873,0.015085769654892578,row_centered_residual,0.9954494071803898,0.004550592819610233,0.02601330913490623,0.8971428571428571,17.87097885690643,17.930865754056644,-0.0023007188116639403,-0.002254219203926573,0.15667286531704233,0.15672540027059426
DOCKSTRING-58,3,7494,7506,5823,6082,0,385.5295000000001,384.4905000000001,1.0389999999999873,0.015085769654892578,group_heldout_descriptor_adjusted_residual,0.988875863128507,0.011124136871493051,0.05263157894736842,0.8971428571428571,28.38276527548162,28.414140648886008,-0.012150903876547988,-0.012258441754183438,0.10749826321540423,0.10784419977601331
DOCKSTRING-58,4,7501,7499,5871,6034,0,385.5480000000002,384.48400000000026,1.0639999999999077,0.01776716476030515,raw,0.9975787562577313,0.0024212437422687083,0.0054446460980036296,0.8547486033519553,2.226822913727465,2.2701180019263005,0.6222229427710964,0.6131921859698268,0.6281644825904936,0.6204887527012091
DOCKSTRING-58,4,7501,7499,5871,6034,0,385.5480000000002,384.48400000000026,1.0639999999999077,0.01776716476030515,row_centered_residual,0.9942159658448436,0.005784034155156381,0.027828191167574106,0.9190751445086706,18.01385038257539,17.780820753993325,-0.002612560275277247,-0.0019368763738934118,0.15556801985807864,0.15787242842540453
DOCKSTRING-58,4,7501,7499,5871,6034,0,385.5480000000002,384.48400000000026,1.0639999999999077,0.01776716476030515,group_heldout_descriptor_adjusted_residual,0.9874035998514112,0.01259640014858876,0.049606775559588624,0.8547486033519553,28.59598225040457,28.1923270373529,-0.012263108892303426,-0.012143913870673727,0.10679112296191663,0.10862490819835414
DOCKSTRING-58,5,7508,7492,5897,6008,0,386.0665,384.46850000000006,1.5979999999999563,0.010949772458407775,raw,0.9978880318676091,0.0021119681323908956,0.004234724742891712,0.8444444444444444,2.227202587346888,2.2691225182393637,0.6200601137415485,0.6155024237499471,0.6271840181199538,0.6215535525276852
DOCKSTRING-58,5,7508,7492,5897,6008,0,386.0665,384.46850000000006,1.5979999999999563,0.010949772458407775,row_centered_residual,0.9944235329046448,0.005576467095355198,0.025408348457350273,0.8971428571428571,17.84104843065556,17.951702855334354,-0.002106767500531194,-0.002450799840622983,0.1572943695096586,0.15610385564997514
DOCKSTRING-58,5,7508,7492,5897,6008,0,386.0665,384.46850000000006,1.5979999999999563,0.010949772458407775,group_heldout_descriptor_adjusted_residual,0.9868140213012806,0.013185978698719403,0.049606775559588624,0.8651685393258427,28.287209303306426,28.473157688751062,-0.012055029627212365,-0.012358228433699854,0.1079405820804728,0.10741769168056467
DOCKSTRING-58,6,7443,7557,6020,5885,0,385.4240000000003,384.56700000000006,0.8570000000002551,0.007186121737058199,raw,0.9981315245063804,0.0018684754936195702,0.004234724742891712,0.8547486033519553,2.2751842361474006,2.222400584570602,0.6131853158281533,0.6221683414576885,0.6197181009361085,0.6288460146541063
DOCKSTRING-58,6,7443,7557,6020,5885,0,385.4240000000003,384.56700000000006,0.8570000000002551,0.007186121737058199,row_centered_residual,0.9951818596538802,0.004818140346119826,0.030852994555353903,0.8757062146892656,17.77427451682411,18.023971231463918,-0.002195546072414922,-0.002362653899028474,0.15769780713612688,0.15572823863909535
DOCKSTRING-58,6,7443,7557,6020,5885,0,385.4240000000003,384.56700000000006,0.8570000000002551,0.007186121737058199,group_heldout_descriptor_adjusted_residual,0.9881981152052284,0.011801884794771622,0.050816696914700546,0.8651685393258427,28.43477659060155,28.349536598745598,-0.012270258450163989,-0.012142149111750072,0.10787121577672783,0.1073983931244276
DOCKSTRING-58,7,7501,7499,6101,5804,0,384.4390000000001,385.826,1.3869999999999436,0.012103591326286068,raw,0.9974347882594145,0.002565211740585549,0.009679370840895343,0.8342541436464088,2.30977061231018,2.1911333687342505,0.605254881533184,0.6295671849492092,0.6135923347047155,0.6346933472911788
DOCKSTRING-58,7,7501,7499,6101,5804,0,384.4390000000001,385.826,1.3869999999999436,0.012103591326286068,row_centered_residual,0.9943288224299272,0.0056711775700728495,0.025408348457350273,0.9080459770114943,17.915990427386628,17.874318002990773,-0.001881887739763193,-0.00267107375464369,0.15684447629518566,0.15658656890862907
DOCKSTRING-58,7,7501,7499,6101,5804,0,384.4390000000001,385.826,1.3869999999999436,0.012103591326286068,group_heldout_descriptor_adjusted_residual,0.9877045436601021,0.012295456339897926,0.056866303690260134,0.8651685393258427,28.69805047172234,28.094684275514265,-0.012392519605916063,-0.012015706014178375,0.10657945696740903,0.1087998414878811
DOCKSTRING-58,8,7507,7493,6034,5871,0,384.4580000000001,385.8950000000002,1.4370000000001255,0.018169295827475476,raw,0.9979602974901495,0.0020397025098505273,0.0018148820326678765,0.9080459770114943,2.284519329174947,2.2125386339763384,0.6118995435939603,0.6236269844159251,0.6186653483138059,0.6300128306456855
DOCKSTRING-58,8,7507,7493,6034,5871,0,384.4580000000001,385.8950000000002,1.4370000000001255,0.018169295827475476,row_centered_residual,0.9949495708434271,0.005050429156572944,0.025408348457350273,0.9302325581395349,17.78209430515466,18.02345882343069,-0.002370541533920323,-0.0021883833959465337,0.1575917502654581,0.1557396906532054
DOCKSTRING-58,8,7507,7493,6034,5871,0,384.4580000000001,385.8950000000002,1.4370000000001255,0.018169295827475476,group_heldout_descriptor_adjusted_residual,0.9891915177736686,0.01080848222633135,0.050816696914700546,0.8757062146892656,28.34177773282454,28.463161395529255,-0.012214381658681703,-0.012197848957691814,0.10811403132602977,0.10712898599864105
