dataset,transformation,repetition,first_ligands,second_ligands,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,raw,260,3163,3163,0.9958756828087147,0.004124317191285254,0.0010570824524312897,0.7117117117117117,1.823789134218287,1.8092454151204127,0.6889233102808705,0.6902991012310016,0.6972676070395438,0.7001392689061904
Docking-44,row_centered_residual,260,3163,3163,0.992278416747364,0.007721583252636055,0.046511627906976744,0.8095238095238095,9.216636794352825,9.296517745295578,0.002102166051714044,0.0038585374480696473,0.24785008838070308,0.24467455130411958
Docking-44,group_heldout_descriptor_adjusted_residual,260,3163,3163,0.9830667230387276,0.016933276961272448,0.048625792811839326,0.6379310344827587,14.506500573174014,14.750979477233843,-0.004598871326595874,-0.004878802869569329,0.1823259049173979,0.1794915610703554
Docking-44,raw,261,3163,3163,0.9946315427762346,0.005368457223765444,0.003171247357293869,0.8446601941747572,1.8171024157092681,1.8560077652854086,0.6861131220434259,0.6804848802255563,0.695998699469764,0.6902044603219458
Docking-44,row_centered_residual,261,3163,3163,0.986321844566976,0.013678155433023975,0.05179704016913319,0.7924528301886793,8.76170068883864,9.793531118120322,0.005712397280102055,0.0014874198122904476,0.25439818408341247,0.23842442675144124
Docking-44,group_heldout_descriptor_adjusted_residual,261,3163,3163,0.9768198000166761,0.02318019998332388,0.05391120507399577,0.6521739130434783,14.66193586650913,15.171706985014128,-0.0033555848013299017,-0.005702009694594596,0.18111564528213728,0.17538582560989918
Docking-44,raw,262,3163,3163,0.9961258630642977,0.003874136935702266,0.004228329809725159,0.7592592592592593,1.8466609259491182,1.8485848476725772,0.6817283194880729,0.6809784445316382,0.693312920391495,0.688988756724529
Docking-44,row_centered_residual,262,3163,3163,0.9943772235611825,0.005622776438817478,0.03276955602536998,0.8627450980392157,9.14756773783323,9.160428466413212,0.0025057721436578632,0.0031985313188939543,0.250387469409469,0.24844585805138866
Docking-44,group_heldout_descriptor_adjusted_residual,262,3163,3163,0.9862259397732495,0.01377406022675054,0.042283298097251586,0.6964285714285714,14.318088553540909,14.234977538122944,-0.0037542251582922503,-0.0033889768601117576,0.1855397199454612,0.18543417899295697
Docking-44,raw,263,3163,3163,0.9940724288849332,0.00592757111506681,0.0021141649048625794,0.7592592592592593,1.8691371706158322,1.8274650130693681,0.6766989086793213,0.6867173663473352,0.6853541973995623,0.6972249376074067
