target_a,target_b,scaffold_residual_mean_correlation,scaffold_residual_mean_percentile_rank,scaffold_residual_between_support_sd,scaffold_residual_between_support_rank_sd,scaffold_residual_stability_confidence,scaffold_residual_lcb_rank,scaffold_residual_sign_agreement_fraction,scaffold_raw_mean_correlation,scaffold_raw_mean_percentile_rank,scaffold_raw_between_support_sd,scaffold_raw_between_support_rank_sd,scaffold_raw_stability_confidence,scaffold_raw_lcb_rank,scaffold_raw_sign_agreement_fraction,random_residual_mean_correlation,random_residual_mean_percentile_rank,random_residual_between_support_sd,random_residual_between_support_rank_sd,random_residual_stability_confidence,random_residual_lcb_rank,random_residual_sign_agreement_fraction,random_raw_mean_correlation,random_raw_mean_percentile_rank,random_raw_between_support_sd,random_raw_between_support_rank_sd,random_raw_stability_confidence,random_raw_lcb_rank,random_raw_sign_agreement_fraction
CSF1R,IGF1R,0.106220391889127,0.80010582010582,0.0217377566517092,0.0341442021271021,-0.0341442021271021,0.743938607606737,1,0.708954485556593,0.39989417989418,0.0101359874594976,0.0317476514002123,-0.0317476514002123,0.34766929334083,1,0.104450795607789,0.782962962962963,0.0215151405977082,0.0374967992746393,-0.0374967992746393,0.721280728156181,1,0.714241262118002,0.390793650793651,0.0107678244316213,0.0269579662775729,-0.0269579662775729,0.346447796267043,1
CSF1R,JAK2,0.123887581471005,0.826772486772487,0.025131936927186,0.0359618410416243,-0.0359618410416243,0.767615258259015,1,0.756038035302467,0.645502645502646,0.0107218542055354,0.0405213156573854,-0.0405213156573854,0.578845081246247,1,0.128796949384453,0.820952380952381,0.0264638977640988,0.0399299060372882,-0.0399299060372882,0.755267685521042,1,0.761620929376417,0.617566137566138,0.0110665629876884,0.0467538284584485,-0.0467538284584485,0.54065608975199,1
CSF1R,KDR,-0.16974166570513,0.257037037037037,0.0236546775973043,0.0419223894279763,-0.0419223894279763,0.188074706428016,1,0.514254202807114,0.0375661375661376,0.0157559631157411,0.00883093079784424,-0.00883093079784424,0.0230392564036838,1,-0.156130017820113,0.288994708994709,0.0210279852647298,0.0386581229741269,-0.0386581229741269,0.22540209670227,1,0.521374379409538,0.037037037037037,0.017072658402455,0.0102529553788742,-0.0102529553788742,0.020170925438789,1
CSF1R,KIT,0.0718270860795541,0.743386243386243,0.0248747924263499,0.0419245698621116,-0.0419245698621116,0.67442032596307,0.98,0.745146236446917,0.586455026455027,0.0102110845134629,0.0523276443629235,-0.0523276443629235,0.500376051478018,1,0.0831711590067753,0.749100529100529,0.0264059423440964,0.0425715112135297,-0.0425715112135297,0.679070393154273,1,0.741236027096376,0.504444444444444,0.0112525803271831,0.0419567181034536,-0.0419567181034536,0.435425643164263,1
CSF1R,LCK,0.0414263835344685,0.689100529100529,0.0291070165152643,0.0530347305473905,-0.0530347305473905,0.601858397350072,0.9,0.743990307770148,0.581375661375661,0.0121474222008027,0.0534968006112767,-0.0534968006112767,0.493373424370111,1,0.0319625927881261,0.657460317460318,0.0239994224637992,0.0509384297022471,-0.0509384297022471,0.573666600600121,0.9,0.751900384417922,0.560634920634921,0.0108448836536323,0.0457523227358115,-0.0457523227358115,0.485372349734511,1
CSF1R,MAP2K1,-0.273097504387561,0.10010582010582,0.0179897453144226,0.0225453545623539,-0.0225453545623539,0.0630187118507479,1,0.671305951247839,0.284338624338624,0.0134913355062928,0.0198780568162128,-0.0198780568162128,0.251639220875954,1,-0.302597972393195,0.0867724867724868,0.0188387228324505,0.0241874527588813,-0.0241874527588813,0.046984126984127,1,0.677178194586688,0.288148148148148,0.0121817631806049,0.0205117607945593,-0.0205117607945593,0.254406301641098,1
CSF1R,MAPK1,0.0223985021160105,0.653439153439154,0.0222408282928398,0.0440769510623324,-0.0440769510623324,0.580932568941617,0.86,0.726804468501895,0.483280423280423,0.011910573176071,0.0445585764163796,-0.0445585764163796,0.409981565075479,1,0.0492545366425521,0.69015873015873,0.0264367767065262,0.0494513639915607,-0.0494513639915607,0.608811236392613,0.96,0.733278912782304,0.464338624338624,0.012845029652887,0.0427919722157621,-0.0427919722157621,0.393945830043696,1
CSF1R,MAPK14,0.191061011481706,0.91058201058201,0.0200892671146916,0.02337666983249,-0.02337666983249,0.872127388707564,1,0.742021245699421,0.56994708994709,0.0109118655947173,0.0445897225053796,-0.0445897225053796,0.496596996425741,1,0.193462575496312,0.900529100529101,0.0226330352223323,0.0270212591560385,-0.0270212591560385,0.856079129217417,1,0.751933814207245,0.565396825396825,0.0110701717721278,0.0505579104582912,-0.0505579104582912,0.482229062692936,1
CSF1R,MAPKAPK2,-0.0710054451311401,0.464550264550264,0.0229788186486644,0.0422334544057415,-0.0422334544057415,0.39507623205282,1,0.746796180659938,0.595978835978836,0.0108660127792693,0.0447268652919311,-0.0447268652919311,0.522403142573609,1,-0.0686611887260337,0.466666666666666,0.0240333433532222,0.0440088484595908,-0.0440088484595908,0.39427211095064,1,0.751964881238578,0.563174603174603,0.0105097598398636,0.0471689244279383,-0.0471689244279383,0.485581722490645,1
CSF1R,MET,-0.131071565850992,0.337460317460317,0.0332010361623671,0.0682978575170122,-0.0682978575170122,0.225110341844832,1,0.644609606135931,0.23026455026455,0.0161174693644509,0.0279000655596408,-0.0279000655596408,0.184368942418941,1,-0.129207704447952,0.343915343915344,0.0288133073490851,0.0578811480546535,-0.0578811480546535,0.248700855365439,1,0.653105714512472,0.234708994708995,0.0137472021550387,0.0234622967124247,-0.0234622967124247,0.196113516617056,1
CSF1R,PLK1,-0.0124724846161022,0.581481481481482,0.0265440310631538,0.0543823868594226,-0.0543823868594226,0.492022455097731,0.68,0.753922844771907,0.636084656084656,0.011974577323101,0.0419251149529267,-0.0419251149529267,0.567117841987092,1,-0.0107489295584437,0.570476190476191,0.0239413357968123,0.0467495513423166,-0.0467495513423166,0.49357317851808,0.64,0.760819898791141,0.610793650793651,0.0123047214370426,0.0476988856687129,-0.0476988856687129,0.532328983868618,1
CSF1R,ROCK1,-0.0310719841241819,0.538201058201058,0.0237027748095886,0.0534369617270344,-0.0534369617270344,0.450297256160087,0.88,0.740549751056315,0.560740740740741,0.0110175431401033,0.0441706955502425,-0.0441706955502425,0.488079946560592,1,-0.079159561878598,0.447724867724868,0.0217208069891561,0.0427830260238341,-0.0427830260238341,0.37734678991566,1,0.736842292931032,0.481058201058201,0.0127102407025509,0.0427556417211526,-0.0427556417211526,0.410725170426905,1
CSF1R,SRC,-0.00916438394862579,0.586349206349207,0.0260968863087146,0.0540709487004657,-0.0540709487004657,0.497402495736941,0.62,0.728786764073393,0.491957671957672,0.0119187898116449,0.0426305195046756,-0.0426305195046756,0.42183046737248,1,-0.020763266313137,0.553650793650794,0.0254802980646335,0.0460733676621889,-0.0460733676621889,0.477860103846493,0.82,0.735224615263713,0.473862433862434,0.0116116884087162,0.0394809695368839,-0.0394809695368839,0.40891623897426,1
