top_fraction,positive_pairs,candidate_name,model,panel,analysis_role,metric,baseline,candidate_with_stability,candidate_minus_baseline
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.563974508697573,0.561827780620837,-0.00214672807673644
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.810666095523667,0.81088027414864,0.000214178624973194
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.473342230382796,0.469367411076826,-0.00397481930596982
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.549391804117624,0.547428781377528,-0.0019630227400963
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.808310130648961,0.808738487898908,0.000428357249946387
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.50211137436397,0.497499410077968,-0.00461196428600136
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.584278322332883,0.58111684096804,-0.00316148136484318
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.808738487898908,0.807239237524095,-0.00149925037481258
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.504991094378489,0.505360062262063,0.000368967883574101
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.5257463029301,0.523162181194697,-0.00258412173540301
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.814092953523238,0.812165345898479,-0.00192760762475908
0.15,29,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.49126500868547,0.488297725290923,-0.00296728339454688
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.568021274827558,0.547985146111352,-0.0200361287162059
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.809381023773827,0.831227243521097,0.0218462197472692
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.477648782675777,0.474501770791303,-0.00314701188447403
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.564144217437136,0.511690220315186,-0.0524539971219496
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,roc_auc,0.813022060398372,0.797815378025273,-0.0152066823730993
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,average_precision,0.498393486860898,0.440325823977728,-0.0580676628831695
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.59364554492689,0.582068609569299,-0.0115769353575912
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,roc_auc,0.80359820089955,0.799742985650032,-0.00385521524951815
0.15,29,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,average_precision,0.499210361892549,0.463163434923003,-0.0360469269695462
