panel,transformation,control_design,repetition,ligands,observed_exact_support_spearman,observed_target_label_qap_p_two_sided,observed_target_label_qap_permutations,control_spearman,observed_minus_control_spearman,equal_n_row_disjoint_vina_self_spearman,descriptor_mean_difference_rms_iqr_units,descriptor_max_abs_mean_difference_iqr_units,unique_murcko_source_groups,mean_difference_iqr_units_heavy_atoms,mean_difference_iqr_units_molecular_weight,mean_difference_iqr_units_labute_asa,mean_difference_iqr_units_tpsa,mean_difference_iqr_units_clogp,mean_difference_iqr_units_rotatable_bonds,mean_difference_iqr_units_ring_count
DAVIS,raw,seven_descriptor_nearest_256,3,56,0.157592818755,0.129687031297,10000,0.095317354135,0.0622754646202,0.751102875673,0.0288060850462,0.0499245163782,55,0.00793650793651,-0.0393256374399,-0.0142629194282,-0.0499245163782,0.034413283399,-5.55111512313e-17,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256,3,56,0.306565422604,0.000399960004,10000,0.133228158721,0.173337263884,0.568070542578,0.0288060850462,0.0499245163782,55,0.00793650793651,-0.0393256374399,-0.0142629194282,-0.0499245163782,0.034413283399,-5.55111512313e-17,-0.0178571428571
DAVIS,raw,uniform_scaffold_distinct,3,56,0.157592818755,0.129687031297,10000,0.033767529552,0.123825289203,0.751102875673,0.359322770774,0.660714285714,56,-0.275793650794,-0.291204276805,-0.295165174773,-0.0891057823965,-0.459543790046,0.0119047619048,-0.660714285714
DAVIS,row_centered_residual,uniform_scaffold_distinct,3,56,0.306565422604,0.000399960004,10000,0.163848872504,0.1427165501,0.568070542578,0.359322770774,0.660714285714,56,-0.275793650794,-0.291204276805,-0.295165174773,-0.0891057823965,-0.459543790046,0.0119047619048,-0.660714285714
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,3,56,0.157592818755,0.129687031297,10000,0.104035400868,0.0535574178877,0.751102875673,0.0163891595913,0.0385797043261,56,0.0119047619048,-0.00913176525214,-0.00161947435552,0.0128102727943,-0.0385797043261,-1.11022302463e-16,0
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,3,56,0.306565422604,0.000399960004,10000,0.18809950339,0.118465919214,0.568070542578,0.0163891595913,0.0385797043261,56,0.0119047619048,-0.00913176525214,-0.00161947435552,0.0128102727943,-0.0385797043261,-1.11022302463e-16,0
DAVIS,raw,uniform_random_rows,4,56,0.157592818755,0.129687031297,10000,0.0711626113971,0.0864302073581,0.773678055544,0.680783928643,1.19642857143,55,-0.696428571429,-0.65937242614,-0.691557505425,-0.31574535688,-0.400945851839,-0.392857142857,-1.19642857143
DAVIS,row_centered_residual,uniform_random_rows,4,56,0.306565422604,0.000399960004,10000,0.293327675069,0.0132377475356,0.528679950631,0.680783928643,1.19642857143,55,-0.696428571429,-0.65937242614,-0.691557505425,-0.31574535688,-0.400945851839,-0.392857142857,-1.19642857143
DAVIS,raw,mw_20_quantile_matched,4,56,0.157592818755,0.129687031297,10000,0.0230902547191,0.134502564036,0.773678055544,0.313858206699,0.660714285714,56,-0.0555555555556,0.034068813105,-0.0176823614375,0.142659656637,-0.358564744453,0.315476190476,-0.660714285714
DAVIS,row_centered_residual,mw_20_quantile_matched,4,56,0.306565422604,0.000399960004,10000,0.161007214287,0.145558208317,0.528679950631,0.313858206699,0.660714285714,56,-0.0555555555556,0.034068813105,-0.0176823614375,0.142659656637,-0.358564744453,0.315476190476,-0.660714285714
DAVIS,raw,seven_descriptor_nearest_256,4,56,0.157592818755,0.129687031297,10000,0.156471964055,0.0011208547003,0.773678055544,0.0265188746883,0.0455578766282,56,-1.11022302463e-16,-0.0116469743125,0.0116877138831,-0.0455578766282,-0.0340256763889,-0.0119047619048,-0.0357142857143
DAVIS,row_centered_residual,seven_descriptor_nearest_256,4,56,0.306565422604,0.000399960004,10000,0.2805667767,0.0259986459039,0.528679950631,0.0265188746883,0.0455578766282,56,-1.11022302463e-16,-0.0116469743125,0.0116877138831,-0.0455578766282,-0.0340256763889,-0.0119047619048,-0.0357142857143
DAVIS,raw,uniform_scaffold_distinct,4,56,0.157592818755,0.129687031297,10000,0.123829824453,0.0337629943018,0.773678055544,0.371951016735,0.732142857143,56,-0.323412698413,-0.298924958854,-0.321454299252,-0.254656286206,-0.259605962173,0.0535714285714,-0.732142857143
DAVIS,row_centered_residual,uniform_scaffold_distinct,4,56,0.306565422604,0.000399960004,10000,0.23668110388,0.0698843187244,0.528679950631,0.371951016735,0.732142857143,56,-0.323412698413,-0.298924958854,-0.321454299252,-0.254656286206,-0.259605962173,0.0535714285714,-0.732142857143
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,4,56,0.157592818755,0.129687031297,10000,0.106996271376,0.0505965473788,0.773678055544,0.0293992383458,0.0561606923428,56,-0.00198412698413,-0.0141525460055,0.0115229383025,-0.0561606923428,-0.00285539999607,-0.0357142857143,-0.0357142857143
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,4,56,0.306565422604,0.000399960004,10000,0.258257232914,0.0483081896901,0.528679950631,0.0293992383458,0.0561606923428,56,-0.00198412698413,-0.0141525460055,0.0115229383025,-0.0561606923428,-0.00285539999607,-0.0357142857143,-0.0357142857143
DAVIS,raw,uniform_random_rows,5,56,0.157592818755,0.129687031297,10000,0.053195245762,0.104397572993,0.706609479321,0.511236344021,1,55,-0.46626984127,-0.405132200228,-0.445819593772,-0.297677562055,-0.394372222197,-0.0714285714286,-1
DAVIS,row_centered_residual,uniform_random_rows,5,56,0.306565422604,0.000399960004,10000,0.220317921041,0.086247501563,0.622874506387,0.511236344021,1,55,-0.46626984127,-0.405132200228,-0.445819593772,-0.297677562055,-0.394372222197,-0.0714285714286,-1
DAVIS,raw,mw_20_quantile_matched,5,56,0.157592818755,0.129687031297,10000,0.111777720907,0.045815097848,0.706609479321,0.237703855874,0.380139360835,56,0.0496031746032,0.0667600580313,0.0625789512729,0.0860337745322,-0.380139360835,0.303571428571,-0.375
DAVIS,row_centered_residual,mw_20_quantile_matched,5,56,0.306565422604,0.000399960004,10000,0.195979176723,0.110586245882,0.622874506387,0.237703855874,0.380139360835,56,0.0496031746032,0.0667600580313,0.0625789512729,0.0860337745322,-0.380139360835,0.303571428571,-0.375
DAVIS,raw,seven_descriptor_nearest_256,5,56,0.157592818755,0.129687031297,10000,0.0856015523514,0.0719912664038,0.706609479321,0.0125031500337,0.022228756376,56,0.00198412698413,-0.0012550153867,0.0161087853811,-0.00403749605028,0.022228756376,0.0178571428571,0
DAVIS,row_centered_residual,seven_descriptor_nearest_256,5,56,0.306565422604,0.000399960004,10000,0.122239895301,0.184325527304,0.622874506387,0.0125031500337,0.022228756376,56,0.00198412698413,-0.0012550153867,0.0161087853811,-0.00403749605028,0.022228756376,0.0178571428571,0
DAVIS,raw,uniform_scaffold_distinct,5,56,0.157592818755,0.129687031297,10000,0.162019222982,-0.00442640422685,0.706609479321,0.549715677208,1.05357142857,56,-0.474206349206,-0.477117293666,-0.481050300716,-0.232629989818,-0.501632183726,-0.125,-1.05357142857
DAVIS,row_centered_residual,uniform_scaffold_distinct,5,56,0.306565422604,0.000399960004,10000,0.180822370446,0.125743052159,0.622874506387,0.549715677208,1.05357142857,56,-0.474206349206,-0.477117293666,-0.481050300716,-0.232629989818,-0.501632183726,-0.125,-1.05357142857
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,5,56,0.157592818755,0.129687031297,10000,0.0617137414843,0.0958790772709,0.706609479321,0.0182752179436,0.0333038650446,56,0.00595238095238,-0.0333038650446,-0.00521141050662,-0.02021820033,-0.0200764552701,-0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,5,56,0.306565422604,0.000399960004,10000,0.198432099205,0.108133323399,0.622874506387,0.0182752179436,0.0333038650446,56,0.00595238095238,-0.0333038650446,-0.00521141050662,-0.02021820033,-0.0200764552701,-0.00595238095238,-0.0178571428571
DAVIS,raw,uniform_random_rows,6,56,0.157592818755,0.129687031297,10000,0.129930383909,0.0276624348463,0.800757386789,0.3620006902,0.625,56,-0.361111111111,-0.366751744004,-0.369078782928,-0.13065249447,-0.3274350151,-0.0357142857143,-0.625
DAVIS,row_centered_residual,uniform_random_rows,6,56,0.306565422604,0.000399960004,10000,0.210538625754,0.0960267968499,0.522663617251,0.3620006902,0.625,56,-0.361111111111,-0.366751744004,-0.369078782928,-0.13065249447,-0.3274350151,-0.0357142857143,-0.625
DAVIS,raw,mw_20_quantile_matched,6,56,0.157592818755,0.129687031297,10000,0.0797964320539,0.0777963867014,0.800757386789,0.249818369551,0.464285714286,56,-0.0238095238095,0.0226318470978,-0.0269747155616,0.113668679563,-0.358202845589,0.279761904762,-0.464285714286
DAVIS,row_centered_residual,mw_20_quantile_matched,6,56,0.306565422604,0.000399960004,10000,0.199958534855,0.106606887749,0.522663617251,0.249818369551,0.464285714286,56,-0.0238095238095,0.0226318470978,-0.0269747155616,0.113668679563,-0.358202845589,0.279761904762,-0.464285714286
DAVIS,raw,seven_descriptor_nearest_256,6,56,0.157592818755,0.129687031297,10000,0.143485598961,0.0141072197944,0.800757386789,0.0272114530764,0.0626116225016,56,-0.00198412698413,-0.0222765590743,-0.00149725170008,-0.0201567601727,-0.0626116225016,-0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256,6,56,0.306565422604,0.000399960004,10000,0.224205278383,0.082360144221,0.522663617251,0.0272114530764,0.0626116225016,56,-0.00198412698413,-0.0222765590743,-0.00149725170008,-0.0201567601727,-0.0626116225016,-0.00595238095238,-0.0178571428571
DAVIS,raw,uniform_scaffold_distinct,6,56,0.157592818755,0.129687031297,10000,0.108209126867,0.0493836918881,0.800757386789,0.511792726895,0.964285714286,56,-0.438492063492,-0.439197992666,-0.443414812955,-0.0850551205983,-0.546835799803,-0.125,-0.964285714286
