calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
100,15,empirical,5,0.560329998953905,0.894301198021231,5,0.653861555001832,0.130125476360865,82.5231568272015,0.602285714285714,0.220472834939163,0.623619047619048,0.206982193589721,0.624,0.172427791830604,0.623619047619048,0.206982193589721,0.624,0.172427791830604
100,15,OAS,5,0.514661935531587,0.897354205758725,5,0.653357902290603,0.127017809520996,82.7027032933869,0.604190476190476,0.230207665057946,0.627047619047619,0.207530990421904,0.628190476190476,0.174755953489341,0.627047619047619,0.207530990421904,0.628190476190476,0.174755953489341
100,16,empirical,5,0.545078550089683,0.821384175972217,5,0.712847976871974,0.175607469727689,79.8859889788961,0.668952380952381,0.217420837124794,0.675809523809524,0.183121103322224,0.67352380952381,0.187641735240356,0.675809523809524,0.183121103322224,0.67352380952381,0.187641735240356
100,16,OAS,6,0.538990662497874,0.823427679145508,5,0.713690304206796,0.153247931217287,81.184803875037,0.669333333333333,0.187527312365085,0.696761904761905,0.189085622998562,0.688761904761905,0.180281489485084,0.686095238095238,0.191381715916853,0.681904761904762,0.191592050238373
100,17,empirical,4,0.509673433823621,0.883212393986712,5,0.792593379642252,0.558061705103257,56.0781425555115,0.710095238095238,0.215042898360201,0.683047619047619,0.163749759991334,0.69447619047619,0.162868813989112,0.702095238095238,0.219332835986279,0.703238095238095,0.18313946699345
100,17,OAS,5,0.525889726843748,0.883138911852056,5,0.794570474902137,0.566169588768103,55.5164508825212,0.705904761904762,0.205512247944145,0.706666666666667,0.204132105665321,0.706666666666667,0.189172668213825,0.706666666666667,0.204132105665321,0.706666666666667,0.189172668213825
100,18,empirical,4,0.52089002016999,0.881959698548291,5,0.782484660408215,0.38984372493211,67.0552241386125,0.732190476190476,0.23141351688898,0.704,0.247516895759653,0.704,0.271075858445701,0.727238095238095,0.250393703793226,0.731047619047619,0.282025290084813
100,18,OAS,5,0.530234569630039,0.886403618120345,5,0.782614383935182,0.390561857788988,67.0105356514475,0.732190476190476,0.220296827524396,0.726095238095238,0.238278005652508,0.728761904761905,0.272822118264997,0.726095238095238,0.238278005652508,0.728761904761905,0.272822118264997
100,19,empirical,4,0.505058655383528,0.850978230917608,5,0.639212326628386,0.039581142654527,87.731575003416,0.732190476190476,0.25929294907245,0.733714285714286,0.246370910456049,0.728,0.204325845066886,0.726857142857143,0.216240237946072,0.717714285714286,0.165818029804267
100,19,OAS,5,0.520575358125206,0.850964234320531,5,0.638076927976172,0.0709599593817727,85.9308740393612,0.728761904761905,0.24494632371874,0.72647619047619,0.209902936541935,0.72152380952381,0.167213842466098,0.72647619047619,0.209902936541935,0.72152380952381,0.167213842466098
