evaluation_identity,representation,roc_auc,average_precision
QEIJYXMTALGXJH-GDLZYMKVSA-N,target_centered_unscaled,0.75,0.16666666666666666
QEIJYXMTALGXJH-LJAQVGFWSA-N,target_centered_unscaled,0.55,0.1
QLCDVXBLLOIZEO-UTKZUKDTSA-N,target_centered_unscaled,0.75,0.16666666666666666
QUKIIQWKXMTFAE-UHFFFAOYSA-N,target_centered_unscaled,0.7631578947368421,0.35
QVWIVWPIJUYRRF-UHFFFAOYSA-N,target_centered_unscaled,0.15000000000000002,0.05555555555555555
RGYLSTMWQZFYAE-UHFFFAOYSA-N,target_centered_unscaled,0.6,0.1111111111111111
RITAVMQDGBJQJZ-FMIVXFBMSA-N,target_centered_unscaled,0.7875000000000001,0.6458333333333333
RLXHHNOPSKGTDC-UHFFFAOYSA-N,target_centered_unscaled,,
RNXPIGAWEIQILT-UHFFFAOYSA-N,target_centered_unscaled,0.75,0.16666666666666666
ROZXJVHSZADRDQ-UHFFFAOYSA-N,target_centered_unscaled,0.65,0.125
RPSIDICSSBFGPU-UHFFFAOYSA-N,target_centered_unscaled,,
RTDGHNXXZKSIDE-OAHLLOKOSA-N,target_centered_unscaled,0.6578947368421053,0.19090909090909092
SAYGKHKXGCPTLX-UHFFFAOYSA-N,target_centered_unscaled,0.7777777777777779,0.5277777777777778
SIXVRXARNAVBTC-UHFFFAOYSA-N,target_centered_unscaled,0.44736842105263164,0.1388888888888889
SJMSBWUNRHAZIS-UHFFFAOYSA-N,target_centered_unscaled,0.4074074074074074,0.18055555555555555
SLIYJTVHXLYNJL-UHFFFAOYSA-N,target_centered_unscaled,,
SPESUKLLJMFRNX-UHFFFAOYSA-N,target_centered_unscaled,,
SUDAHWBOROXANE-SECBINFHSA-N,target_centered_unscaled,1.0,1.0
TWOLOZGQZKJZKJ-UHFFFAOYSA-N,target_centered_unscaled,0.6125,0.5036953242835596
TXXYVBLFLGPQOR-GDBMZVCRSA-N,target_centered_unscaled,,
