deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
CDK2,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5240549779665749,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5250022036982694,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5351742723602873,151,10651
CDK2,roc_auc,,column_standardized,0.574684081632627,122,5036
CDK2,average_precision,,column_standardized,0.3087084692478549,122,5036
CDK2,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5099033401637162,154,22626
CDK2,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5117954123708293,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5119779084887789,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.514536747865294,151,10651
CDK2,roc_auc,,target_centered_residual_scaled,0.5569447961999541,122,5036
CDK2,average_precision,,target_centered_residual_scaled,0.2957322806244865,122,5036
CDK2,pairwise_concordance,exact_non_ties,two_way_residual,0.5169295578603638,154,22626
CDK2,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5213172904931371,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.52293296034462,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5331635318112113,151,10651
CDK2,roc_auc,,two_way_residual,0.5702350497771247,122,5036
CDK2,average_precision,,two_way_residual,0.2966974279853758,122,5036
CDK2,pairwise_concordance,exact_non_ties,docking_target_prior,0.49818331035928803,154,22626
CDK2,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.4953144775993668,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.5052586202215638,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.5168850731723237,151,10651
CDK2,roc_auc,,docking_target_prior,0.4533636834015742,122,5036
CDK2,average_precision,,docking_target_prior,0.22024694207646428,122,5036
CSF1R,pairwise_concordance,exact_non_ties,absolute_vina,0.5174780101885516,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5248923312642853,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5341120417246901,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5564734040939225,151,10378
CSF1R,roc_auc,,absolute_vina,0.5708411021545554,123,4711
CSF1R,average_precision,,absolute_vina,0.2788922863551308,123,4711
CSF1R,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5269998906484514,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5328918538367221,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5372357335737591,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5519720790075896,151,10378
CSF1R,roc_auc,,target_centered_unscaled,0.5995080338226717,123,4711
CSF1R,average_precision,,target_centered_unscaled,0.31569997186321386,123,4711
CSF1R,pairwise_concordance,exact_non_ties,column_standardized,0.525448451487615,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5309974196090363,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.535701548136958,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5501007751606221,151,10378
CSF1R,roc_auc,,column_standardized,0.5974235490699378,123,4711
CSF1R,average_precision,,column_standardized,0.31363850033442947,123,4711
CSF1R,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5110670729699338,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5133622556355171,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5166179793532009,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5216276122968063,151,10378
CSF1R,roc_auc,,target_centered_residual_scaled,0.5675417777055435,123,4711
CSF1R,average_precision,,target_centered_residual_scaled,0.2886075335223577,123,4711
CSF1R,pairwise_concordance,exact_non_ties,two_way_residual,0.5242146487338386,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.530017038231594,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.5339308100157475,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5480943751914288,151,10378
CSF1R,roc_auc,,two_way_residual,0.5942183974464236,123,4711
CSF1R,average_precision,,two_way_residual,0.29960241940801474,123,4711
CSF1R,pairwise_concordance,exact_non_ties,docking_target_prior,0.4895298295205502,154,22190
CSF1R,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.4873193402287377,154,18050
CSF1R,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.4965482364367091,154,14748
CSF1R,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.5048349430477561,151,10378
CSF1R,roc_auc,,docking_target_prior,0.42928758478279927,123,4711
CSF1R,average_precision,,docking_target_prior,0.20265551910130314,123,4711
EGFR,pairwise_concordance,exact_non_ties,absolute_vina,0.5026424083817933,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5075399450229726,154,17830
