evaluation_identity,representation,experimental_margin_name,experimental_margin_percentage_points,pairwise_concordance,evaluated_pairs
MVCOAUNKQVWQHZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3149171270718232,181
MZTUKIVBKFNLSN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.47580645161290325,186
NDRPTJVBXDZQSJ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3987730061349693,163
NFLNGTZCZDPIPL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5336134453781513,119
NHJSWORVNIOXIT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.21428571428571427,119
NPHKXSDZIKFIRU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4201388888888889,144
NPRGDRYIMFLLIG-HNNXBMFYSA-N,absolute_vina,exact_non_ties,0.0,0.6369047619047619,168
NPRGGISRWJDWPO-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.47191011235955055,89
NWZJBVCVSXFQRM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.46938775510204084,196
OCINIHGZWSHFSH-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5,165
OGNYUTNQZVRGMN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.510989010989011,182
OHVZOXZMVPDEDV-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4019607843137255,153
OMZCMEYTWSXEPZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5402298850574713,174
OSVNSMJGPXYEBY-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.583916083916084,143
OVNJVYZXVSMONK-CQSZACIVSA-N,absolute_vina,exact_non_ties,0.0,0.5659340659340659,182
PDMUGYOXRHVNMO-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.7692307692307693,39
PTFWTMLTKFRZKM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3702290076335878,131
PXRULJZQXIUNTM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.45786516853932585,178
QBUKWINFURUTNN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5486111111111112,144
QEIJYXMTALGXJH-GDLZYMKVSA-N,absolute_vina,exact_non_ties,0.0,0.640625,160
QEIJYXMTALGXJH-LJAQVGFWSA-N,absolute_vina,exact_non_ties,0.0,0.688953488372093,172
QLCDVXBLLOIZEO-UTKZUKDTSA-N,absolute_vina,exact_non_ties,0.0,0.5874125874125874,143
QUKIIQWKXMTFAE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4375,144
QVWIVWPIJUYRRF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4,105
RGYLSTMWQZFYAE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6647398843930635,173
RITAVMQDGBJQJZ-FMIVXFBMSA-N,absolute_vina,exact_non_ties,0.0,0.5651041666666666,192
RLXHHNOPSKGTDC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5855614973262032,187
RNXPIGAWEIQILT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.65625,144
ROZXJVHSZADRDQ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5840336134453782,119
RPSIDICSSBFGPU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5516304347826086,184
RTDGHNXXZKSIDE-OAHLLOKOSA-N,absolute_vina,exact_non_ties,0.0,0.44871794871794873,195
SAYGKHKXGCPTLX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6495098039215687,204
SIXVRXARNAVBTC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4375,152
SJMSBWUNRHAZIS-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.43352601156069365,173
SLIYJTVHXLYNJL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.42424242424242425,165
SPESUKLLJMFRNX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5579268292682927,164
SUDAHWBOROXANE-SECBINFHSA-N,absolute_vina,exact_non_ties,0.0,0.34615384615384615,104
TWOLOZGQZKJZKJ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.49748743718592964,199
TXXYVBLFLGPQOR-GDBMZVCRSA-N,absolute_vina,exact_non_ties,0.0,0.5659722222222222,144
TXXYVBLFLGPQOR-GOEBONIOSA-N,absolute_vina,exact_non_ties,0.0,0.6215277777777778,144
UHBZCEYZFPBQEU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.41603053435114506,131
UJLAWZDWDVHWOW-YPMHNXCESA-N,absolute_vina,exact_non_ties,0.0,0.46564885496183206,131
UJPJYIXFJSSTRL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.44193548387096776,155
VBJULRMRDQBSIN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.29285714285714287,140
VBVQRWCLJVUBMP-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4930555555555556,144
VFCFJSWYTMMESK-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5279187817258884,197
VNDDOAWIHYNTOI-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4666666666666667,195
VQYHPUHKYSSEOB-ZDUSSCGKSA-N,absolute_vina,exact_non_ties,0.0,0.7634146341463415,205
VRFCECOEWLDCBE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3399014778325123,203
VYPFXAQENHJVIR-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.48773006134969327,163
WHARNYOKNQYQGR-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5173267326732673,202
WLALQQYUBWGRLL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5727272727272728,165
WNZMTWAJENZPDM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6194444444444445,180
WOZKSDHVBUBBLG-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.37435897435897436,195
WQQPBXGJFFKXKX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5796703296703297,182
WXOGYBWIHWKUMA-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5216049382716049,162
WYSOLHCQRQBXQP-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.548469387755102,196
XCAXPNXUNVKBEX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4010989010989011,182
XDLYKKIQACFMJG-WKILWMFISA-N,absolute_vina,exact_non_ties,0.0,0.4364406779661017,118
XGMKXFYSDRBOQV-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.696969696969697,132
XNOBOZRCPWKBSS-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5551948051948052,154
XWODEDHTMYVLNJ-SNVBAGLBSA-N,absolute_vina,exact_non_ties,0.0,0.4396551724137931,116
XYASHXPUZJDWIO-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4479768786127168,173
XYKNCRFMAKMJKI-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.49523809523809526,105
YDRWIFAFQIMEOP-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.33766233766233766,154
YJFKREHADGLMHG-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.43686868686868685,198
YOELZIQOLWZLQC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5636363636363636,165
YVFNRXBPVWUZRV-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4396551724137931,116
YVNIOYKTDJGJGM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.7586206896551724,87
YXAQBFXRVSBMEL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.44755244755244755,143
YYZTVTZCYVZGRB-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5220994475138122,181
ZNCKHZJGGNFHHC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4975369458128079,203
ZOLVPLVVVCAWCK-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4864864864864865,74
ZOTNSCLLJKXGSD-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5051813471502591,193
ZRDJTQFOUXSKBC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.38311688311688313,154
