dataset,target,family,molecular_weight_raw_slope,molecular_weight_residual_slope,molecular_weight_residual_correlation,heavy_atoms_raw_slope,heavy_atoms_residual_slope,heavy_atoms_residual_correlation,rotatable_bonds_raw_slope,rotatable_bonds_residual_slope,rotatable_bonds_residual_correlation,imputed_cells,imputed_fraction,conditional_mw_slope_per_100_da,conditional_rotatable_bond_slope,residual_pc1_loading
Docking-44,6pdj,Enzyme,-0.254441611131039,-0.064839111495988,-0.2262724123894442,-0.06980392290290911,-0.011645578310644436,-0.23925831383623175,0.01034607970333996,-0.013290053612092484,-0.12312567066497213,0,0.0,-0.3999273610618006,0.09618033471663907,-0.10921587035504911
Docking-44,6x3x,Ion channel,-0.04428882111630485,0.1453136785187456,0.3035191291433382,-0.036525779199353924,0.021632565392910575,0.2660106481672083,0.060924114798581466,0.0372879814831491,0.206764401702436,29,0.0022923089083866886,-0.2020352664667876,0.10428585563459003,0.06614456819415429
Docking-44,6y1z,Serotonin GPCR,-0.13429091783612152,0.055311581798929484,0.13596005177368942,-0.05259916411136364,0.005559180480900963,0.08044840573529839,0.05321316948766673,0.029577036172234474,0.19300884831566364,27,0.0021342186388427793,-0.31803156759458895,0.12147057153867398,-0.02005642755889885
Docking-44,7f8y,Peptide GPCR,-0.37911924079030074,-0.18951674115524947,-0.43256428258994145,-0.09276220449890198,-0.03460385990663746,-0.46498511125327086,-0.001131555468367892,-0.02476768878380025,-0.1500776022694205,20,0.0015809026954390958,-0.558831563010885,0.11880745235946719,-0.21520567090266413
Docking-44,7kwe,Enzyme,-0.33814489841656215,-0.14854239878151143,-0.40158119247239377,-0.08657166818765863,-0.028413323595394058,-0.45222690303391666,0.015358259803407954,-0.00827787351202445,-0.05941129818220244,2,0.00015809026954390957,-0.5350938881549172,0.13020257835667048,-0.17878080142200686
Docking-44,7ljd,Dopamine GPCR,-0.14396167389195705,0.045640825743093735,0.11423709891120953,-0.05077131541518987,0.007387029177074606,0.10885162385276619,0.037863471348603635,0.014227338033171385,0.09453761608865285,88,0.0069559718599320215,-0.2979712870883777,0.10181544346344161,-0.012470853178892382
Docking-44,7wc9,Serotonin GPCR,-0.11401162967270033,0.07559086996235076,0.1364499495726502,-0.057236617229327234,0.0009217273629373938,0.009795304514801742,0.02214584230754354,-0.0014902910078887618,-0.007141713782743383,77,0.006086475377440518,-0.2184199731324538,0.06902414446740017,0.033663274255050314
Docking-44,7xnk,Ion channel,-0.27161564356118306,-0.08201314392613199,-0.2632404096326722,-0.06817427965631301,-0.010015935064048376,-0.1892657469332692,0.03150620857266274,0.007870075257230406,0.0670618155369338,0,0.0,-0.4727510716481429,0.13297022427272062,-0.12869201225051047
Docking-44,7ym8,Adrenergic GPCR,-0.047912987338263616,0.14168951229678717,0.23902857636967945,-0.03039623011367302,0.02776211447859165,0.2757249620778309,0.03599309268966767,0.012356959374235326,0.0553415173497314,259,0.02047268990593629,-0.15156172190859948,0.0685219685685737,0.14226064271428976
Docking-44,8e9y,Muscarinic GPCR,0.15659729141539758,0.3461997910504483,0.3760356910281611,0.009982238464262914,0.06814058305652751,0.4357320816590187,0.07524897926894628,0.0516128459535137,0.14882894291072155,528,0.041735831159592125,0.06333451309617781,0.06165583391923424,0.20652002674481315
