calibration_ligands,repetition,calibration_vs_full_map_spearman,panel_overlap_with_full_source,panel_jaccard_with_full_source,calibration_panel_index_lexicographic,top5pct_on_both_experimental_maps,DAVIS_mean_nearest_distance,DAVIS_oracle_mean_nearest_distance,DAVIS_absolute_loss_vs_oracle,DAVIS_fraction_all_panels_no_worse,DAVIS_exact_rank_best_is_1,DAVIS_median_headroom_captured,PKIS2_mean_nearest_distance,PKIS2_oracle_mean_nearest_distance,PKIS2_absolute_loss_vs_oracle,PKIS2_fraction_all_panels_no_worse,PKIS2_exact_rank_best_is_1,PKIS2_median_headroom_captured
200,71,0.899479418063,6,0.6,96527,False,0.30466637766,0.250758185607,0.0539081920527,0.115691188756,23541,0.445815312833,0.428410400161,0.385165064644,0.043245335517,0.213440463905,43430,0.263075347635
200,72,0.908109351362,4,0.333333333333,96547,False,0.309479532829,0.250758185607,0.0587213472224,0.150262912182,30576,0.396335321194,0.421950357016,0.385165064644,0.0367852923722,0.121155830753,24651,0.373158088162
200,73,0.905053888491,5,0.454545454545,101748,False,0.320248614865,0.250758185607,0.0694904292584,0.239417170377,48719,0.285627465264,0.418433156246,0.385165064644,0.033268091602,0.0829082510197,16870,0.433093152231
200,74,0.883028121791,4,0.333333333333,162181,False,0.326441349246,0.250758185607,0.075683163639,0.295970317952,60224,0.221965182506,0.458821452837,0.385165064644,0.0736563881935,0.746459285469,151894,-0.255145962334
200,75,0.911727185262,7,0.777777777778,109474,False,0.274206862038,0.250758185607,0.0234486764306,0.00582829623077,1183,0.758943920815,0.422010909368,0.385165064644,0.0368458447243,0.121912624699,24805,0.372126242288
200,76,0.904415066101,4,0.333333333333,161117,False,0.3447947942,0.250758185607,0.0940366085931,0.46925647452,95488,0.0332888837278,0.434558899861,0.385165064644,0.0493938352177,0.321961767163,65513,0.158301481267
200,77,0.897555176178,6,0.6,110993,False,0.292975542568,0.250758185607,0.0422173569607,0.0510688485921,10391,0.565998935051,0.414326981786,0.385165064644,0.0291619171422,0.0491522924959,9999,0.503064656676
200,78,0.933513231593,3,0.230769230769,77532,False,0.342512454538,0.250758185607,0.0917542689308,0.44765836159,91094,0.0567516941768,0.434308538062,0.385165064644,0.0491434734181,0.317101577473,64527,0.162567786058
200,79,0.921538875193,7,0.777777777778,182660,False,0.281253884208,0.250758185607,0.0304956986009,0.0154159909578,3136,0.686499425309,0.427470593946,0.385165064644,0.0423055293026,0.198638753747,40418,0.279090170034
200,80,0.929974440625,7,0.777777777778,182660,False,0.281253884208,0.250758185607,0.0304956986009,0.0154159909578,3136,0.686499425309,0.427470593946,0.385165064644,0.0423055293026,0.198638753747,40418,0.279090170034
