target_a,target_b,replicated_endpoint_positive,docking_raw_column_z,docking_standard_centered,docking_within_ligand_ordinal,docking_heavy_atom_efficiency,experimental_DAVIS_centered,experimental_PKIS2_centered,experimental_PKIS1_centered,experimental_KiRHub_centered
CDK2,MAP2K1,False,0.813647546632782,0.030095109596915862,-0.012611588378645809,-0.08964047195789049,0.009042746952277877,0.030151864050867807,0.22311136045556468,0.10793214948112995
CDK2,MAPK1,False,0.8209085752887899,0.16543502841393848,0.0822913529014634,0.19128407788642987,0.3633455072483989,0.2678178098996101,0.17342069294055307,0.5495304388303887
CDK2,MAPK14,False,0.7587469389178987,-0.08477372145572522,-0.07371224393487105,-0.06985371275184007,0.07184502845481286,-0.017832760998430435,-0.2795376191779615,-0.10614878747423949
CDK2,MAPKAPK2,False,0.8642503483088473,0.18179715514918962,0.11388895927149074,0.14120287276440166,0.5693509700344416,0.21139953515958257,-0.19169758772748155,0.5447240170165624
CDK2,MET,False,0.6945598165338531,-0.2398141355835125,-0.2423492093212352,-0.23923201883617282,-0.028859555582190225,0.02349598117029082,-0.017892295288750908,0.1474654921606405
CDK2,PLK1,False,0.8402791349172738,0.10384484207882796,0.01999045680698466,0.0921042904888836,0.18202309995665636,0.1762677723441639,-0.17272585553811604,0.6310771899568752
CDK2,ROCK1,False,0.8441172600781355,0.15280036909507388,0.12703403306343306,0.13794279872789522,0.3867061060643182,-0.06296889511514184,-0.06687978061656907,0.46092612930993604
CDK2,SRC,False,0.8251575562282751,0.07910148978748441,0.044029959562148065,0.07421657683456953,-0.3388874731592152,-0.16594332439458995,-0.01782560355342673,-0.39031027966107745
CSF1R,EGFR,False,0.7244767831994756,-0.18736945510229047,-0.16055257030399037,-0.21329768429352683,-0.35098291829212613,-0.1808132166182901,-0.3283835619029959,-0.43367296653369053
CSF1R,FGFR1,False,0.60913210884686,-0.11816528001008565,-0.0001766826031837678,-0.20133082172862313,-0.10074092493156134,-0.0808005381785757,-0.184421452289865,0.4025969291456566
CSF1R,IGF1R,False,0.7152538935504962,0.04078567246756922,0.049611774567623154,0.08677097665010465,-0.3321086638182632,-0.31921596610050545,0.04828765756563808,-0.23836517759914347
CSF1R,JAK2,False,0.7619952616165991,0.09432762662245986,0.09896142063284594,0.13250717529933806,-0.1947565746497631,-0.1837727263141867,-0.23971979189524,0.10074419965350707
CSF1R,KDR,True,0.5266540296820593,-0.13430180278787804,-0.033044721944953996,-0.26765724916762745,0.48526510937381195,0.48507837989833846,0.1783701020080872,0.49733724782477445
CSF1R,KIT,True,0.7429923686528616,0.09265243771928491,0.1296267925797042,0.006440846474600144,0.8195402241632167,0.6754413304274739,0.6449029848499277,0.7822755644211619
CSF1R,LCK,False,0.7525097205460561,-0.01193394343918007,-0.06706267224011583,0.029871481972597168,0.223675539672779,0.2954239579359231,0.025936298523269764,0.44372717172379894
CSF1R,MAP2K1,False,0.6779136123453533,-0.28692603642605585,-0.33804977207257736,-0.22797552638872787,-0.14727285911310944,-0.2311721956959049,-0.3332328412355213,-0.3680016977658425
CSF1R,MAPK1,False,0.7345606913061286,0.026722246861404345,0.05149865977354589,0.10736312471310214,-0.4615653062113589,-0.4317516100977916,-0.42047841972215555,-0.5700940232469361
CSF1R,MAPK14,False,0.7529623594965651,0.12318456307586242,0.14214783378884793,0.12502824572760038,-0.15151313796291935,-0.15178754602007102,-0.32642694129605354,-0.11322598953119808
CSF1R,MAPKAPK2,False,0.7526315476266716,-0.10526025446282922,-0.16376046660599955,-0.025166974936422105,-0.504843926918303,-0.3501235092612368,-0.5573325381871417,-0.5884062491629553
CSF1R,MET,False,0.6561624763434986,-0.11831076806631048,-0.06126153206635025,-0.19796517639551434,-0.1074246357978766,-0.021087174269920846,-0.022858291770631034,-0.2272635949989701
CSF1R,PLK1,False,0.7611152250359225,-0.007695591815926859,-0.005975199024597007,0.0613203145146678,-0.41363447472047143,-0.36559860646042724,-0.12170397186869915,-0.5642602128394739
CSF1R,ROCK1,False,0.7380243294426582,-0.08045193515748154,-0.16573483820389262,0.06289368693130408,-0.39501033976045297,-0.23862897532149205,-0.1771558949370198,-0.4825967991782746
CSF1R,SRC,False,0.7364139365692929,-0.060805300245111826,-0.11619397841868967,0.01961527381085154,0.022164611086207694,0.11359913954917077,0.2516183331287043,0.04361157197285862
EGFR,FGFR1,False,0.6855779522687777,-0.08281791844927067,0.016675601709154338,-0.022638737088019535,-0.2225216014406328,-0.19679021197872174,0.02866995745464393,-0.15473546402277316
EGFR,IGF1R,False,0.7702396443007538,0.04010499348018487,0.011814585146936089,0.02069827593879693,-0.058329506946425386,0.026320944915901773,-0.0603539502396327,0.11870237305994051
EGFR,JAK2,False,0.7981448643374924,0.014437638579033848,-0.07046527048630684,-0.03605335381245321,-0.24721607936728576,-0.1320634823274522,0.00034650515376443125,-0.20715624807798177
EGFR,KDR,False,0.6252951649737404,-0.04148343332184,0.1032755726023575,0.058699650189445576,-0.3176964364071139,-0.24422002986095553,-0.25607676483203423,-0.2724327029092834
EGFR,KIT,False,0.7575795226570462,-0.07750074388456472,0.007943145353847202,-0.033139100165241464,-0.35215376002102694,-0.16135534561962525,-0.32657403235125054,-0.42923183821623045
EGFR,LCK,False,0.8060402243877165,-0.03855575941603024,-0.11942627243277643,-0.07576441363313477,0.1487355822501861,0.1971155426011707,0.06682738257938244,0.05032365645439837
EGFR,MAP2K1,False,0.8213852730343164,0.07553229686338697,0.04646515096110819,0.06413479475584669,0.008954889774092025,0.0979556870894151,0.02798753516445269,-0.017015814215531402
EGFR,MAPK1,False,0.78637143277584,0.005823125656434449,-0.03841245598574105,-0.03570500710746691,0.18525013581785435,-0.034492995542850714,0.08629327416088783,-0.0007022197358474772
EGFR,MAPK14,False,0.7592074133442224,-0.07742913268481603,-0.09032750209249328,-0.0800447299303476,0.06808113794797159,0.07973374758581407,0.033958534156345206,0.019409533519087696
EGFR,MAPKAPK2,False,0.8364263641489311,0.020016250904339616,-0.06303950995030629,-0.039116770437813114,0.1357489480336936,0.07237013891723679,0.2500880970274899,0.03732015163763177
EGFR,MET,False,0.7466038695216417,-0.01569122576758697,0.06037319051091977,0.03744773038278278,-0.08089271954005861,-0.17307948287488478,-0.011190265831706396,-0.03772162706805464
EGFR,PLK1,False,0.8130832098729975,-0.042746434453731524,-0.10997633108324549,-0.09181061089442068,0.03257598276328237,-0.04985525889216063,-0.0593615839342859,0.10279728314859315
EGFR,ROCK1,False,0.8043072707208242,-0.05800997638645098,-0.13481794452379717,-0.11144182147782357,-0.1064093293150617,-0.09523102874301088,-0.059999962474009495,-0.11592174720857747
EGFR,SRC,False,0.7956421656223551,-0.07110284511861466,-0.168918613732665,-0.12704638867421225,0.1755587680201528,0.09191380444761084,-0.12579368287708076,0.29137764230967367
FGFR1,IGF1R,False,0.5419613462245481,-0.29026941652404004,-0.25300504805727314,-0.2867519775116262,0.09436531914806934,0.026083397518763,-0.09049670542128475,-0.1926482963102055
FGFR1,JAK2,False,0.5716689461692768,-0.34453352500547246,-0.2729854952508466,-0.3846175303827601,0.20577531677882577,0.07243475753428173,0.08075073416972163,0.2392605782399809
FGFR1,KDR,False,0.7240211920980254,0.4280769762746287,0.46625901434231454,0.41787018362877426,0.3957577043850089,0.13604764233042022,-0.025593278590419082,0.41510309982308957
FGFR1,KIT,False,0.7565265251713669,0.2943508310994767,0.3404009424717983,0.3081798602897082,0.1257274378618295,-0.13756457870018296,-0.16398743179246453,0.2992750726208103
FGFR1,LCK,False,0.6314694353825602,-0.22777407605571676,-0.19306566788863455,-0.21706979134752252,-0.09363174275847101,-0.11283101435145772,-0.04028005364775598,0.23861365852960714
