ligand_id,q_inferred_median_ratio,n_targets_used_for_q,median_absolute_target_ratio_deviation,inferred_torsions_continuous,inferred_torsions_nearest_integer,rotatable_bonds_frozen_descriptor,heavy_atoms_frozen_descriptor,q_from_rotatable_bonds
14929,1.410483125,43,0.0045975347701150415,7.021606654122478,7,6.0,22.0,1.35076
14930,1.466631898734177,43,0.005846329113924131,7.982071480228825,8,7.0,23.0,1.40922
14931,1.2926485185185181,43,0.003864247685184896,5.005961657860386,5,4.0,24.0,1.23384
14932,1.2922444602409633,43,0.004798074970304267,4.999049952804709,5,4.0,20.0,1.23384
14933,1.2927644680851067,43,0.0041518244069458365,5.0079450579046645,5,4.0,25.0,1.23384
14934,1.2921564788732394,43,0.004090487418895394,4.997544968751956,5,4.0,22.0,1.23384
14935,1.2938507462686568,43,0.0041899854386606705,5.026526621085474,5,3.0,22.0,1.17538
14936,1.3495963157894744,43,0.0030274679943096405,5.980094351513418,6,4.0,25.0,1.23384
14937,1.3485893939393938,43,0.004324393939393989,5.962870235022132,6,4.0,21.0,1.23384
14938,1.4092211111111113,43,0.004501111111111067,7.000019006348123,7,5.0,22.0,1.2923
14939,1.4688084146341465,43,0.004222039634146135,8.019302337224538,8,6.0,23.0,1.35076
14940,1.4680796969696968,43,0.004837430303031187,8.006837101773808,8,4.0,24.0,1.23384
14941,1.4097440909090906,43,0.004024500640205098,7.008964948838361,7,5.0,26.0,1.2923
14942,1.5264691891891893,43,0.006206871416870596,9.005631015894446,9,5.0,25.0,1.2923
14943,1.4668739325842692,43,0.004086278263281784,7.986211641879392,8,6.0,27.0,1.35076
14944,1.3501535714285715,43,0.0043799999999998285,5.989626606715216,6,4.0,27.0,1.23384
14945,1.4093201369863018,43,0.005031803652968403,7.00171291457923,7,5.0,26.0,1.2923
14946,1.2921125974025973,43,0.004170819624819799,4.996794344895609,5,4.0,23.0,1.23384
14947,1.3519364383561645,43,0.005167816962984517,6.0201238172453735,6,5.0,25.0,1.2923
14948,1.3517747058823528,43,0.004973978328173478,6.017357267915718,6,5.0,21.0,1.2923
14949,1.2923364864864864,43,0.00408911148648583,5.000624127377461,5,4.0,21.0,1.23384
14950,1.2908926041666666,43,0.003817714982269571,4.975925490363781,5,4.0,25.0,1.23384
14951,1.350318048780488,43,0.003996951219511713,5.992440109142799,6,5.0,25.0,1.2923
14952,1.3509382278481012,43,0.0038574500703232317,6.003048714473166,6,5.0,24.0,1.2923
14953,1.407413373493976,43,0.005103230636832823,6.969096364932877,7,5.0,23.0,1.2923
14955,1.3507824324324322,43,0.00433412074412054,6.000383722757992,6,5.0,23.0,1.2923
14956,1.2913192391304344,43,0.0037649057971009814,4.983223385741267,5,4.0,26.0,1.23384
14957,1.2929113924050635,43,0.004632456234851645,5.010458303199854,5,4.0,25.0,1.23384
14958,1.3525572727272726,43,0.003704810606060427,6.030743632009452,6,4.0,28.0,1.23384
14959,1.2929065019607842,42,0.003693356572258333,5.010374648662062,5,4.0,27.0,1.23384
14960,1.2922234963284382,42,0.0035074906565658592,4.9986913501272365,5,4.0,27.0,1.23384
14961,1.3512434343434343,43,0.0025781096681092297,6.008269489282147,6,4.0,27.0,1.23384
14962,1.468032702702702,43,0.005785251842751693,8.006033231315465,8,6.0,24.0,1.35076
14963,1.2916280000000004,43,0.003634499999999541,4.988504960656867,5,4.0,23.0,1.23384
14964,1.5006181481481475,41,0.004125985185185588,8.563430519126712,9,7.0,28.0,1.40922
14965,1.4956119110473458,42,0.00431220301850066,8.477795262527298,8,7.0,27.0,1.40922
14967,1.2039842253521127,43,0.004746653923541011,3.489295678277672,3,3.0,17.0,1.17538
14968,1.1738915873015872,43,0.004331099496708513,2.974539639096599,3,3.0,17.0,1.17538
14969,1.2345263157894741,43,0.004623853702051095,4.011739921133667,4,4.0,18.0,1.23384
14970,1.2347341975308639,43,0.0038912989801396236,4.015295886603898,4,4.0,18.0,1.23384
14971,1.1752501470588237,43,0.0038655882352942594,2.9977787728160057,3,3.0,17.0,1.17538
14972,1.1757035937499998,43,0.004122812499999684,3.005535301915836,3,3.0,17.0,1.17538
14973,1.1769557534246573,43,0.004683658340048691,3.0269543863266732,3,3.0,17.0,1.17538
14974,1.231747857142857,43,0.0033788430583496787,3.9642124040858207,4,4.0,19.0,1.23384
14975,1.1760889873417728,43,0.004411435193438784,3.0121277342075405,3,3.0,17.0,1.17538
14977,1.3221092771084328,43,0.0032198340026783345,5.509908948142882,6,5.0,22.0,1.2923
14978,1.408449628070176,42,0.0046338533618282,6.986822238627711,7,7.0,28.0,1.40922
14987,1.348559342105263,43,0.005526909672830538,5.962356176963104,6,5.0,19.0,1.2923
14989,1.1463097014925372,43,0.004093352286187901,2.50273180794624,3,2.0,15.0,1.11692
14990,1.0880405970149252,43,0.004446038191395996,1.5059972120240366,2,1.0,14.0,1.05846
14995,1.877906618141097,40,0.004218441154650088,15.017218921332486,15,10.0,38.0,1.5846
14996,1.8494234848484847,41,0.0059509496372165405,14.529994609108531,15,10.0,37.0,1.5846
14997,1.5856341504381697,42,0.00676512263099216,10.017689880912927,10,6.0,30.0,1.35076
15002,1.4662244736842107,43,0.005200319838056577,7.9751021841295024,8,8.0,19.0,1.46768
15003,1.3213083050732501,34,0.003854353352660933,5.496207750141124,5,4.0,42.0,1.23384
15004,1.3771784782608698,43,0.0032711513687602167,6.451906915170541,6,6.0,24.0,1.35076
15005,1.3518138805970146,43,0.00541434213547598,6.018027379353653,6,6.0,18.0,1.35076
15006,1.4660335593220337,43,0.004888906431391504,7.971836457783676,8,8.0,19.0,1.46768
15007,1.875329848484849,41,0.005541703239288154,14.973141438331321,15,10.0,38.0,1.5846
15008,1.203333266441006,42,0.003975431293227194,3.478160561768832,3,3.0,26.0,1.17538
15009,1.292183584037559,42,0.0050047378837129175,4.998008621921982,5,3.0,23.0,1.17538
15010,1.349818904109589,43,0.004212504109588844,5.983901883503061,6,5.0,18.0,1.2923
15011,1.115493333333333,43,0.004580933333333759,1.975595849013565,2,1.0,17.0,1.05846
15012,1.4388250414781296,42,0.004769130232558538,7.506415352003586,8,7.0,29.0,1.40922
15013,1.292924474548001,42,0.003969678179824854,5.010682082586403,5,5.0,27.0,1.2923
15014,1.2930509546643418,42,0.004661129981883616,5.012845615195721,5,5.0,28.0,1.2923
15015,1.4076504536319268,42,0.005623198434073218,6.973151789803742,7,6.0,25.0,1.35076
15016,1.2337601249999999,43,0.003678499999999918,3.998633681149502,4,4.0,21.0,1.23384
15017,1.294344933333334,43,0.004214772549018919,5.034980043334484,5,5.0,18.0,1.2923
15018,1.1766812500000001,43,0.0041637499999995775,3.022258809442356,3,3.0,21.0,1.17538
15019,1.1176874468085103,43,0.004844053951367,2.0131277250857047,2,2.0,14.0,1.11692
15020,1.2937080275019097,42,0.004765932489924962,5.024085314777792,5,5.0,25.0,1.2923
15021,1.1753343131868133,42,0.0030093401567944378,2.9992184944716604,3,3.0,24.0,1.17538
15022,1.5850693749999998,42,0.0054535661038400685,10.008028994184054,10,9.0,31.0,1.5261399999999998
15023,1.2313548611111111,43,0.003714226190476344,3.957489926635497,4,3.0,23.0,1.17538
15024,1.4096455567528738,42,0.003406556752873602,7.007279451811048,7,6.0,26.0,1.35076
15025,1.2045059259259259,43,0.006081640211640371,3.498219738726067,3,3.0,9.0,1.17538
15026,1.2956225531914891,43,0.007394594007815947,5.056834642345007,5,5.0,10.0,1.2923
15027,1.2338512765957448,43,0.00562606826241141,4.000192894213903,4,4.0,9.0,1.23384
15028,1.350764090909091,43,0.0067154545454544134,6.000069977918081,6,6.0,11.0,1.35076
15029,0.9990279069767443,43,0.007049593023255696,-0.016628344564757747,0,0.0,6.0,1.0
15030,1.2368029166666665,43,0.005270416666667055,4.050682803056219,4,4.0,12.0,1.23384
15031,1.1149676470588237,43,0.006112753441802621,1.966603610311729,2,2.0,8.0,1.11692
15032,1.2296739024390246,43,0.007547575908412485,3.928735929507777,4,2.0,9.0,1.11692
15033,1.2358757142857146,43,0.00507083056478419,4.0348223449489335,4,3.0,11.0,1.17538
15034,1.8460222033898308,43,0.008881513734658286,14.471813263596149,14,14.0,19.0,1.8184399999999998
15035,1.0584608510638298,43,0.008097214700193645,1.0000145580538797,1,1.0,7.0,1.05846
15036,0.9994030952380951,43,0.005201904761905074,-0.010210481729471121,0,0.0,8.0,1.0
15037,1.0600020930232559,43,0.005361648578811495,1.0263786011504599,1,1.0,8.0,1.05846
15038,0.9994843333333333,43,0.0027635333333335677,-0.008820846162618749,0,0.0,9.0,1.0
15039,1.0605917777777778,43,0.00533025603864723,1.0364655795035547,1,1.0,10.0,1.05846
15040,1.058488076923077,43,0.004422280219780417,1.000480275796731,1,1.0,10.0,1.05846
15041,0.9995570689655172,43,0.0038360682893850973,-0.007576651291186885,0,0.0,10.0,1.0
15042,1.173748813559322,43,0.005832738164815998,2.9720973923934646,3,3.0,10.0,1.17538
15043,1.0013830434782607,43,0.0036284380032207686,0.02365794523196513,0,0.0,11.0,1.0
15044,1.1169411475409836,43,0.004498383709016229,2.00036174377324,2,1.0,11.0,1.05846
15045,1.1177895918367347,43,0.005035074829932151,2.0148749886543733,2,2.0,11.0,1.11692
15046,1.1739504347826086,43,0.0036413985507246505,2.9755462672358646,3,3.0,12.0,1.17538
15047,1.1176798039215687,43,0.004224976335361674,2.0129969880528353,2,1.0,12.0,1.05846
15050,1.2931850769230768,43,0.0040995782493367106,5.015139872101896,5,5.0,13.0,1.2923
15051,1.2039271428571425,43,0.0036602813852815164,3.488319241483793,3,3.0,13.0,1.17538
15053,1.0017118461538461,43,0.0025088884073671824,0.029282349535513504,0,0.0,14.0,1.0
15055,1.2921261428571431,43,0.004348818913480823,4.997026049557699,5,5.0,14.0,1.2923
15056,1.1743130136986302,43,0.0042525418569250295,2.981748438224943,3,2.0,14.0,1.11692
15058,1.3506338181818178,43,0.00572631818181768,5.997841569993462,6,4.0,15.0,1.23384
15059,1.1169800000000008,43,0.004211805555554671,2.0010263427985078,2,1.0,15.0,1.05846
15060,1.2627053846153844,43,0.004879573804573489,4.49376299376299,4,3.0,16.0,1.17538
15061,0.9998981651376146,43,0.0029887396242898046,-0.0017419579607484206,0,0.0,16.0,1.0
15062,1.0283655,43,0.00372798837209265,0.48521211084502297,0,0.0,16.0,1.0
15065,1.4076354411764709,43,0.006310192626346245,6.972894991044662,7,7.0,16.0,1.40922
15067,1.1164945,43,0.0045504367088611275,1.9927215189873408,2,2.0,16.0,1.11692
15068,1.4119369696969695,43,0.005645029398461787,7.046475704703549,7,6.0,16.0,1.35076
15069,1.3504048004807694,42,0.006299901213370096,5.993924058856815,6,5.0,17.0,1.2923
15070,1.3230312121212124,43,0.005598626588465105,5.525679304160322,6,5.0,17.0,1.2923
15071,1.3504937096774192,43,0.004510861751152451,5.995444914085173,6,6.0,18.0,1.35076
15072,1.2919206756756763,43,0.0033369577269590778,4.993511386857274,5,5.0,18.0,1.2923
15073,1.231922098765432,43,0.003642361923327009,3.967192931327951,4,4.0,19.0,1.23384
15074,1.1157421244897956,43,0.003032631607765346,1.9798515992096408,2,2.0,19.0,1.11692
15075,1.4679775714285714,43,0.006501515090542753,8.005090171545868,8,8.0,19.0,1.46768
15076,1.1163454430379744,43,0.003740643918547004,1.9901717933283347,2,2.0,16.0,1.11692
15077,1.643377027027027,43,0.008476961378770298,11.005422973435287,11,11.0,20.0,1.64306
15078,1.4404916883116883,43,0.005733899923606067,7.534924534924534,8,9.0,20.0,1.5261399999999998
15079,1.2039892500000002,41,0.0049319919354839925,3.489381628463911,3,3.0,20.0,1.17538
15081,1.5257289552238806,43,0.0064373350986992595,8.992968785902852,9,9.0,20.0,1.5261399999999998
15082,1.2334970238095233,43,0.003202490476190256,3.9941331476141517,4,4.0,21.0,1.23384
15083,1.4119333802816905,43,0.005342260743950611,7.046414305194842,7,7.0,21.0,1.40922
15084,1.1751843499999999,42,0.0031171588806661044,2.99665326719124,3,3.0,22.0,1.17538
15085,1.292519397590361,43,0.003973734939758611,5.0037529522812365,5,5.0,23.0,1.2923
15086,1.2354541304347826,43,0.0026938695652172218,4.027610852459504,4,2.0,24.0,1.11692
15087,1.4098360000000003,43,0.0031544415584414676,7.010537119397885,7,7.0,24.0,1.40922
15088,1.6442671265172741,42,0.005811829205366603,11.020648760131271,11,11.0,25.0,1.64306
15089,1.349270417027417,42,0.004650458012177561,5.974519620722153,6,6.0,25.0,1.35076
