scheme,repetition,raw_pr,residual_pr,pr_increase,residual_to_raw_ratio,raw_pc1_fraction,residual_pc1_fraction,raw_mean_squared_correlation,residual_mean_squared_correlation,n_ligands,n_targets
within_exact_heavy_atom_count,51,1.647041370514415,9.424334909279784,7.7772935387653686,5.721978256281633,0.7753002218029574,0.2719095796203019,0.5977957024694984,0.08482514735453017,12651,43
global,52,1.5036025425504107,6.932403252189539,5.428800709639129,4.6105290833246375,0.8121686797351485,0.3323290280729323,0.6570948341153684,0.12387512270698733,12651,43
within_exact_heavy_atom_count,52,1.6496989156565627,9.480863106934542,7.8311641912779795,5.747026331263156,0.7746763920040293,0.2702438145844455,0.5967943415946416,0.08417742972645582,12651,43
global,53,1.509893789793242,6.872155358449285,5.362261568656042,4.5514164008783204,0.8103776316790099,0.3347224763041696,0.6542577221983686,0.1251698677216577,12651,43
within_exact_heavy_atom_count,53,1.6440047289501645,9.515052542461468,7.871047813511304,5.787728207167404,0.7761033517546246,0.26963027958868024,0.5989438696453193,0.08378941158686148,12651,43
global,54,1.5121102449637838,6.925413707522591,5.413303462558806,4.579966130504234,0.8097833958542846,0.33260543233539674,0.6532638094473676,0.12402417494805816,12651,43
within_exact_heavy_atom_count,54,1.6513292450457417,9.471760218416113,7.820430973370372,5.735839928247469,0.7742756688876982,0.27086604009663695,0.5961816299117101,0.08428121119651151,12651,43
global,55,1.5128053555095928,6.961613436776756,5.448808081267163,4.601790581599122,0.8095969241341829,0.3310980126845211,0.6529527047751648,0.12325545374308643,12651,43
within_exact_heavy_atom_count,55,1.646830462038281,9.464582991244457,7.817752529206176,5.747150790209545,0.7753898748418224,0.2701440127014284,0.5978753110351965,0.08436317907201189,12651,43
global,56,1.5025932856547846,6.873373873339366,5.370780587684582,4.574340867192254,0.8124279423291533,0.33461654527149004,0.6575521817057369,0.12514345658642184,12651,43
within_exact_heavy_atom_count,56,1.6497404550254129,9.534551454974702,7.8848109999492895,5.779425136803007,0.774684077250904,0.2692170849870086,0.5967787152015352,0.08356936324607506,12651,43
global,57,1.510812930377311,6.86625591405208,5.355442983674769,4.54474261901988,0.8101319444781092,0.3346746493147638,0.6538452031419042,0.12529786988872949,12651,43
within_exact_heavy_atom_count,57,1.643715796447317,9.574367863852336,7.930652067405019,5.824831692039534,0.776183492687092,0.26751777423076045,0.5990533372899184,0.08312281244161157,12651,43
global,58,1.5089733087665034,6.9213097767326035,5.4123364679661,4.586767530295394,0.8106515396894381,0.33266573810381594,0.6546713465025085,0.12411183166155607,12651,43
within_exact_heavy_atom_count,58,1.644806824818281,9.480229445509075,7.835422620690793,5.763734258919101,0.7758824809856585,0.2705981233700725,0.5986401817494462,0.0841846476073419,12651,43
global,59,1.5097915665196457,6.97927133519187,5.469479768672224,4.622672089287401,0.8104548992307162,0.33105678234996677,0.6543036320147582,0.12288337214468942,12651,43
within_exact_heavy_atom_count,59,1.649126069389502,9.469497781832223,7.820371712442721,5.742130912609841,0.7748414028981785,0.270282170323387,0.5970099167493977,0.08430703605426977,12651,43
global,60,1.5138328870942714,6.869928113718742,5.35609522662447,4.5381020403812435,0.809284275649098,0.33469050463569316,0.6524933445834836,0.12521816714477485,12651,43
within_exact_heavy_atom_count,60,1.6463858079438245,9.472037584383523,7.825651776439699,5.753230827598773,0.7754993393609498,0.2707497483747276,0.5980432150015341,0.08427804601784583,12651,43
