null_model,representation,weighting,metric,observed,null_mean,null_standard_deviation,null_ci95_low,null_ci95_high,favorable_excess_over_null_mean,favorable_standardized_excess,one_sided_empirical_p,favorable_direction
fixed_margin_bipartite_switch,column_z,pair_weighted,mean_rank_percentile,0.45227906976744187,0.5012688046511627,0.011578357212085803,0.47897558139534885,0.5239081395348836,0.04898973488372088,4.231147302363764,0.0001999600079984003,lower
fixed_margin_bipartite_switch,column_z,pair_weighted,top1,0.056,0.0322184,0.0066509208677955215,0.02,0.046,0.0237816,3.575685303241703,0.0003999200159968006,higher
fixed_margin_bipartite_switch,column_z,pair_weighted,top3,0.116,0.08639279999999999,0.01064561759574328,0.066,0.108,0.029607200000000014,2.7811632095293977,0.003599280143971206,higher
fixed_margin_bipartite_switch,column_z,pair_weighted,top5,0.164,0.12926640000000003,0.012738661065321875,0.104,0.154,0.034733599999999976,2.7266287894694328,0.0061987602479504095,higher
fixed_margin_bipartite_switch,column_z,compound_balanced,mean_rank_percentile,0.43180715177655193,0.5024547166833574,0.01712749932418465,0.4690458130880407,0.5351075286657446,0.07064756490680546,4.124803251753661,0.0001999600079984003,lower
fixed_margin_bipartite_switch,column_z,compound_balanced,top1,0.05836902863218653,0.029452243867243873,0.009425455242980548,0.013128341687552215,0.05015690742006531,0.028916784764942655,3.067945687448673,0.003599280143971206,higher
fixed_margin_bipartite_switch,column_z,compound_balanced,top3,0.11500493658388396,0.08147913423710791,0.01499805600596285,0.0530280720741247,0.11187868819776714,0.033525802346776046,2.2353431893738116,0.015796840631873626,higher
fixed_margin_bipartite_switch,column_z,compound_balanced,top5,0.170366446419078,0.12372107104883422,0.01821295043892296,0.08904993544467228,0.16085825833523199,0.04664537537024378,2.5611103223867446,0.007198560287942412,higher
fixed_margin_bipartite_switch,two_way_residual,pair_weighted,mean_rank_percentile,0.45227906976744187,0.5012688046511627,0.011578357212085803,0.47897558139534885,0.5239081395348836,0.04898973488372088,4.231147302363764,0.0001999600079984003,lower
fixed_margin_bipartite_switch,two_way_residual,pair_weighted,top1,0.056,0.0322184,0.0066509208677955215,0.02,0.046,0.0237816,3.575685303241703,0.0003999200159968006,higher
fixed_margin_bipartite_switch,two_way_residual,pair_weighted,top3,0.116,0.08639279999999999,0.01064561759574328,0.066,0.108,0.029607200000000014,2.7811632095293977,0.003599280143971206,higher
fixed_margin_bipartite_switch,two_way_residual,pair_weighted,top5,0.164,0.12926640000000003,0.012738661065321875,0.104,0.154,0.034733599999999976,2.7266287894694328,0.0061987602479504095,higher
fixed_margin_bipartite_switch,two_way_residual,compound_balanced,mean_rank_percentile,0.43180715177655193,0.5024547166833574,0.01712749932418465,0.4690458130880407,0.5351075286657446,0.07064756490680546,4.124803251753661,0.0001999600079984003,lower
fixed_margin_bipartite_switch,two_way_residual,compound_balanced,top1,0.05836902863218653,0.029452243867243873,0.009425455242980548,0.013128341687552215,0.05015690742006531,0.028916784764942655,3.067945687448673,0.003599280143971206,higher
fixed_margin_bipartite_switch,two_way_residual,compound_balanced,top3,0.11500493658388396,0.08147913423710791,0.01499805600596285,0.0530280720741247,0.11187868819776714,0.033525802346776046,2.2353431893738116,0.015796840631873626,higher
fixed_margin_bipartite_switch,two_way_residual,compound_balanced,top5,0.170366446419078,0.12372107104883422,0.01821295043892296,0.08904993544467228,0.16085825833523199,0.04664537537024378,2.5611103223867446,0.007198560287942412,higher
