analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,KIT,0.19265703525830286
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,LCK,0.318474195961107
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,MAP2K1,0.24508303918609792
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,MAPK1,0.2100320609551803
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,MAPK14,0.24292756323618822
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,MAPKAPK2,0.2150778342015598
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,MET,0.23475355054302424
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,PLK1,0.2148871305663811
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,PTK2,0.23985006145380908
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,ROCK1,0.1979687438491517
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,SRC,0.31851793532697364
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,ABL1,0.1586068137184147
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,AKT1,0.17893687097324465
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,AKT2,0.19605470919882603
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,CDK2,0.19849011709028244
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,CSF1R,0.2162080594155546
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,EGFR,0.2161870645199386
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,FGFR1,0.22218985509148093
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,IGF1R,0.19697498545666084
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,JAK2,0.20725723558459855
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,KDR,0.1723654686454356
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,KIT,0.15158227156022694
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,LCK,0.27541016590341477
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,MAP2K1,0.21927856289939512
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,MAPK1,0.19176300261998802
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,MAPK14,0.21730679228612546
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,MAPKAPK2,0.18882896595765156
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,MET,0.20526272050107822
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,PLK1,0.18311835435009866
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,PTK2,0.2257799822418175
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,ROCK1,0.16676857938913606
geometry_concordance,PKIS2,full_experimental_panel,rank_normal_before_center,SRC,0.2802774825370582
geometry_concordance,PKIS1,full_experimental_panel,raw,ABL1,-0.18544651642786858
geometry_concordance,PKIS1,full_experimental_panel,raw,AKT1,-0.1935392516859865
geometry_concordance,PKIS1,full_experimental_panel,raw,AKT2,-0.17507859937120504
geometry_concordance,PKIS1,full_experimental_panel,raw,CDK2,-0.1627042983656131
geometry_concordance,PKIS1,full_experimental_panel,raw,CSF1R,-0.13913648690810473
geometry_concordance,PKIS1,full_experimental_panel,raw,EGFR,-0.12061103511171913
geometry_concordance,PKIS1,full_experimental_panel,raw,FGFR1,-0.13811169510643914
geometry_concordance,PKIS1,full_experimental_panel,raw,IGF1R,-0.1758777929776562
geometry_concordance,PKIS1,full_experimental_panel,raw,JAK2,-0.1637986896104831
geometry_concordance,PKIS1,full_experimental_panel,raw,KDR,-0.10512395900832792
geometry_concordance,PKIS1,full_experimental_panel,raw,KIT,-0.15445556435548516
geometry_concordance,PKIS1,full_experimental_panel,raw,LCK,-0.1325077399380805
geometry_concordance,PKIS1,full_experimental_panel,raw,MAP2K1,-0.1692586459308326
geometry_concordance,PKIS1,full_experimental_panel,raw,MAPK1,-0.17346341229270165
geometry_concordance,PKIS1,full_experimental_panel,raw,MAPK14,-0.17987856097151225
geometry_concordance,PKIS1,full_experimental_panel,raw,MAPKAPK2,-0.16171550627594983
geometry_concordance,PKIS1,full_experimental_panel,raw,MET,-0.1400532795737634
geometry_concordance,PKIS1,full_experimental_panel,raw,PLK1,-0.13872129022967816
