dataset,support_seed,partition,partition_seed,ligands,targets,chemical_groups,mean_squared_offdiagonal_target_correlation_before,mean_squared_offdiagonal_target_correlation_after,absolute_mean_squared_offdiagonal_target_correlation_reduction,relative_mean_squared_offdiagonal_target_correlation_reduction,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,seed,groups,minimum_fold_ligands,median_fold_ligands,maximum_fold_ligands
DOCKSTRING-58,3701,balanced_random_group_partition_2,20660832,15000,58,11849,0.038546067684659527,0.017530802370059786,0.02101526531459974,0.54519868243170611,0.16827019060105672,0.11740662888206588,20660832,11849,3000,3000,3000
DOCKSTRING-58,3701,balanced_random_group_partition_3,20660833,15000,58,11849,0.038551696864501751,0.017527694336043509,0.021024002528458242,0.54534571078289062,0.16813492608331798,0.11713293156607218,20660833,11849,2999,3000,3001
DOCKSTRING-58,3701,balanced_random_group_partition_4,20660834,15000,58,11849,0.038556313046859865,0.017549117266903839,0.021007195779956026,0.54484451753529139,0.16792849426837855,0.11755972675951565,20660834,11849,2999,3000,3001
DOCKSTRING-58,3701,balanced_random_group_partition_5,20660835,15000,58,11849,0.038562756674378001,0.017535252590677498,0.021027504083700504,0.54528010695022922,0.16823762430487949,0.11681542497088832,20660835,11849,2998,2998,3005
DOCKSTRING-58,3701,balanced_random_group_partition_6,20660836,15000,58,11849,0.038548848407602108,0.017540367405987554,0.021008481001614555,0.54498336187577345,0.16801545583159286,0.11738006701203574,20660836,11849,2999,3000,3001
DOCKSTRING-58,3701,balanced_random_group_partition_7,20660837,15000,58,11849,0.038548625472081086,0.017519432627300775,0.02102919284478031,0.54552380499301445,0.16831575084515066,0.11762339600369176,20660837,11849,2999,3000,3001
DOCKSTRING-58,3701,balanced_random_group_partition_8,20660838,15000,58,11849,0.038565392848354169,0.017519439999951161,0.021045952848403007,0.54572120997598428,0.16831854152933384,0.11779042907856779,20660838,11849,2998,2999,3006
DOCKSTRING-58,3701,balanced_random_group_partition_9,20660839,15000,58,11849,0.038606499475388099,0.017526558279571693,0.021079941195816406,0.5460205271719859,0.16837215664584082,0.11722941934614722,20660839,11849,2999,2999,3003
DOCKSTRING-58,3701,balanced_random_group_partition_10,20660840,15000,58,11849,0.038546451506770607,0.017536932349449998,0.021009519157320609,0.54504418269552846,0.16816242927648942,0.1175420341198587,20660840,11849,2999,3000,3001
DOCKSTRING-58,3701,balanced_random_group_partition_11,20660841,15000,58,11849,0.038546723392760558,0.017543980882245243,0.021002742510515315,0.54486453482735786,0.1680662306254801,0.11781152730570682,20660841,11849,2998,2999,3005
DOCKSTRING-58,3701,balanced_random_group_partition_12,20660842,15000,58,11849,0.038565347173554629,0.017542130031486611,0.021023217142068017,0.54513231911170879,0.16802081832931173,0.1174919473967852,20660842,11849,2999,3000,3001
DOCKSTRING-58,4701,deterministic_GroupKFold,,15000,58,11848,0.037624699289313258,0.017773294404272465,0.019851404885040794,0.52761630684126937,0.16549040768736109,0.11720889776782067,,,,,
DOCKSTRING-58,4701,balanced_random_group_partition_1,20760831,15000,58,11848,0.0376173164374871,0.017777184348695234,0.019840132088791866,0.52742018750227526,0.16550150007447617,0.11767768673423051,20760831,11848,3000,3000,3000
DOCKSTRING-58,4701,balanced_random_group_partition_2,20760832,15000,58,11848,0.03762304557306529,0.017773914783352208,0.019849130789713083,0.52757905393824023,0.16550577791032867,0.11786674196220376,20760832,11848,2999,3000,3001
DOCKSTRING-58,4701,balanced_random_group_partition_3,20760833,15000,58,11848,0.037627637487619443,0.017807114004225577,0.019820523483393866,0.52675439668290036,0.16539756962910793,0.11752955297759382,20760833,11848,2947,2947,3211
